code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0591	֑	0590..05FF	Hebrew	Hebrew accent etnahta		
U+0592	֒	0590..05FF	Hebrew	Hebrew accent segol		
U+0593	֓	0590..05FF	Hebrew	Hebrew accent shalshelet		
U+0594	֔	0590..05FF	Hebrew	Hebrew accent zaqef qatan		
U+0595	֕	0590..05FF	Hebrew	Hebrew accent zaqef gadol		
U+0596	֖	0590..05FF	Hebrew	Hebrew accent tipeha		
U+0597	֗	0590..05FF	Hebrew	Hebrew accent revia		
U+0598	֘	0590..05FF	Hebrew	Hebrew accent zarqa		
U+0599	֙	0590..05FF	Hebrew	Hebrew accent pashta		
U+059A	֚	0590..05FF	Hebrew	Hebrew accent yetiv		
U+059B	֛	0590..05FF	Hebrew	Hebrew accent tevir		
U+059C	֜	0590..05FF	Hebrew	Hebrew accent geresh		
U+059D	֝	0590..05FF	Hebrew	Hebrew accent geresh muqdam		
U+059E	֞	0590..05FF	Hebrew	Hebrew accent gershayim		
U+059F	֟	0590..05FF	Hebrew	Hebrew accent qarney para		
U+05A0	֠	0590..05FF	Hebrew	Hebrew accent telisha gedola		
U+05A1	֡	0590..05FF	Hebrew	Hebrew accent pazer		
U+05A2	֢	0590..05FF	Hebrew	Hebrew accent atnah hafukh		
U+05A3	֣	0590..05FF	Hebrew	Hebrew accent munah		
U+05A4	֤	0590..05FF	Hebrew	Hebrew accent mahapakh		
U+05A5	֥	0590..05FF	Hebrew	Hebrew accent merkha		
U+05A6	֦	0590..05FF	Hebrew	Hebrew accent merkha kefula		
U+05A7	֧	0590..05FF	Hebrew	Hebrew accent darga		
U+05A8	֨	0590..05FF	Hebrew	Hebrew accent qadma		
U+05A9	֩	0590..05FF	Hebrew	Hebrew accent telisha qetana		
U+05AA	֪	0590..05FF	Hebrew	Hebrew accent yerah ben yomo		
U+05AB	֫	0590..05FF	Hebrew	Hebrew accent ole		
U+05AC	֬	0590..05FF	Hebrew	Hebrew accent iluy		
U+05AD	֭	0590..05FF	Hebrew	Hebrew accent dehi		
U+05AE	֮	0590..05FF	Hebrew	Hebrew accent zinor		
U+05AF	֯	0590..05FF	Hebrew	Hebrew mark masora circle		
U+05B0	ְ	0590..05FF	Hebrew	Hebrew point sheva		
