code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0600	؀	0600..06FF	Arabic	Arabic number sign		
U+0601	؁	0600..06FF	Arabic	Arabic sign sanah		
U+0602	؂	0600..06FF	Arabic	Arabic footnote marker		
U+0603	؃	0600..06FF	Arabic	Arabic sign safha		
U+0604	؄	0600..06FF	Arabic	Arabic sign samvat		
U+0605	؅	0600..06FF	Arabic	Arabic number mark above		
U+0606	؆	0600..06FF	Arabic	Arabic-indic cube root		
U+0607	؇	0600..06FF	Arabic	Arabic-indic fourth root		
U+0608	؈	0600..06FF	Arabic	Arabic ray		
U+0609	؉	0600..06FF	Arabic	Arabic-indic per mille sign		
U+060A	؊	0600..06FF	Arabic	Arabic-indic per ten thousand sign		
U+060B	؋	0600..06FF	Arabic	Afghani sign		
U+060C	،	0600..06FF	Arabic	Arabic comma		
U+060D	؍	0600..06FF	Arabic	Arabic date separator		
U+060E	؎	0600..06FF	Arabic	Arabic poetic verse sign		
U+060F	؏	0600..06FF	Arabic	Arabic sign misra		
U+0610	ؐ	0600..06FF	Arabic	Arabic sign sallallahou alayhe wassallam		
U+0611	ؑ	0600..06FF	Arabic	Arabic sign alayhe assallam		
U+0612	ؒ	0600..06FF	Arabic	Arabic sign rahmatullah alayhe		
U+0613	ؓ	0600..06FF	Arabic	Arabic sign radi allahou anhu		
U+0614	ؔ	0600..06FF	Arabic	Arabic sign takhallus		
U+0615	ؕ	0600..06FF	Arabic	Arabic small high tah		
U+0616	ؖ	0600..06FF	Arabic	Arabic small high ligature alef with lam with yeh		
U+0617	ؗ	0600..06FF	Arabic	Arabic small high zain		
U+0618	ؘ	0600..06FF	Arabic	Arabic small fatha		
U+0619	ؙ	0600..06FF	Arabic	Arabic small damma		
U+061A	ؚ	0600..06FF	Arabic	Arabic small kasra		
U+061B	؛	0600..06FF	Arabic	Arabic semicolon		
U+061C	؜	0600..06FF	Arabic	Arabic letter mark		
U+061D	؝	0600..06FF	Arabic	Arabic end of text mark		
U+061E	؞	0600..06FF	Arabic	Arabic triple dot punctuation mark		
U+061F	؟	0600..06FF	Arabic	Arabic question mark		
U+0620	ؠ	0600..06FF	Arabic	Arabic letter kashmiri yeh		
U+0621	ء	0600..06FF	Arabic	Arabic letter hamza		
U+0622	آ	0600..06FF	Arabic	Arabic letter alef with madda above		
U+0623	أ	0600..06FF	Arabic	Arabic letter alef with hamza above		
U+0624	ؤ	0600..06FF	Arabic	Arabic letter waw with hamza above		
U+0625	إ	0600..06FF	Arabic	Arabic letter alef with hamza below		
U+0626	ئ	0600..06FF	Arabic	Arabic letter yeh with hamza above		
U+0627	ا	0600..06FF	Arabic	Arabic letter alef		
U+0628	ب	0600..06FF	Arabic	Arabic letter beh		
U+0629	ة	0600..06FF	Arabic	Arabic letter teh marbuta		
U+062A	ت	0600..06FF	Arabic	Arabic letter teh		
U+062B	ث	0600..06FF	Arabic	Arabic letter theh		
U+062C	ج	0600..06FF	Arabic	Arabic letter jeem		
U+062D	ح	0600..06FF	Arabic	Arabic letter hah		
U+062E	خ	0600..06FF	Arabic	Arabic letter khah		
U+062F	د	0600..06FF	Arabic	Arabic letter dal		
U+0630	ذ	0600..06FF	Arabic	Arabic letter thal		
U+0631	ر	0600..06FF	Arabic	Arabic letter reh		
U+0632	ز	0600..06FF	Arabic	Arabic letter zain		
U+0633	س	0600..06FF	Arabic	Arabic letter seen		
U+0634	ش	0600..06FF	Arabic	Arabic letter sheen		
U+0635	ص	0600..06FF	Arabic	Arabic letter sad		
U+0636	ض	0600..06FF	Arabic	Arabic letter dad		
U+0637	ط	0600..06FF	Arabic	Arabic letter tah		
U+0638	ظ	0600..06FF	Arabic	Arabic letter zah		
U+0639	ع	0600..06FF	Arabic	Arabic letter ain		
U+063A	غ	0600..06FF	Arabic	Arabic letter ghain		
U+063B	ػ	0600..06FF	Arabic	Arabic letter keheh with two dots above		
U+063C	ؼ	0600..06FF	Arabic	Arabic letter keheh with three dots below		
U+063D	ؽ	0600..06FF	Arabic	Arabic letter farsi yeh with inverted v		
U+063E	ؾ	0600..06FF	Arabic	Arabic letter farsi yeh with two dots above		
U+063F	ؿ	0600..06FF	Arabic	Arabic letter farsi yeh with three dots above		
U+0640	ـ	0600..06FF	Arabic	Arabic tatweel		
U+0641	ف	0600..06FF	Arabic	Arabic letter feh		
U+0642	ق	0600..06FF	Arabic	Arabic letter qaf		
