code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0700	܀	0700..074F	Syriac	Syriac end of paragraph		
U+0701	܁	0700..074F	Syriac	Syriac supralinear full stop		
U+0702	܂	0700..074F	Syriac	Syriac sublinear full stop		
U+0703	܃	0700..074F	Syriac	Syriac supralinear colon		
U+0704	܄	0700..074F	Syriac	Syriac sublinear colon		
U+0705	܅	0700..074F	Syriac	Syriac horizontal colon		
U+0706	܆	0700..074F	Syriac	Syriac colon skewed left		
U+0707	܇	0700..074F	Syriac	Syriac colon skewed right		
U+0708	܈	0700..074F	Syriac	Syriac supralinear colon skewed left		
U+0709	܉	0700..074F	Syriac	Syriac sublinear colon skewed right		
U+070A	܊	0700..074F	Syriac	Syriac contraction		
U+070B	܋	0700..074F	Syriac	Syriac harklean obelus		
U+070C	܌	0700..074F	Syriac	Syriac harklean metobelus		
U+070D	܍	0700..074F	Syriac	Syriac harklean asteriscus		
U+070F	܏	0700..074F	Syriac	Syriac abbreviation mark		
U+0710	ܐ	0700..074F	Syriac	Syriac letter alaph		
U+0711	ܑ	0700..074F	Syriac	Syriac letter superscript alaph		
U+0712	ܒ	0700..074F	Syriac	Syriac letter beth		
U+0713	ܓ	0700..074F	Syriac	Syriac letter gamal		
U+0714	ܔ	0700..074F	Syriac	Syriac letter gamal garshuni		
U+0715	ܕ	0700..074F	Syriac	Syriac letter dalath		
U+0716	ܖ	0700..074F	Syriac	Syriac letter dotless dalath rish		
U+0717	ܗ	0700..074F	Syriac	Syriac letter he		
U+0718	ܘ	0700..074F	Syriac	Syriac letter waw		
U+0719	ܙ	0700..074F	Syriac	Syriac letter zain		
U+071A	ܚ	0700..074F	Syriac	Syriac letter heth		
U+071B	ܛ	0700..074F	Syriac	Syriac letter teth		
U+071C	ܜ	0700..074F	Syriac	Syriac letter teth garshuni		
U+071D	ܝ	0700..074F	Syriac	Syriac letter yudh		
U+071E	ܞ	0700..074F	Syriac	Syriac letter yudh he		
U+071F	ܟ	0700..074F	Syriac	Syriac letter kaph		
U+0720	ܠ	0700..074F	Syriac	Syriac letter lamadh		
U+0721	ܡ	0700..074F	Syriac	Syriac letter mim		
U+0722	ܢ	0700..074F	Syriac	Syriac letter nun		
U+0723	ܣ	0700..074F	Syriac	Syriac letter semkath		
U+0724	ܤ	0700..074F	Syriac	Syriac letter final semkath		
U+0725	ܥ	0700..074F	Syriac	Syriac letter e		
U+0726	ܦ	0700..074F	Syriac	Syriac letter pe		
U+0727	ܧ	0700..074F	Syriac	Syriac letter reversed pe		
U+0728	ܨ	0700..074F	Syriac	Syriac letter sadhe		
U+0729	ܩ	0700..074F	Syriac	Syriac letter qaph		
U+072A	ܪ	0700..074F	Syriac	Syriac letter rish		
U+072B	ܫ	0700..074F	Syriac	Syriac letter shin		
U+072C	ܬ	0700..074F	Syriac	Syriac letter taw		
U+072D	ܭ	0700..074F	Syriac	Syriac letter persian bheth		
U+072E	ܮ	0700..074F	Syriac	Syriac letter persian ghamal		
U+072F	ܯ	0700..074F	Syriac	Syriac letter persian dhalath		
U+0730	ܰ	0700..074F	Syriac	Syriac pthaha above		
U+0731	ܱ	0700..074F	Syriac	Syriac pthaha below		
U+0732	ܲ	0700..074F	Syriac	Syriac pthaha dotted		
U+0733	ܳ	0700..074F	Syriac	Syriac zqapha above		
U+0734	ܴ	0700..074F	Syriac	Syriac zqapha below		
U+0735	ܵ	0700..074F	Syriac	Syriac zqapha dotted		
U+0736	ܶ	0700..074F	Syriac	Syriac rbasa above		
U+0737	ܷ	0700..074F	Syriac	Syriac rbasa below		
U+0738	ܸ	0700..074F	Syriac	Syriac dotted zlama horizontal		
U+0739	ܹ	0700..074F	Syriac	Syriac dotted zlama angular		
U+073A	ܺ	0700..074F	Syriac	Syriac hbasa above		
U+073B	ܻ	0700..074F	Syriac	Syriac hbasa below		
U+073C	ܼ	0700..074F	Syriac	Syriac hbasa-esasa dotted		
U+073D	ܽ	0700..074F	Syriac	Syriac esasa above		
U+073E	ܾ	0700..074F	Syriac	Syriac esasa below		
U+073F	ܿ	0700..074F	Syriac	Syriac rwaha		
U+0740	݀	0700..074F	Syriac	Syriac feminine dot		
U+0741	݁	0700..074F	Syriac	Syriac qushshaya		
U+0742	݂	0700..074F	Syriac	Syriac rukkakha		
U+0743	݃	0700..074F	Syriac	Syriac two vertical dots above		
U+0744	݄	0700..074F	Syriac	Syriac two vertical dots below		
U+0745	݅	0700..074F	Syriac	Syriac three dots above		
U+0746	݆	0700..074F	Syriac	Syriac three dots below		
U+0747	݇	0700..074F	Syriac	Syriac oblique line above		
U+0748	݈	0700..074F	Syriac	Syriac oblique line below		
U+0749	݉	0700..074F	Syriac	Syriac music		
U+074A	݊	0700..074F	Syriac	Syriac barrekh		
U+074D	ݍ	0700..074F	Syriac	Syriac letter sogdian zhain		
U+074E	ݎ	0700..074F	Syriac	Syriac letter sogdian khaph		
U+074F	ݏ	0700..074F	Syriac	Syriac letter sogdian fe		
