code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0750	ݐ	0750..077F	Arabic Supplement	Arabic letter beh with three dots horizontally below		
U+0751	ݑ	0750..077F	Arabic Supplement	Arabic letter beh with dot below and three dots above		
U+0752	ݒ	0750..077F	Arabic Supplement	Arabic letter beh with three dots pointing upwards below		
U+0753	ݓ	0750..077F	Arabic Supplement	Arabic letter beh with three dots pointing upwards below and two dots above		
U+0754	ݔ	0750..077F	Arabic Supplement	Arabic letter beh with two dots below and dot above		
U+0755	ݕ	0750..077F	Arabic Supplement	Arabic letter beh with inverted small v below		
U+0756	ݖ	0750..077F	Arabic Supplement	Arabic letter beh with small v		
U+0757	ݗ	0750..077F	Arabic Supplement	Arabic letter hah with two dots above		
U+0758	ݘ	0750..077F	Arabic Supplement	Arabic letter hah with three dots pointing upwards below		
U+0759	ݙ	0750..077F	Arabic Supplement	Arabic letter dal with two dots vertically below and small tah		
U+075A	ݚ	0750..077F	Arabic Supplement	Arabic letter dal with inverted small v below		
U+075B	ݛ	0750..077F	Arabic Supplement	Arabic letter reh with stroke		
U+075C	ݜ	0750..077F	Arabic Supplement	Arabic letter seen with four dots above		
U+075D	ݝ	0750..077F	Arabic Supplement	Arabic letter ain with two dots above		
U+075E	ݞ	0750..077F	Arabic Supplement	Arabic letter ain with three dots pointing downwards above		
U+075F	ݟ	0750..077F	Arabic Supplement	Arabic letter ain with two dots vertically above		
U+0760	ݠ	0750..077F	Arabic Supplement	Arabic letter feh with two dots below		
U+0761	ݡ	0750..077F	Arabic Supplement	Arabic letter feh with three dots pointing upwards below		
U+0762	ݢ	0750..077F	Arabic Supplement	Arabic letter keheh with dot above		
U+0763	ݣ	0750..077F	Arabic Supplement	Arabic letter keheh with three dots above		
U+0764	ݤ	0750..077F	Arabic Supplement	Arabic letter keheh with three dots pointing upwards below		
U+0765	ݥ	0750..077F	Arabic Supplement	Arabic letter meem with dot above		
U+0766	ݦ	0750..077F	Arabic Supplement	Arabic letter meem with dot below		
U+0767	ݧ	0750..077F	Arabic Supplement	Arabic letter noon with two dots below		
U+0768	ݨ	0750..077F	Arabic Supplement	Arabic letter noon with small tah		
U+0769	ݩ	0750..077F	Arabic Supplement	Arabic letter noon with small v		
U+076A	ݪ	0750..077F	Arabic Supplement	Arabic letter lam with bar		
U+076B	ݫ	0750..077F	Arabic Supplement	Arabic letter reh with two dots vertically above		
U+076C	ݬ	0750..077F	Arabic Supplement	Arabic letter reh with hamza above		
U+076D	ݭ	0750..077F	Arabic Supplement	Arabic letter seen with two dots vertically above		
U+076E	ݮ	0750..077F	Arabic Supplement	Arabic letter hah with small arabic letter tah below		
U+076F	ݯ	0750..077F	Arabic Supplement	Arabic letter hah with small arabic letter tah and two dots		
U+0770	ݰ	0750..077F	Arabic Supplement	Arabic letter seen with small arabic letter tah and two dots		
U+0771	ݱ	0750..077F	Arabic Supplement	Arabic letter reh with small arabic letter tah and two dots		
U+0772	ݲ	0750..077F	Arabic Supplement	Arabic letter hah with small arabic letter tah above		
U+0773	ݳ	0750..077F	Arabic Supplement	Arabic letter alef with extended arabic-indic digit two above		
U+0774	ݴ	0750..077F	Arabic Supplement	Arabic letter alef with extended arabic-indic digit three above		
U+0775	ݵ	0750..077F	Arabic Supplement	Arabic letter farsi yeh with extended arabic-indic digit two above		
U+0776	ݶ	0750..077F	Arabic Supplement	Arabic letter farsi yeh with extended arabic-indic digit three above		
U+0777	ݷ	0750..077F	Arabic Supplement	Arabic letter farsi yeh with extended arabic-indic digit four below		
U+0778	ݸ	0750..077F	Arabic Supplement	Arabic letter waw with extended arabic-indic digit two above		
U+0779	ݹ	0750..077F	Arabic Supplement	Arabic letter waw with extended arabic-indic digit three above		
U+077A	ݺ	0750..077F	Arabic Supplement	Arabic letter yeh barree with extended arabic-indic digit two above		
U+077B	ݻ	0750..077F	Arabic Supplement	Arabic letter yeh barree with extended arabic-indic digit three above		
U+077C	ݼ	0750..077F	Arabic Supplement	Arabic letter hah with extended arabic-indic digit four below		
U+077D	ݽ	0750..077F	Arabic Supplement	Arabic letter seen with extended arabic-indic digit four above		
U+077E	ݾ	0750..077F	Arabic Supplement	Arabic letter seen with inverted v		
U+077F	ݿ	0750..077F	Arabic Supplement	Arabic letter kaf with two dots above		
