code_point	symbol	block	block_name	name	tab_completion	latex_code
0840	"""ࡀ"""	0840..085F	Mandaic	Mandaic letter halqa		
0841	"""ࡁ"""	0840..085F	Mandaic	Mandaic letter ab		
0842	"""ࡂ"""	0840..085F	Mandaic	Mandaic letter ag		
0843	"""ࡃ"""	0840..085F	Mandaic	Mandaic letter ad		
0844	"""ࡄ"""	0840..085F	Mandaic	Mandaic letter ah		
0845	"""ࡅ"""	0840..085F	Mandaic	Mandaic letter ushenna		
0846	"""ࡆ"""	0840..085F	Mandaic	Mandaic letter az		
0847	"""ࡇ"""	0840..085F	Mandaic	Mandaic letter it		
0848	"""ࡈ"""	0840..085F	Mandaic	Mandaic letter att		
0849	"""ࡉ"""	0840..085F	Mandaic	Mandaic letter aksa		
084A	"""ࡊ"""	0840..085F	Mandaic	Mandaic letter ak		
084B	"""ࡋ"""	0840..085F	Mandaic	Mandaic letter al		
084C	"""ࡌ"""	0840..085F	Mandaic	Mandaic letter am		
084D	"""ࡍ"""	0840..085F	Mandaic	Mandaic letter an		
084E	"""ࡎ"""	0840..085F	Mandaic	Mandaic letter as		
084F	"""ࡏ"""	0840..085F	Mandaic	Mandaic letter in		
0850	"""ࡐ"""	0840..085F	Mandaic	Mandaic letter ap		
0851	"""ࡑ"""	0840..085F	Mandaic	Mandaic letter asz		
0852	"""ࡒ"""	0840..085F	Mandaic	Mandaic letter aq		
0853	"""ࡓ"""	0840..085F	Mandaic	Mandaic letter ar		
0854	"""ࡔ"""	0840..085F	Mandaic	Mandaic letter ash		
0855	"""ࡕ"""	0840..085F	Mandaic	Mandaic letter at		
0856	"""ࡖ"""	0840..085F	Mandaic	Mandaic letter dushenna		
0857	"""ࡗ"""	0840..085F	Mandaic	Mandaic letter kad		
0858	"""ࡘ"""	0840..085F	Mandaic	Mandaic letter ain		
0859	"""࡙"""	0840..085F	Mandaic	Mandaic affrication mark		
085A	"""࡚"""	0840..085F	Mandaic	Mandaic vocalization mark		
085B	"""࡛"""	0840..085F	Mandaic	Mandaic gemination mark		
085E	"""࡞"""	0840..085F	Mandaic	Mandaic punctuation		
