code_point	symbol	block	block_name	name	tab_completion	latex_code
0860	"""ࡠ"""	0860..086F	Syriac Supplement	Syriac letter malayalam nga		
0861	"""ࡡ"""	0860..086F	Syriac Supplement	Syriac letter malayalam ja		
0862	"""ࡢ"""	0860..086F	Syriac Supplement	Syriac letter malayalam nya		
0863	"""ࡣ"""	0860..086F	Syriac Supplement	Syriac letter malayalam tta		
0864	"""ࡤ"""	0860..086F	Syriac Supplement	Syriac letter malayalam nna		
0865	"""ࡥ"""	0860..086F	Syriac Supplement	Syriac letter malayalam nnna		
0866	"""ࡦ"""	0860..086F	Syriac Supplement	Syriac letter malayalam bha		
0867	"""ࡧ"""	0860..086F	Syriac Supplement	Syriac letter malayalam ra		
0868	"""ࡨ"""	0860..086F	Syriac Supplement	Syriac letter malayalam lla		
0869	"""ࡩ"""	0860..086F	Syriac Supplement	Syriac letter malayalam llla		
086A	"""ࡪ"""	0860..086F	Syriac Supplement	Syriac letter malayalam ssa		
