code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0900	ऀ	0900..097F	Devanagari	Devanagari sign inverted candrabindu		
U+0901	ँ	0900..097F	Devanagari	Devanagari sign candrabindu		
U+0902	ं	0900..097F	Devanagari	Devanagari sign anusvara		
U+0903	ः	0900..097F	Devanagari	Devanagari sign visarga		
U+0904	ऄ	0900..097F	Devanagari	Devanagari letter short a		
U+0905	अ	0900..097F	Devanagari	Devanagari letter a		
U+0906	आ	0900..097F	Devanagari	Devanagari letter aa		
U+0907	इ	0900..097F	Devanagari	Devanagari letter i		
U+0908	ई	0900..097F	Devanagari	Devanagari letter ii		
U+0909	उ	0900..097F	Devanagari	Devanagari letter u		
U+090A	ऊ	0900..097F	Devanagari	Devanagari letter uu		
U+090B	ऋ	0900..097F	Devanagari	Devanagari letter vocalic r		
U+090C	ऌ	0900..097F	Devanagari	Devanagari letter vocalic l		
U+090D	ऍ	0900..097F	Devanagari	Devanagari letter candra e		
U+090E	ऎ	0900..097F	Devanagari	Devanagari letter short e		
U+090F	ए	0900..097F	Devanagari	Devanagari letter e		
U+0910	ऐ	0900..097F	Devanagari	Devanagari letter ai		
U+0911	ऑ	0900..097F	Devanagari	Devanagari letter candra o		
U+0912	ऒ	0900..097F	Devanagari	Devanagari letter short o		
U+0913	ओ	0900..097F	Devanagari	Devanagari letter o		
U+0914	औ	0900..097F	Devanagari	Devanagari letter au		
U+0915	क	0900..097F	Devanagari	Devanagari letter ka		
U+0916	ख	0900..097F	Devanagari	Devanagari letter kha		
U+0917	ग	0900..097F	Devanagari	Devanagari letter ga		
U+0918	घ	0900..097F	Devanagari	Devanagari letter gha		
U+0919	ङ	0900..097F	Devanagari	Devanagari letter nga		
U+091A	च	0900..097F	Devanagari	Devanagari letter ca		
U+091B	छ	0900..097F	Devanagari	Devanagari letter cha		
U+091C	ज	0900..097F	Devanagari	Devanagari letter ja		
U+091D	झ	0900..097F	Devanagari	Devanagari letter jha		
U+091E	ञ	0900..097F	Devanagari	Devanagari letter nya		
U+091F	ट	0900..097F	Devanagari	Devanagari letter tta		
U+0920	ठ	0900..097F	Devanagari	Devanagari letter ttha		
U+0921	ड	0900..097F	Devanagari	Devanagari letter dda		
U+0922	ढ	0900..097F	Devanagari	Devanagari letter ddha		
U+0923	ण	0900..097F	Devanagari	Devanagari letter nna		
U+0924	त	0900..097F	Devanagari	Devanagari letter ta		
U+0925	थ	0900..097F	Devanagari	Devanagari letter tha		
U+0926	द	0900..097F	Devanagari	Devanagari letter da		
U+0927	ध	0900..097F	Devanagari	Devanagari letter dha		
U+0928	न	0900..097F	Devanagari	Devanagari letter na		
U+0929	ऩ	0900..097F	Devanagari	Devanagari letter nnna		
U+092A	प	0900..097F	Devanagari	Devanagari letter pa		
U+092B	फ	0900..097F	Devanagari	Devanagari letter pha		
U+092C	ब	0900..097F	Devanagari	Devanagari letter ba		
U+092D	भ	0900..097F	Devanagari	Devanagari letter bha		
U+092E	म	0900..097F	Devanagari	Devanagari letter ma		
U+092F	य	0900..097F	Devanagari	Devanagari letter ya		
U+0930	र	0900..097F	Devanagari	Devanagari letter ra		
U+0931	ऱ	0900..097F	Devanagari	Devanagari letter rra		
U+0932	ल	0900..097F	Devanagari	Devanagari letter la		
U+0933	ळ	0900..097F	Devanagari	Devanagari letter lla		
U+0934	ऴ	0900..097F	Devanagari	Devanagari letter llla		
U+0935	व	0900..097F	Devanagari	Devanagari letter va		
U+0936	श	0900..097F	Devanagari	Devanagari letter sha		
U+0937	ष	0900..097F	Devanagari	Devanagari letter ssa		
U+0938	स	0900..097F	Devanagari	Devanagari letter sa		
U+0939	ह	0900..097F	Devanagari	Devanagari letter ha		
U+093A	ऺ	0900..097F	Devanagari	Devanagari vowel sign oe		
U+093B	ऻ	0900..097F	Devanagari	Devanagari vowel sign ooe		
U+093C	़	0900..097F	Devanagari	Devanagari sign nukta		
U+093D	ऽ	0900..097F	Devanagari	Devanagari sign avagraha		
U+093E	ा	0900..097F	Devanagari	Devanagari vowel sign aa		
U+093F	ि	0900..097F	Devanagari	Devanagari vowel sign i		
U+0940	ी	0900..097F	Devanagari	Devanagari vowel sign ii		
U+0941	ु	0900..097F	Devanagari	Devanagari vowel sign u		
U+0942	ू	0900..097F	Devanagari	Devanagari vowel sign uu		
U+0943	ृ	0900..097F	Devanagari	Devanagari vowel sign vocalic r		
