code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0A01	ਁ	0A00..0A7F	Gurmukhi	Gurmukhi sign adak bindi		
U+0A02	ਂ	0A00..0A7F	Gurmukhi	Gurmukhi sign bindi		
U+0A03	ਃ	0A00..0A7F	Gurmukhi	Gurmukhi sign visarga		
U+0A05	ਅ	0A00..0A7F	Gurmukhi	Gurmukhi letter a		
U+0A06	ਆ	0A00..0A7F	Gurmukhi	Gurmukhi letter aa		
U+0A07	ਇ	0A00..0A7F	Gurmukhi	Gurmukhi letter i		
U+0A08	ਈ	0A00..0A7F	Gurmukhi	Gurmukhi letter ii		
U+0A09	ਉ	0A00..0A7F	Gurmukhi	Gurmukhi letter u		
U+0A0A	ਊ	0A00..0A7F	Gurmukhi	Gurmukhi letter uu		
U+0A0F	ਏ	0A00..0A7F	Gurmukhi	Gurmukhi letter ee		
U+0A10	ਐ	0A00..0A7F	Gurmukhi	Gurmukhi letter ai		
U+0A13	ਓ	0A00..0A7F	Gurmukhi	Gurmukhi letter oo		
U+0A14	ਔ	0A00..0A7F	Gurmukhi	Gurmukhi letter au		
U+0A15	ਕ	0A00..0A7F	Gurmukhi	Gurmukhi letter ka		
U+0A16	ਖ	0A00..0A7F	Gurmukhi	Gurmukhi letter kha		
U+0A17	ਗ	0A00..0A7F	Gurmukhi	Gurmukhi letter ga		
U+0A18	ਘ	0A00..0A7F	Gurmukhi	Gurmukhi letter gha		
U+0A19	ਙ	0A00..0A7F	Gurmukhi	Gurmukhi letter nga		
U+0A1A	ਚ	0A00..0A7F	Gurmukhi	Gurmukhi letter ca		
U+0A1B	ਛ	0A00..0A7F	Gurmukhi	Gurmukhi letter cha		
U+0A1C	ਜ	0A00..0A7F	Gurmukhi	Gurmukhi letter ja		
U+0A1D	ਝ	0A00..0A7F	Gurmukhi	Gurmukhi letter jha		
U+0A1E	ਞ	0A00..0A7F	Gurmukhi	Gurmukhi letter nya		
U+0A1F	ਟ	0A00..0A7F	Gurmukhi	Gurmukhi letter tta		
U+0A20	ਠ	0A00..0A7F	Gurmukhi	Gurmukhi letter ttha		
U+0A21	ਡ	0A00..0A7F	Gurmukhi	Gurmukhi letter dda		
U+0A22	ਢ	0A00..0A7F	Gurmukhi	Gurmukhi letter ddha		
U+0A23	ਣ	0A00..0A7F	Gurmukhi	Gurmukhi letter nna		
U+0A24	ਤ	0A00..0A7F	Gurmukhi	Gurmukhi letter ta		
U+0A25	ਥ	0A00..0A7F	Gurmukhi	Gurmukhi letter tha		
U+0A26	ਦ	0A00..0A7F	Gurmukhi	Gurmukhi letter da		
U+0A27	ਧ	0A00..0A7F	Gurmukhi	Gurmukhi letter dha		
U+0A28	ਨ	0A00..0A7F	Gurmukhi	Gurmukhi letter na		
U+0A2A	ਪ	0A00..0A7F	Gurmukhi	Gurmukhi letter pa		
U+0A2B	ਫ	0A00..0A7F	Gurmukhi	Gurmukhi letter pha		
U+0A2C	ਬ	0A00..0A7F	Gurmukhi	Gurmukhi letter ba		
U+0A2D	ਭ	0A00..0A7F	Gurmukhi	Gurmukhi letter bha		
