code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0B01	ଁ	0B00..0B7F	Oriya	Oriya sign candrabindu		
U+0B02	ଂ	0B00..0B7F	Oriya	Oriya sign anusvara		
U+0B03	ଃ	0B00..0B7F	Oriya	Oriya sign visarga		
U+0B05	ଅ	0B00..0B7F	Oriya	Oriya letter a		
U+0B06	ଆ	0B00..0B7F	Oriya	Oriya letter aa		
U+0B07	ଇ	0B00..0B7F	Oriya	Oriya letter i		
U+0B08	ଈ	0B00..0B7F	Oriya	Oriya letter ii		
U+0B09	ଉ	0B00..0B7F	Oriya	Oriya letter u		
U+0B0A	ଊ	0B00..0B7F	Oriya	Oriya letter uu		
U+0B0B	ଋ	0B00..0B7F	Oriya	Oriya letter vocalic r		
U+0B0C	ଌ	0B00..0B7F	Oriya	Oriya letter vocalic l		
U+0B0F	ଏ	0B00..0B7F	Oriya	Oriya letter e		
U+0B10	ଐ	0B00..0B7F	Oriya	Oriya letter ai		
U+0B13	ଓ	0B00..0B7F	Oriya	Oriya letter o		
U+0B14	ଔ	0B00..0B7F	Oriya	Oriya letter au		
U+0B15	କ	0B00..0B7F	Oriya	Oriya letter ka		
U+0B16	ଖ	0B00..0B7F	Oriya	Oriya letter kha		
U+0B17	ଗ	0B00..0B7F	Oriya	Oriya letter ga		
U+0B18	ଘ	0B00..0B7F	Oriya	Oriya letter gha		
U+0B19	ଙ	0B00..0B7F	Oriya	Oriya letter nga		
U+0B1A	ଚ	0B00..0B7F	Oriya	Oriya letter ca		
U+0B1B	ଛ	0B00..0B7F	Oriya	Oriya letter cha		
U+0B1C	ଜ	0B00..0B7F	Oriya	Oriya letter ja		
U+0B1D	ଝ	0B00..0B7F	Oriya	Oriya letter jha		
U+0B1E	ଞ	0B00..0B7F	Oriya	Oriya letter nya		
U+0B1F	ଟ	0B00..0B7F	Oriya	Oriya letter tta		
U+0B20	ଠ	0B00..0B7F	Oriya	Oriya letter ttha		
U+0B21	ଡ	0B00..0B7F	Oriya	Oriya letter dda		
U+0B22	ଢ	0B00..0B7F	Oriya	Oriya letter ddha		
U+0B23	ଣ	0B00..0B7F	Oriya	Oriya letter nna		
U+0B24	ତ	0B00..0B7F	Oriya	Oriya letter ta		
U+0B25	ଥ	0B00..0B7F	Oriya	Oriya letter tha		
U+0B26	ଦ	0B00..0B7F	Oriya	Oriya letter da		
U+0B27	ଧ	0B00..0B7F	Oriya	Oriya letter dha		
U+0B28	ନ	0B00..0B7F	Oriya	Oriya letter na		
U+0B2A	ପ	0B00..0B7F	Oriya	Oriya letter pa		
U+0B2B	ଫ	0B00..0B7F	Oriya	Oriya letter pha		
U+0B2C	ବ	0B00..0B7F	Oriya	Oriya letter ba		
U+0B2D	ଭ	0B00..0B7F	Oriya	Oriya letter bha		
U+0B2E	ମ	0B00..0B7F	Oriya	Oriya letter ma		
U+0B2F	ଯ	0B00..0B7F	Oriya	Oriya letter ya		
U+0B30	ର	0B00..0B7F	Oriya	Oriya letter ra		
