code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0C00	ఀ	0C00..0C7F	Telugu	Telugu sign combining candrabindu above		
U+0C01	ఁ	0C00..0C7F	Telugu	Telugu sign candrabindu		
U+0C02	ం	0C00..0C7F	Telugu	Telugu sign anusvara		
U+0C03	ః	0C00..0C7F	Telugu	Telugu sign visarga		
U+0C04	ఄ	0C00..0C7F	Telugu	Telugu sign combining anusvara above		
U+0C05	అ	0C00..0C7F	Telugu	Telugu letter a		
U+0C06	ఆ	0C00..0C7F	Telugu	Telugu letter aa		
U+0C07	ఇ	0C00..0C7F	Telugu	Telugu letter i		
U+0C08	ఈ	0C00..0C7F	Telugu	Telugu letter ii		
U+0C09	ఉ	0C00..0C7F	Telugu	Telugu letter u		
U+0C0A	ఊ	0C00..0C7F	Telugu	Telugu letter uu		
U+0C0B	ఋ	0C00..0C7F	Telugu	Telugu letter vocalic r		
U+0C0C	ఌ	0C00..0C7F	Telugu	Telugu letter vocalic l		
U+0C0E	ఎ	0C00..0C7F	Telugu	Telugu letter e		
U+0C0F	ఏ	0C00..0C7F	Telugu	Telugu letter ee		
U+0C10	ఐ	0C00..0C7F	Telugu	Telugu letter ai		
U+0C12	ఒ	0C00..0C7F	Telugu	Telugu letter o		
U+0C13	ఓ	0C00..0C7F	Telugu	Telugu letter oo		
U+0C14	ఔ	0C00..0C7F	Telugu	Telugu letter au		
U+0C15	క	0C00..0C7F	Telugu	Telugu letter ka		
U+0C16	ఖ	0C00..0C7F	Telugu	Telugu letter kha		
U+0C17	గ	0C00..0C7F	Telugu	Telugu letter ga		
U+0C18	ఘ	0C00..0C7F	Telugu	Telugu letter gha		
U+0C19	ఙ	0C00..0C7F	Telugu	Telugu letter nga		
U+0C1A	చ	0C00..0C7F	Telugu	Telugu letter ca		
U+0C1B	ఛ	0C00..0C7F	Telugu	Telugu letter cha		
U+0C1C	జ	0C00..0C7F	Telugu	Telugu letter ja		
U+0C1D	ఝ	0C00..0C7F	Telugu	Telugu letter jha		
U+0C1E	ఞ	0C00..0C7F	Telugu	Telugu letter nya		
U+0C1F	ట	0C00..0C7F	Telugu	Telugu letter tta		
U+0C20	ఠ	0C00..0C7F	Telugu	Telugu letter ttha		
U+0C21	డ	0C00..0C7F	Telugu	Telugu letter dda		
U+0C22	ఢ	0C00..0C7F	Telugu	Telugu letter ddha		
U+0C23	ణ	0C00..0C7F	Telugu	Telugu letter nna		
U+0C24	త	0C00..0C7F	Telugu	Telugu letter ta		
U+0C25	థ	0C00..0C7F	Telugu	Telugu letter tha		
U+0C26	ద	0C00..0C7F	Telugu	Telugu letter da		
U+0C27	ధ	0C00..0C7F	Telugu	Telugu letter dha		
U+0C28	న	0C00..0C7F	Telugu	Telugu letter na		
U+0C2A	ప	0C00..0C7F	Telugu	Telugu letter pa		
U+0C2B	ఫ	0C00..0C7F	Telugu	Telugu letter pha		
U+0C2C	బ	0C00..0C7F	Telugu	Telugu letter ba		
U+0C2D	భ	0C00..0C7F	Telugu	Telugu letter bha		
U+0C2E	మ	0C00..0C7F	Telugu	Telugu letter ma		
U+0C2F	య	0C00..0C7F	Telugu	Telugu letter ya		
U+0C30	ర	0C00..0C7F	Telugu	Telugu letter ra		
U+0C31	ఱ	0C00..0C7F	Telugu	Telugu letter rra		
U+0C32	ల	0C00..0C7F	Telugu	Telugu letter la		
U+0C33	ళ	0C00..0C7F	Telugu	Telugu letter lla		
U+0C34	ఴ	0C00..0C7F	Telugu	Telugu letter llla		
U+0C35	వ	0C00..0C7F	Telugu	Telugu letter va		
U+0C36	శ	0C00..0C7F	Telugu	Telugu letter sha		
U+0C37	ష	0C00..0C7F	Telugu	Telugu letter ssa		
