code_point	symbol	block	block_name	name	tab_completion	latex_code
0C80	"""ಀ"""	0C80..0CFF	Kannada	Kannada sign spacing candrabindu		
0C81	"""ಁ"""	0C80..0CFF	Kannada	Kannada sign candrabindu		
0C82	"""ಂ"""	0C80..0CFF	Kannada	Kannada sign anusvara		
0C83	"""ಃ"""	0C80..0CFF	Kannada	Kannada sign visarga		
0C84	"""಄"""	0C80..0CFF	Kannada	Kannada sign siddham		
0C85	"""ಅ"""	0C80..0CFF	Kannada	Kannada letter a		
0C86	"""ಆ"""	0C80..0CFF	Kannada	Kannada letter aa		
0C87	"""ಇ"""	0C80..0CFF	Kannada	Kannada letter i		
0C88	"""ಈ"""	0C80..0CFF	Kannada	Kannada letter ii		
0C89	"""ಉ"""	0C80..0CFF	Kannada	Kannada letter u		
0C8A	"""ಊ"""	0C80..0CFF	Kannada	Kannada letter uu		
0C8B	"""ಋ"""	0C80..0CFF	Kannada	Kannada letter vocalic r		
0C8C	"""ಌ"""	0C80..0CFF	Kannada	Kannada letter vocalic l		
0C8E	"""ಎ"""	0C80..0CFF	Kannada	Kannada letter e		
0C8F	"""ಏ"""	0C80..0CFF	Kannada	Kannada letter ee		
0C90	"""ಐ"""	0C80..0CFF	Kannada	Kannada letter ai		
0C92	"""ಒ"""	0C80..0CFF	Kannada	Kannada letter o		
0C93	"""ಓ"""	0C80..0CFF	Kannada	Kannada letter oo		
0C94	"""ಔ"""	0C80..0CFF	Kannada	Kannada letter au		
0C95	"""ಕ"""	0C80..0CFF	Kannada	Kannada letter ka		
0C96	"""ಖ"""	0C80..0CFF	Kannada	Kannada letter kha		
0C97	"""ಗ"""	0C80..0CFF	Kannada	Kannada letter ga		
0C98	"""ಘ"""	0C80..0CFF	Kannada	Kannada letter gha		
0C99	"""ಙ"""	0C80..0CFF	Kannada	Kannada letter nga		
0C9A	"""ಚ"""	0C80..0CFF	Kannada	Kannada letter ca		
0C9B	"""ಛ"""	0C80..0CFF	Kannada	Kannada letter cha		
0C9C	"""ಜ"""	0C80..0CFF	Kannada	Kannada letter ja		
0C9D	"""ಝ"""	0C80..0CFF	Kannada	Kannada letter jha		
0C9E	"""ಞ"""	0C80..0CFF	Kannada	Kannada letter nya		
0C9F	"""ಟ"""	0C80..0CFF	Kannada	Kannada letter tta		
0CA0	"""ಠ"""	0C80..0CFF	Kannada	Kannada letter ttha		
0CA1	"""ಡ"""	0C80..0CFF	Kannada	Kannada letter dda		
0CA2	"""ಢ"""	0C80..0CFF	Kannada	Kannada letter ddha		
0CA3	"""ಣ"""	0C80..0CFF	Kannada	Kannada letter nna		
0CA4	"""ತ"""	0C80..0CFF	Kannada	Kannada letter ta		
0CA5	"""ಥ"""	0C80..0CFF	Kannada	Kannada letter tha		
0CA6	"""ದ"""	0C80..0CFF	Kannada	Kannada letter da		
0CA7	"""ಧ"""	0C80..0CFF	Kannada	Kannada letter dha		
