code_point	symbol	block	block_name	name	tab_completion	latex_code
0D00	"""ഀ"""	0D00..0D7F	Malayalam	Malayalam sign combining anusvara above		
0D01	"""ഁ"""	0D00..0D7F	Malayalam	Malayalam sign candrabindu		
0D02	"""ം"""	0D00..0D7F	Malayalam	Malayalam sign anusvara		
0D03	"""ഃ"""	0D00..0D7F	Malayalam	Malayalam sign visarga		
0D04	"""ഄ"""	0D00..0D7F	Malayalam	Malayalam letter vedic anusvara		
0D05	"""അ"""	0D00..0D7F	Malayalam	Malayalam letter a		
0D06	"""ആ"""	0D00..0D7F	Malayalam	Malayalam letter aa		
0D07	"""ഇ"""	0D00..0D7F	Malayalam	Malayalam letter i		
0D08	"""ഈ"""	0D00..0D7F	Malayalam	Malayalam letter ii		
0D09	"""ഉ"""	0D00..0D7F	Malayalam	Malayalam letter u		
0D0A	"""ഊ"""	0D00..0D7F	Malayalam	Malayalam letter uu		
0D0B	"""ഋ"""	0D00..0D7F	Malayalam	Malayalam letter vocalic r		
0D0C	"""ഌ"""	0D00..0D7F	Malayalam	Malayalam letter vocalic l		
0D0E	"""എ"""	0D00..0D7F	Malayalam	Malayalam letter e		
0D0F	"""ഏ"""	0D00..0D7F	Malayalam	Malayalam letter ee		
0D10	"""ഐ"""	0D00..0D7F	Malayalam	Malayalam letter ai		
0D12	"""ഒ"""	0D00..0D7F	Malayalam	Malayalam letter o		
0D13	"""ഓ"""	0D00..0D7F	Malayalam	Malayalam letter oo		
0D14	"""ഔ"""	0D00..0D7F	Malayalam	Malayalam letter au		
0D15	"""ക"""	0D00..0D7F	Malayalam	Malayalam letter ka		
0D16	"""ഖ"""	0D00..0D7F	Malayalam	Malayalam letter kha		
0D17	"""ഗ"""	0D00..0D7F	Malayalam	Malayalam letter ga		
0D18	"""ഘ"""	0D00..0D7F	Malayalam	Malayalam letter gha		
0D19	"""ങ"""	0D00..0D7F	Malayalam	Malayalam letter nga		
0D1A	"""ച"""	0D00..0D7F	Malayalam	Malayalam letter ca		
0D1B	"""ഛ"""	0D00..0D7F	Malayalam	Malayalam letter cha		
0D1C	"""ജ"""	0D00..0D7F	Malayalam	Malayalam letter ja		
