code_point	symbol	block	block_name	name	tab_completion	latex_code
0D81	"""ඁ"""	0D80..0DFF	Sinhala	Sinhala sign candrabindu		
0D82	"""ං"""	0D80..0DFF	Sinhala	Sinhala sign anusvaraya		
0D83	"""ඃ"""	0D80..0DFF	Sinhala	Sinhala sign visargaya		
0D85	"""අ"""	0D80..0DFF	Sinhala	Sinhala letter ayanna		
0D86	"""ආ"""	0D80..0DFF	Sinhala	Sinhala letter aayanna		
0D87	"""ඇ"""	0D80..0DFF	Sinhala	Sinhala letter aeyanna		
0D88	"""ඈ"""	0D80..0DFF	Sinhala	Sinhala letter aeeyanna		
0D89	"""ඉ"""	0D80..0DFF	Sinhala	Sinhala letter iyanna		
0D8A	"""ඊ"""	0D80..0DFF	Sinhala	Sinhala letter iiyanna		
0D8B	"""උ"""	0D80..0DFF	Sinhala	Sinhala letter uyanna		
0D8C	"""ඌ"""	0D80..0DFF	Sinhala	Sinhala letter uuyanna		
0D8D	"""ඍ"""	0D80..0DFF	Sinhala	Sinhala letter iruyanna		
0D8E	"""ඎ"""	0D80..0DFF	Sinhala	Sinhala letter iruuyanna		
0D8F	"""ඏ"""	0D80..0DFF	Sinhala	Sinhala letter iluyanna		
0D90	"""ඐ"""	0D80..0DFF	Sinhala	Sinhala letter iluuyanna		
0D91	"""එ"""	0D80..0DFF	Sinhala	Sinhala letter eyanna		
0D92	"""ඒ"""	0D80..0DFF	Sinhala	Sinhala letter eeyanna		
0D93	"""ඓ"""	0D80..0DFF	Sinhala	Sinhala letter aiyanna		
0D94	"""ඔ"""	0D80..0DFF	Sinhala	Sinhala letter oyanna		
0D95	"""ඕ"""	0D80..0DFF	Sinhala	Sinhala letter ooyanna		
0D96	"""ඖ"""	0D80..0DFF	Sinhala	Sinhala letter auyanna		
0D9A	"""ක"""	0D80..0DFF	Sinhala	Sinhala letter alpapraana kayanna		
0D9B	"""ඛ"""	0D80..0DFF	Sinhala	Sinhala letter mahaapraana kayanna		
0D9C	"""ග"""	0D80..0DFF	Sinhala	Sinhala letter alpapraana gayanna		
0D9D	"""ඝ"""	0D80..0DFF	Sinhala	Sinhala letter mahaapraana gayanna		
0D9E	"""ඞ"""	0D80..0DFF	Sinhala	Sinhala letter kantaja naasikyaya		
0D9F	"""ඟ"""	0D80..0DFF	Sinhala	Sinhala letter sanyaka gayanna		
0DA0	"""ච"""	0D80..0DFF	Sinhala	Sinhala letter alpapraana cayanna		
0DA1	"""ඡ"""	0D80..0DFF	Sinhala	Sinhala letter mahaapraana cayanna		
0DA2	"""ජ"""	0D80..0DFF	Sinhala	Sinhala letter alpapraana jayanna		
0DA3	"""ඣ"""	0D80..0DFF	Sinhala	Sinhala letter mahaapraana jayanna		
0DA4	"""ඤ"""	0D80..0DFF	Sinhala	Sinhala letter taaluja naasikyaya		
0DA5	"""ඥ"""	0D80..0DFF	Sinhala	Sinhala letter taaluja sanyooga naaksikyaya		
0DA6	"""ඦ"""	0D80..0DFF	Sinhala	Sinhala letter sanyaka jayanna		
0DA7	"""ට"""	0D80..0DFF	Sinhala	Sinhala letter alpapraana ttayanna		
0DA8	"""ඨ"""	0D80..0DFF	Sinhala	Sinhala letter mahaapraana ttayanna		
0DA9	"""ඩ"""	0D80..0DFF	Sinhala	Sinhala letter alpapraana ddayanna		
0DAA	"""ඪ"""	0D80..0DFF	Sinhala	Sinhala letter mahaapraana ddayanna		
0DAB	"""ණ"""	0D80..0DFF	Sinhala	Sinhala letter muurdhaja nayanna		
0DAC	"""ඬ"""	0D80..0DFF	Sinhala	Sinhala letter sanyaka ddayanna		
0DAD	"""ත"""	0D80..0DFF	Sinhala	Sinhala letter alpapraana tayanna		
0DAE	"""ථ"""	0D80..0DFF	Sinhala	Sinhala letter mahaapraana tayanna		
0DAF	"""ද"""	0D80..0DFF	Sinhala	Sinhala letter alpapraana dayanna		
0DB0	"""ධ"""	0D80..0DFF	Sinhala	Sinhala letter mahaapraana dayanna		
0DB1	"""න"""	0D80..0DFF	Sinhala	Sinhala letter dantaja nayanna		
0DB3	"""ඳ"""	0D80..0DFF	Sinhala	Sinhala letter sanyaka dayanna		
0DB4	"""ප"""	0D80..0DFF	Sinhala	Sinhala letter alpapraana payanna		
0DB5	"""ඵ"""	0D80..0DFF	Sinhala	Sinhala letter mahaapraana payanna		
0DB6	"""බ"""	0D80..0DFF	Sinhala	Sinhala letter alpapraana bayanna		
0DB7	"""භ"""	0D80..0DFF	Sinhala	Sinhala letter mahaapraana bayanna		
0DB8	"""ම"""	0D80..0DFF	Sinhala	Sinhala letter mayanna		
0DB9	"""ඹ"""	0D80..0DFF	Sinhala	Sinhala letter amba bayanna		
0DBA	"""ය"""	0D80..0DFF	Sinhala	Sinhala letter yayanna		
0DBB	"""ර"""	0D80..0DFF	Sinhala	Sinhala letter rayanna		
0DBD	"""ල"""	0D80..0DFF	Sinhala	Sinhala letter dantaja layanna		
0DC0	"""ව"""	0D80..0DFF	Sinhala	Sinhala letter vayanna		
0DC1	"""ශ"""	0D80..0DFF	Sinhala	Sinhala letter taaluja sayanna		
0DC2	"""ෂ"""	0D80..0DFF	Sinhala	Sinhala letter muurdhaja sayanna		
0DC3	"""ස"""	0D80..0DFF	Sinhala	Sinhala letter dantaja sayanna		
0DC4	"""හ"""	0D80..0DFF	Sinhala	Sinhala letter hayanna		
0DC5	"""ළ"""	0D80..0DFF	Sinhala	Sinhala letter muurdhaja layanna		
0DC6	"""ෆ"""	0D80..0DFF	Sinhala	Sinhala letter fayanna		
0DCA	"""්"""	0D80..0DFF	Sinhala	Sinhala sign al-lakuna		
0DCF	"""ා"""	0D80..0DFF	Sinhala	Sinhala vowel sign aela-pilla		
0DD0	"""ැ"""	0D80..0DFF	Sinhala	Sinhala vowel sign ketti aeda-pilla		
0DD1	"""ෑ"""	0D80..0DFF	Sinhala	Sinhala vowel sign diga aeda-pilla		
0DD2	"""ි"""	0D80..0DFF	Sinhala	Sinhala vowel sign ketti is-pilla		
0DD3	"""ී"""	0D80..0DFF	Sinhala	Sinhala vowel sign diga is-pilla		
0DD4	"""ු"""	0D80..0DFF	Sinhala	Sinhala vowel sign ketti paa-pilla		
0DD6	"""ූ"""	0D80..0DFF	Sinhala	Sinhala vowel sign diga paa-pilla		
0DD8	"""ෘ"""	0D80..0DFF	Sinhala	Sinhala vowel sign gaetta-pilla		
0DD9	"""ෙ"""	0D80..0DFF	Sinhala	Sinhala vowel sign kombuva		
0DDA	"""ේ"""	0D80..0DFF	Sinhala	Sinhala vowel sign diga kombuva		
0DDB	"""ෛ"""	0D80..0DFF	Sinhala	Sinhala vowel sign kombu deka		
0DDC	"""ො"""	0D80..0DFF	Sinhala	Sinhala vowel sign kombuva haa aela-pilla		
0DDD	"""ෝ"""	0D80..0DFF	Sinhala	Sinhala vowel sign kombuva haa diga aela-pilla		
0DDE	"""ෞ"""	0D80..0DFF	Sinhala	Sinhala vowel sign kombuva haa gayanukitta		
0DDF	"""ෟ"""	0D80..0DFF	Sinhala	Sinhala vowel sign gayanukitta		
0DE6	"""෦"""	0D80..0DFF	Sinhala	Sinhala lith digit zero		
0DE7	"""෧"""	0D80..0DFF	Sinhala	Sinhala lith digit one		
0DE8	"""෨"""	0D80..0DFF	Sinhala	Sinhala lith digit two		
0DE9	"""෩"""	0D80..0DFF	Sinhala	Sinhala lith digit three		
0DEA	"""෪"""	0D80..0DFF	Sinhala	Sinhala lith digit four		
0DEB	"""෫"""	0D80..0DFF	Sinhala	Sinhala lith digit five		
0DEC	"""෬"""	0D80..0DFF	Sinhala	Sinhala lith digit six		
0DED	"""෭"""	0D80..0DFF	Sinhala	Sinhala lith digit seven		
0DEE	"""෮"""	0D80..0DFF	Sinhala	Sinhala lith digit eight		
0DEF	"""෯"""	0D80..0DFF	Sinhala	Sinhala lith digit nine		
0DF2	"""ෲ"""	0D80..0DFF	Sinhala	Sinhala vowel sign diga gaetta-pilla		
0DF3	"""ෳ"""	0D80..0DFF	Sinhala	Sinhala vowel sign diga gayanukitta		
0DF4	"""෴"""	0D80..0DFF	Sinhala	Sinhala punctuation kunddaliya		
