code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0E01	ก	0E00..0E7F	Thai	Thai character ko kai		
U+0E02	ข	0E00..0E7F	Thai	Thai character kho khai		
U+0E03	ฃ	0E00..0E7F	Thai	Thai character kho khuat		
U+0E04	ค	0E00..0E7F	Thai	Thai character kho khwai		
U+0E05	ฅ	0E00..0E7F	Thai	Thai character kho khon		
U+0E06	ฆ	0E00..0E7F	Thai	Thai character kho rakhang		
U+0E07	ง	0E00..0E7F	Thai	Thai character ngo ngu		
U+0E08	จ	0E00..0E7F	Thai	Thai character cho chan		
U+0E09	ฉ	0E00..0E7F	Thai	Thai character cho ching		
U+0E0A	ช	0E00..0E7F	Thai	Thai character cho chang		
U+0E0B	ซ	0E00..0E7F	Thai	Thai character so so		
U+0E0C	ฌ	0E00..0E7F	Thai	Thai character cho choe		
U+0E0D	ญ	0E00..0E7F	Thai	Thai character yo ying		
U+0E0E	ฎ	0E00..0E7F	Thai	Thai character do chada		
U+0E0F	ฏ	0E00..0E7F	Thai	Thai character to patak		
U+0E10	ฐ	0E00..0E7F	Thai	Thai character tho than		
U+0E11	ฑ	0E00..0E7F	Thai	Thai character tho nangmontho		
U+0E12	ฒ	0E00..0E7F	Thai	Thai character tho phuthao		
U+0E13	ณ	0E00..0E7F	Thai	Thai character no nen		
U+0E14	ด	0E00..0E7F	Thai	Thai character do dek		
U+0E15	ต	0E00..0E7F	Thai	Thai character to tao		
U+0E16	ถ	0E00..0E7F	Thai	Thai character tho thung		
U+0E17	ท	0E00..0E7F	Thai	Thai character tho thahan		
U+0E18	ธ	0E00..0E7F	Thai	Thai character tho thong		
U+0E19	น	0E00..0E7F	Thai	Thai character no nu		
U+0E1A	บ	0E00..0E7F	Thai	Thai character bo baimai		
U+0E1B	ป	0E00..0E7F	Thai	Thai character po pla		
U+0E1C	ผ	0E00..0E7F	Thai	Thai character pho phung		
U+0E1D	ฝ	0E00..0E7F	Thai	Thai character fo fa		
U+0E1E	พ	0E00..0E7F	Thai	Thai character pho phan		
U+0E1F	ฟ	0E00..0E7F	Thai	Thai character fo fan		
U+0E20	ภ	0E00..0E7F	Thai	Thai character pho samphao		
U+0E21	ม	0E00..0E7F	Thai	Thai character mo ma		
U+0E22	ย	0E00..0E7F	Thai	Thai character yo yak		
U+0E23	ร	0E00..0E7F	Thai	Thai character ro rua		
U+0E24	ฤ	0E00..0E7F	Thai	Thai character ru		
U+0E25	ล	0E00..0E7F	Thai	Thai character lo ling		
U+0E26	ฦ	0E00..0E7F	Thai	Thai character lu		
U+0E27	ว	0E00..0E7F	Thai	Thai character wo waen		
U+0E28	ศ	0E00..0E7F	Thai	Thai character so sala		
U+0E29	ษ	0E00..0E7F	Thai	Thai character so rusi		
U+0E2A	ส	0E00..0E7F	Thai	Thai character so sua		
U+0E2B	ห	0E00..0E7F	Thai	Thai character ho hip		
U+0E2C	ฬ	0E00..0E7F	Thai	Thai character lo chula		
U+0E2D	อ	0E00..0E7F	Thai	Thai character o ang		
U+0E2E	ฮ	0E00..0E7F	Thai	Thai character ho nokhuk		
U+0E2F	ฯ	0E00..0E7F	Thai	Thai character paiyannoi		
U+0E30	ะ	0E00..0E7F	Thai	Thai character sara a		
U+0E31	ั	0E00..0E7F	Thai	Thai character mai han-akat		
U+0E32	า	0E00..0E7F	Thai	Thai character sara aa		
U+0E33	ำ	0E00..0E7F	Thai	Thai character sara am		
U+0E34	ิ	0E00..0E7F	Thai	Thai character sara i		
U+0E35	ี	0E00..0E7F	Thai	Thai character sara ii		
U+0E36	ึ	0E00..0E7F	Thai	Thai character sara ue		
U+0E37	ื	0E00..0E7F	Thai	Thai character sara uee		
U+0E38	ุ	0E00..0E7F	Thai	Thai character sara u		
U+0E39	ู	0E00..0E7F	Thai	Thai character sara uu		
U+0E3A	ฺ	0E00..0E7F	Thai	Thai character phinthu		
U+0E3F	฿	0E00..0E7F	Thai	Thai currency symbol baht		
U+0E40	เ	0E00..0E7F	Thai	Thai character sara e		
U+0E41	แ	0E00..0E7F	Thai	Thai character sara ae		
U+0E42	โ	0E00..0E7F	Thai	Thai character sara o		
U+0E43	ใ	0E00..0E7F	Thai	Thai character sara ai maimuan		
U+0E44	ไ	0E00..0E7F	Thai	Thai character sara ai maimalai		
U+0E45	ๅ	0E00..0E7F	Thai	Thai character lakkhangyao		
U+0E46	ๆ	0E00..0E7F	Thai	Thai character maiyamok		
U+0E47	็	0E00..0E7F	Thai	Thai character maitaikhu		
U+0E48	่	0E00..0E7F	Thai	Thai character mai ek		
U+0E49	้	0E00..0E7F	Thai	Thai character mai tho		
U+0E4A	๊	0E00..0E7F	Thai	Thai character mai tri		
U+0E4B	๋	0E00..0E7F	Thai	Thai character mai chattawa		
U+0E4C	์	0E00..0E7F	Thai	Thai character thanthakhat		
U+0E4D	ํ	0E00..0E7F	Thai	Thai character nikhahit		
U+0E4E	๎	0E00..0E7F	Thai	Thai character yamakkan		
U+0E4F	๏	0E00..0E7F	Thai	Thai character fongman		
U+0E50	๐	0E00..0E7F	Thai	Thai digit zero		
U+0E51	๑	0E00..0E7F	Thai	Thai digit one		
U+0E52	๒	0E00..0E7F	Thai	Thai digit two		
U+0E53	๓	0E00..0E7F	Thai	Thai digit three		
U+0E54	๔	0E00..0E7F	Thai	Thai digit four		
U+0E55	๕	0E00..0E7F	Thai	Thai digit five		
U+0E56	๖	0E00..0E7F	Thai	Thai digit six		
U+0E57	๗	0E00..0E7F	Thai	Thai digit seven		
U+0E58	๘	0E00..0E7F	Thai	Thai digit eight		
U+0E59	๙	0E00..0E7F	Thai	Thai digit nine		
U+0E5A	๚	0E00..0E7F	Thai	Thai character angkhankhu		
U+0E5B	๛	0E00..0E7F	Thai	Thai character khomut		
