code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0E81	ກ	0E80..0EFF	Lao	Lao letter ko		
U+0E82	ຂ	0E80..0EFF	Lao	Lao letter kho sung		
U+0E84	ຄ	0E80..0EFF	Lao	Lao letter kho tam		
U+0E86	ຆ	0E80..0EFF	Lao	Lao letter pali gha		
U+0E87	ງ	0E80..0EFF	Lao	Lao letter ngo		
U+0E88	ຈ	0E80..0EFF	Lao	Lao letter co		
U+0E89	ຉ	0E80..0EFF	Lao	Lao letter pali cha		
U+0E8A	ຊ	0E80..0EFF	Lao	Lao letter so tam		
U+0E8C	ຌ	0E80..0EFF	Lao	Lao letter pali jha		
U+0E8D	ຍ	0E80..0EFF	Lao	Lao letter nyo		
U+0E8E	ຎ	0E80..0EFF	Lao	Lao letter pali nya		
U+0E8F	ຏ	0E80..0EFF	Lao	Lao letter pali tta		
U+0E90	ຐ	0E80..0EFF	Lao	Lao letter pali ttha		
U+0E91	ຑ	0E80..0EFF	Lao	Lao letter pali dda		
U+0E92	ຒ	0E80..0EFF	Lao	Lao letter pali ddha		
U+0E93	ຓ	0E80..0EFF	Lao	Lao letter pali nna		
U+0E94	ດ	0E80..0EFF	Lao	Lao letter do		
U+0E95	ຕ	0E80..0EFF	Lao	Lao letter to		
U+0E96	ຖ	0E80..0EFF	Lao	Lao letter tho sung		
U+0E97	ທ	0E80..0EFF	Lao	Lao letter tho tam		
U+0E98	ຘ	0E80..0EFF	Lao	Lao letter pali dha		
U+0E99	ນ	0E80..0EFF	Lao	Lao letter no		
U+0E9A	ບ	0E80..0EFF	Lao	Lao letter bo		
U+0E9B	ປ	0E80..0EFF	Lao	Lao letter po		
U+0E9C	ຜ	0E80..0EFF	Lao	Lao letter pho sung		
U+0E9D	ຝ	0E80..0EFF	Lao	Lao letter fo tam		
U+0E9E	ພ	0E80..0EFF	Lao	Lao letter pho tam		
U+0E9F	ຟ	0E80..0EFF	Lao	Lao letter fo sung		
U+0EA0	ຠ	0E80..0EFF	Lao	Lao letter pali bha		
U+0EA1	ມ	0E80..0EFF	Lao	Lao letter mo		
U+0EA2	ຢ	0E80..0EFF	Lao	Lao letter yo		
U+0EA3	ຣ	0E80..0EFF	Lao	Lao letter lo ling		
U+0EA5	ລ	0E80..0EFF	Lao	Lao letter lo loot		
