code_point	symbol	block	block_name	name	tab_completion	latex_code
U+0F00	ༀ	0F00..0FFF	Tibetan	Tibetan syllable om		
U+0F01	༁	0F00..0FFF	Tibetan	Tibetan mark gter yig mgo truncated a		
U+0F02	༂	0F00..0FFF	Tibetan	Tibetan mark gter yig mgo -um rnam bcad ma		
U+0F03	༃	0F00..0FFF	Tibetan	Tibetan mark gter yig mgo -um gter tsheg ma		
U+0F04	༄	0F00..0FFF	Tibetan	Tibetan mark initial yig mgo mdun ma		
U+0F05	༅	0F00..0FFF	Tibetan	Tibetan mark closing yig mgo sgab ma		
U+0F06	༆	0F00..0FFF	Tibetan	Tibetan mark caret yig mgo phur shad ma		
U+0F07	༇	0F00..0FFF	Tibetan	Tibetan mark yig mgo tsheg shad ma		
U+0F08	༈	0F00..0FFF	Tibetan	Tibetan mark sbrul shad		
U+0F09	༉	0F00..0FFF	Tibetan	Tibetan mark bskur yig mgo		
U+0F0A	༊	0F00..0FFF	Tibetan	Tibetan mark bka- shog yig mgo		
U+0F0B	་	0F00..0FFF	Tibetan	Tibetan mark intersyllabic tsheg		
U+0F0C	༌	0F00..0FFF	Tibetan	Tibetan mark delimiter tsheg bstar		
U+0F0D	།	0F00..0FFF	Tibetan	Tibetan mark shad		
U+0F0E	༎	0F00..0FFF	Tibetan	Tibetan mark nyis shad		
U+0F0F	༏	0F00..0FFF	Tibetan	Tibetan mark tsheg shad		
U+0F10	༐	0F00..0FFF	Tibetan	Tibetan mark nyis tsheg shad		
U+0F11	༑	0F00..0FFF	Tibetan	Tibetan mark rin chen spungs shad		
U+0F12	༒	0F00..0FFF	Tibetan	Tibetan mark rgya gram shad		
U+0F13	༓	0F00..0FFF	Tibetan	Tibetan mark caret -dzud rtags me long can		
U+0F14	༔	0F00..0FFF	Tibetan	Tibetan mark gter tsheg		
U+0F15	༕	0F00..0FFF	Tibetan	Tibetan logotype sign chad rtags		
U+0F16	༖	0F00..0FFF	Tibetan	Tibetan logotype sign lhag rtags		
U+0F17	༗	0F00..0FFF	Tibetan	Tibetan astrological sign sgra gcan -char rtags		
U+0F18	༘	0F00..0FFF	Tibetan	Tibetan astrological sign -khyud pa		
U+0F19	༙	0F00..0FFF	Tibetan	Tibetan astrological sign sdong tshugs		
U+0F1A	༚	0F00..0FFF	Tibetan	Tibetan sign rdel dkar gcig		
U+0F1B	༛	0F00..0FFF	Tibetan	Tibetan sign rdel dkar gnyis		
U+0F1C	༜	0F00..0FFF	Tibetan	Tibetan sign rdel dkar gsum		
U+0F1D	༝	0F00..0FFF	Tibetan	Tibetan sign rdel nag gcig		
U+0F1E	༞	0F00..0FFF	Tibetan	Tibetan sign rdel nag gnyis		
U+0F1F	༟	0F00..0FFF	Tibetan	Tibetan sign rdel dkar rdel nag		
U+0F20	༠	0F00..0FFF	Tibetan	Tibetan digit zero		
U+0F21	༡	0F00..0FFF	Tibetan	Tibetan digit one		
U+0F22	༢	0F00..0FFF	Tibetan	Tibetan digit two		
U+0F23	༣	0F00..0FFF	Tibetan	Tibetan digit three		
U+0F24	༤	0F00..0FFF	Tibetan	Tibetan digit four		
U+0F25	༥	0F00..0FFF	Tibetan	Tibetan digit five		
U+0F26	༦	0F00..0FFF	Tibetan	Tibetan digit six		
U+0F27	༧	0F00..0FFF	Tibetan	Tibetan digit seven		
U+0F28	༨	0F00..0FFF	Tibetan	Tibetan digit eight		
U+0F29	༩	0F00..0FFF	Tibetan	Tibetan digit nine		
U+0F2A	༪	0F00..0FFF	Tibetan	Tibetan digit half one		
U+0F2B	༫	0F00..0FFF	Tibetan	Tibetan digit half two		
U+0F2C	༬	0F00..0FFF	Tibetan	Tibetan digit half three		
U+0F2D	༭	0F00..0FFF	Tibetan	Tibetan digit half four		
U+0F2E	༮	0F00..0FFF	Tibetan	Tibetan digit half five		
U+0F2F	༯	0F00..0FFF	Tibetan	Tibetan digit half six		
U+0F30	༰	0F00..0FFF	Tibetan	Tibetan digit half seven		
U+0F31	༱	0F00..0FFF	Tibetan	Tibetan digit half eight		
U+0F32	༲	0F00..0FFF	Tibetan	Tibetan digit half nine		
U+0F33	༳	0F00..0FFF	Tibetan	Tibetan digit half zero		
U+0F34	༴	0F00..0FFF	Tibetan	Tibetan mark bsdus rtags		
U+0F35	༵	0F00..0FFF	Tibetan	Tibetan mark ngas bzung nyi zla		
U+0F36	༶	0F00..0FFF	Tibetan	Tibetan mark caret -dzud rtags bzhi mig can		
U+0F37	༷	0F00..0FFF	Tibetan	Tibetan mark ngas bzung sgor rtags		
U+0F38	༸	0F00..0FFF	Tibetan	Tibetan mark che mgo		
U+0F39	༹	0F00..0FFF	Tibetan	Tibetan mark tsa -phru		
U+0F3A	༺	0F00..0FFF	Tibetan	Tibetan mark gug rtags gyon		
U+0F3B	༻	0F00..0FFF	Tibetan	Tibetan mark gug rtags gyas		
U+0F3C	༼	0F00..0FFF	Tibetan	Tibetan mark ang khang gyon		
U+0F3D	༽	0F00..0FFF	Tibetan	Tibetan mark ang khang gyas		
U+0F3E	༾	0F00..0FFF	Tibetan	Tibetan sign yar tshes		
U+0F3F	༿	0F00..0FFF	Tibetan	Tibetan sign mar tshes		
U+0F40	ཀ	0F00..0FFF	Tibetan	Tibetan letter ka		
U+0F41	ཁ	0F00..0FFF	Tibetan	Tibetan letter kha		
U+0F42	ག	0F00..0FFF	Tibetan	Tibetan letter ga		
U+0F43	གྷ	0F00..0FFF	Tibetan	Tibetan letter gha		
U+0F44	ང	0F00..0FFF	Tibetan	Tibetan letter nga		
U+0F45	ཅ	0F00..0FFF	Tibetan	Tibetan letter ca		
U+0F46	ཆ	0F00..0FFF	Tibetan	Tibetan letter cha		
U+0F47	ཇ	0F00..0FFF	Tibetan	Tibetan letter ja		
U+0F49	ཉ	0F00..0FFF	Tibetan	Tibetan letter nya		
U+0F4A	ཊ	0F00..0FFF	Tibetan	Tibetan letter tta		
U+0F4B	ཋ	0F00..0FFF	Tibetan	Tibetan letter ttha		
U+0F4C	ཌ	0F00..0FFF	Tibetan	Tibetan letter dda		
U+0F4D	ཌྷ	0F00..0FFF	Tibetan	Tibetan letter ddha		
U+0F4E	ཎ	0F00..0FFF	Tibetan	Tibetan letter nna		
U+0F4F	ཏ	0F00..0FFF	Tibetan	Tibetan letter ta		
U+0F50	ཐ	0F00..0FFF	Tibetan	Tibetan letter tha		
U+0F51	ད	0F00..0FFF	Tibetan	Tibetan letter da		
U+0F52	དྷ	0F00..0FFF	Tibetan	Tibetan letter dha		
U+0F53	ན	0F00..0FFF	Tibetan	Tibetan letter na		
U+0F54	པ	0F00..0FFF	Tibetan	Tibetan letter pa		
U+0F55	ཕ	0F00..0FFF	Tibetan	Tibetan letter pha		
U+0F56	བ	0F00..0FFF	Tibetan	Tibetan letter ba		
U+0F57	བྷ	0F00..0FFF	Tibetan	Tibetan letter bha		
U+0F58	མ	0F00..0FFF	Tibetan	Tibetan letter ma		
U+0F59	ཙ	0F00..0FFF	Tibetan	Tibetan letter tsa		
U+0F5A	ཚ	0F00..0FFF	Tibetan	Tibetan letter tsha		
U+0F5B	ཛ	0F00..0FFF	Tibetan	Tibetan letter dza		
U+0F5C	ཛྷ	0F00..0FFF	Tibetan	Tibetan letter dzha		
U+0F5D	ཝ	0F00..0FFF	Tibetan	Tibetan letter wa		
U+0F5E	ཞ	0F00..0FFF	Tibetan	Tibetan letter zha		
U+0F5F	ཟ	0F00..0FFF	Tibetan	Tibetan letter za		
U+0F60	འ	0F00..0FFF	Tibetan	Tibetan letter -a		
U+0F61	ཡ	0F00..0FFF	Tibetan	Tibetan letter ya		
U+0F62	ར	0F00..0FFF	Tibetan	Tibetan letter ra		
U+0F63	ལ	0F00..0FFF	Tibetan	Tibetan letter la		
U+0F64	ཤ	0F00..0FFF	Tibetan	Tibetan letter sha		
U+0F65	ཥ	0F00..0FFF	Tibetan	Tibetan letter ssa		
U+0F66	ས	0F00..0FFF	Tibetan	Tibetan letter sa		
U+0F67	ཧ	0F00..0FFF	Tibetan	Tibetan letter ha		
U+0F68	ཨ	0F00..0FFF	Tibetan	Tibetan letter a		
U+0F69	ཀྵ	0F00..0FFF	Tibetan	Tibetan letter kssa		
U+0F6A	ཪ	0F00..0FFF	Tibetan	Tibetan letter fixed-form ra		
U+0F6B	ཫ	0F00..0FFF	Tibetan	Tibetan letter kka		
U+0F6C	ཬ	0F00..0FFF	Tibetan	Tibetan letter rra		
U+0F71	ཱ	0F00..0FFF	Tibetan	Tibetan vowel sign aa		
U+0F72	ི	0F00..0FFF	Tibetan	Tibetan vowel sign i		
U+0F73	ཱི	0F00..0FFF	Tibetan	Tibetan vowel sign ii		
U+0F74	ུ	0F00..0FFF	Tibetan	Tibetan vowel sign u		
U+0F75	ཱུ	0F00..0FFF	Tibetan	Tibetan vowel sign uu		
U+0F76	ྲྀ	0F00..0FFF	Tibetan	Tibetan vowel sign vocalic r		
U+0F77	ཷ	0F00..0FFF	Tibetan	Tibetan vowel sign vocalic rr		
U+0F78	ླྀ	0F00..0FFF	Tibetan	Tibetan vowel sign vocalic l		
