code_point	symbol	block	block_name	name	tab_completion	latex_code
1000	"""က"""	1000..109F	Myanmar	Myanmar letter ka		
1001	"""ခ"""	1000..109F	Myanmar	Myanmar letter kha		
1002	"""ဂ"""	1000..109F	Myanmar	Myanmar letter ga		
1003	"""ဃ"""	1000..109F	Myanmar	Myanmar letter gha		
1004	"""င"""	1000..109F	Myanmar	Myanmar letter nga		
1005	"""စ"""	1000..109F	Myanmar	Myanmar letter ca		
1006	"""ဆ"""	1000..109F	Myanmar	Myanmar letter cha		
1007	"""ဇ"""	1000..109F	Myanmar	Myanmar letter ja		
1008	"""ဈ"""	1000..109F	Myanmar	Myanmar letter jha		
1009	"""ဉ"""	1000..109F	Myanmar	Myanmar letter nya		
100A	"""ည"""	1000..109F	Myanmar	Myanmar letter nnya		
100B	"""ဋ"""	1000..109F	Myanmar	Myanmar letter tta		
100C	"""ဌ"""	1000..109F	Myanmar	Myanmar letter ttha		
100D	"""ဍ"""	1000..109F	Myanmar	Myanmar letter dda		
100E	"""ဎ"""	1000..109F	Myanmar	Myanmar letter ddha		
100F	"""ဏ"""	1000..109F	Myanmar	Myanmar letter nna		
1010	"""တ"""	1000..109F	Myanmar	Myanmar letter ta		
1011	"""ထ"""	1000..109F	Myanmar	Myanmar letter tha		
1012	"""ဒ"""	1000..109F	Myanmar	Myanmar letter da		
1013	"""ဓ"""	1000..109F	Myanmar	Myanmar letter dha		
1014	"""န"""	1000..109F	Myanmar	Myanmar letter na		
1015	"""ပ"""	1000..109F	Myanmar	Myanmar letter pa		
1016	"""ဖ"""	1000..109F	Myanmar	Myanmar letter pha		
1017	"""ဗ"""	1000..109F	Myanmar	Myanmar letter ba		
1018	"""ဘ"""	1000..109F	Myanmar	Myanmar letter bha		
1019	"""မ"""	1000..109F	Myanmar	Myanmar letter ma		
101A	"""ယ"""	1000..109F	Myanmar	Myanmar letter ya		
101B	"""ရ"""	1000..109F	Myanmar	Myanmar letter ra		
101C	"""လ"""	1000..109F	Myanmar	Myanmar letter la		
101D	"""ဝ"""	1000..109F	Myanmar	Myanmar letter wa		
101E	"""သ"""	1000..109F	Myanmar	Myanmar letter sa		
101F	"""ဟ"""	1000..109F	Myanmar	Myanmar letter ha		
1020	"""ဠ"""	1000..109F	Myanmar	Myanmar letter lla		
1021	"""အ"""	1000..109F	Myanmar	Myanmar letter a		
1022	"""ဢ"""	1000..109F	Myanmar	Myanmar letter shan a		
1023	"""ဣ"""	1000..109F	Myanmar	Myanmar letter i		
1024	"""ဤ"""	1000..109F	Myanmar	Myanmar letter ii		
1025	"""ဥ"""	1000..109F	Myanmar	Myanmar letter u		
1026	"""ဦ"""	1000..109F	Myanmar	Myanmar letter uu		
1027	"""ဧ"""	1000..109F	Myanmar	Myanmar letter e		
1028	"""ဨ"""	1000..109F	Myanmar	Myanmar letter mon e		
1029	"""ဩ"""	1000..109F	Myanmar	Myanmar letter o		
102A	"""ဪ"""	1000..109F	Myanmar	Myanmar letter au		
102B	"""ါ"""	1000..109F	Myanmar	Myanmar vowel sign tall aa		
102C	"""ာ"""	1000..109F	Myanmar	Myanmar vowel sign aa		
102D	"""ိ"""	1000..109F	Myanmar	Myanmar vowel sign i		
102E	"""ီ"""	1000..109F	Myanmar	Myanmar vowel sign ii		
102F	"""ု"""	1000..109F	Myanmar	Myanmar vowel sign u		
1030	"""ူ"""	1000..109F	Myanmar	Myanmar vowel sign uu		
1031	"""ေ"""	1000..109F	Myanmar	Myanmar vowel sign e		
1032	"""ဲ"""	1000..109F	Myanmar	Myanmar vowel sign ai		
1033	"""ဳ"""	1000..109F	Myanmar	Myanmar vowel sign mon ii		
1034	"""ဴ"""	1000..109F	Myanmar	Myanmar vowel sign mon o		
1035	"""ဵ"""	1000..109F	Myanmar	Myanmar vowel sign e above		
1036	"""ံ"""	1000..109F	Myanmar	Myanmar sign anusvara		
1037	"""့"""	1000..109F	Myanmar	Myanmar sign dot below		
1038	"""း"""	1000..109F	Myanmar	Myanmar sign visarga		
1039	"""္"""	1000..109F	Myanmar	Myanmar sign virama		
103A	"""်"""	1000..109F	Myanmar	Myanmar sign asat		
103B	"""ျ"""	1000..109F	Myanmar	Myanmar consonant sign medial ya		
103C	"""ြ"""	1000..109F	Myanmar	Myanmar consonant sign medial ra		
103D	"""ွ"""	1000..109F	Myanmar	Myanmar consonant sign medial wa		
103E	"""ှ"""	1000..109F	Myanmar	Myanmar consonant sign medial ha		
103F	"""ဿ"""	1000..109F	Myanmar	Myanmar letter great sa		
1040	"""၀"""	1000..109F	Myanmar	Myanmar digit zero		
1041	"""၁"""	1000..109F	Myanmar	Myanmar digit one		
1042	"""၂"""	1000..109F	Myanmar	Myanmar digit two		
1043	"""၃"""	1000..109F	Myanmar	Myanmar digit three		
1044	"""၄"""	1000..109F	Myanmar	Myanmar digit four		
1045	"""၅"""	1000..109F	Myanmar	Myanmar digit five		
1046	"""၆"""	1000..109F	Myanmar	Myanmar digit six		
1047	"""၇"""	1000..109F	Myanmar	Myanmar digit seven		
1048	"""၈"""	1000..109F	Myanmar	Myanmar digit eight		
1049	"""၉"""	1000..109F	Myanmar	Myanmar digit nine		
104A	"""၊"""	1000..109F	Myanmar	Myanmar sign little section		
104B	"""။"""	1000..109F	Myanmar	Myanmar sign section		
104C	"""၌"""	1000..109F	Myanmar	Myanmar symbol locative		
104D	"""၍"""	1000..109F	Myanmar	Myanmar symbol completed		
104E	"""၎"""	1000..109F	Myanmar	Myanmar symbol aforementioned		
104F	"""၏"""	1000..109F	Myanmar	Myanmar symbol genitive		
1050	"""ၐ"""	1000..109F	Myanmar	Myanmar letter sha		
1051	"""ၑ"""	1000..109F	Myanmar	Myanmar letter ssa		
1052	"""ၒ"""	1000..109F	Myanmar	Myanmar letter vocalic r		
1053	"""ၓ"""	1000..109F	Myanmar	Myanmar letter vocalic rr		
1054	"""ၔ"""	1000..109F	Myanmar	Myanmar letter vocalic l		
1055	"""ၕ"""	1000..109F	Myanmar	Myanmar letter vocalic ll		
1056	"""ၖ"""	1000..109F	Myanmar	Myanmar vowel sign vocalic r		
1057	"""ၗ"""	1000..109F	Myanmar	Myanmar vowel sign vocalic rr		
1058	"""ၘ"""	1000..109F	Myanmar	Myanmar vowel sign vocalic l		
1059	"""ၙ"""	1000..109F	Myanmar	Myanmar vowel sign vocalic ll		
105A	"""ၚ"""	1000..109F	Myanmar	Myanmar letter mon nga		
105B	"""ၛ"""	1000..109F	Myanmar	Myanmar letter mon jha		
105C	"""ၜ"""	1000..109F	Myanmar	Myanmar letter mon bba		
105D	"""ၝ"""	1000..109F	Myanmar	Myanmar letter mon bbe		
105E	"""ၞ"""	1000..109F	Myanmar	Myanmar consonant sign mon medial na		
105F	"""ၟ"""	1000..109F	Myanmar	Myanmar consonant sign mon medial ma		
1060	"""ၠ"""	1000..109F	Myanmar	Myanmar consonant sign mon medial la		
1061	"""ၡ"""	1000..109F	Myanmar	Myanmar letter sgaw karen sha		
1062	"""ၢ"""	1000..109F	Myanmar	Myanmar vowel sign sgaw karen eu		
1063	"""ၣ"""	1000..109F	Myanmar	Myanmar tone mark sgaw karen hathi		
1064	"""ၤ"""	1000..109F	Myanmar	Myanmar tone mark sgaw karen ke pho		
1065	"""ၥ"""	1000..109F	Myanmar	Myanmar letter western pwo karen tha		
1066	"""ၦ"""	1000..109F	Myanmar	Myanmar letter western pwo karen pwa		
1067	"""ၧ"""	1000..109F	Myanmar	Myanmar vowel sign western pwo karen eu		
1068	"""ၨ"""	1000..109F	Myanmar	Myanmar vowel sign western pwo karen ue		
1069	"""ၩ"""	1000..109F	Myanmar	Myanmar sign western pwo karen tone-1		
106A	"""ၪ"""	1000..109F	Myanmar	Myanmar sign western pwo karen tone-2		
106B	"""ၫ"""	1000..109F	Myanmar	Myanmar sign western pwo karen tone-3		
106C	"""ၬ"""	1000..109F	Myanmar	Myanmar sign western pwo karen tone-4		
106D	"""ၭ"""	1000..109F	Myanmar	Myanmar sign western pwo karen tone-5		
106E	"""ၮ"""	1000..109F	Myanmar	Myanmar letter eastern pwo karen nna		
106F	"""ၯ"""	1000..109F	Myanmar	Myanmar letter eastern pwo karen ywa		
1070	"""ၰ"""	1000..109F	Myanmar	Myanmar letter eastern pwo karen ghwa		
1071	"""ၱ"""	1000..109F	Myanmar	Myanmar vowel sign geba karen i		
1072	"""ၲ"""	1000..109F	Myanmar	Myanmar vowel sign kayah oe		
1073	"""ၳ"""	1000..109F	Myanmar	Myanmar vowel sign kayah u		
1074	"""ၴ"""	1000..109F	Myanmar	Myanmar vowel sign kayah ee		
1075	"""ၵ"""	1000..109F	Myanmar	Myanmar letter shan ka		
1076	"""ၶ"""	1000..109F	Myanmar	Myanmar letter shan kha		
1077	"""ၷ"""	1000..109F	Myanmar	Myanmar letter shan ga		
1078	"""ၸ"""	1000..109F	Myanmar	Myanmar letter shan ca		
1079	"""ၹ"""	1000..109F	Myanmar	Myanmar letter shan za		
107A	"""ၺ"""	1000..109F	Myanmar	Myanmar letter shan nya		
107B	"""ၻ"""	1000..109F	Myanmar	Myanmar letter shan da		
107C	"""ၼ"""	1000..109F	Myanmar	Myanmar letter shan na		
107D	"""ၽ"""	1000..109F	Myanmar	Myanmar letter shan pha		
107E	"""ၾ"""	1000..109F	Myanmar	Myanmar letter shan fa		
107F	"""ၿ"""	1000..109F	Myanmar	Myanmar letter shan ba		
1080	"""ႀ"""	1000..109F	Myanmar	Myanmar letter shan tha		
1081	"""ႁ"""	1000..109F	Myanmar	Myanmar letter shan ha		
1082	"""ႂ"""	1000..109F	Myanmar	Myanmar consonant sign shan medial wa		
