code_point	symbol	block	block_name	name	tab_completion	latex_code
1100	"""ᄀ"""	1100..11FF	Hangul Jamo	Hangul choseong kiyeok		
1101	"""ᄁ"""	1100..11FF	Hangul Jamo	Hangul choseong ssangkiyeok		
1102	"""ᄂ"""	1100..11FF	Hangul Jamo	Hangul choseong nieun		
1103	"""ᄃ"""	1100..11FF	Hangul Jamo	Hangul choseong tikeut		
1104	"""ᄄ"""	1100..11FF	Hangul Jamo	Hangul choseong ssangtikeut		
1105	"""ᄅ"""	1100..11FF	Hangul Jamo	Hangul choseong rieul		
1106	"""ᄆ"""	1100..11FF	Hangul Jamo	Hangul choseong mieum		
1107	"""ᄇ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup		
1108	"""ᄈ"""	1100..11FF	Hangul Jamo	Hangul choseong ssangpieup		
1109	"""ᄉ"""	1100..11FF	Hangul Jamo	Hangul choseong sios		
110A	"""ᄊ"""	1100..11FF	Hangul Jamo	Hangul choseong ssangsios		
110B	"""ᄋ"""	1100..11FF	Hangul Jamo	Hangul choseong ieung		
110C	"""ᄌ"""	1100..11FF	Hangul Jamo	Hangul choseong cieuc		
110D	"""ᄍ"""	1100..11FF	Hangul Jamo	Hangul choseong ssangcieuc		
110E	"""ᄎ"""	1100..11FF	Hangul Jamo	Hangul choseong chieuch		
110F	"""ᄏ"""	1100..11FF	Hangul Jamo	Hangul choseong khieukh		
1110	"""ᄐ"""	1100..11FF	Hangul Jamo	Hangul choseong thieuth		
1111	"""ᄑ"""	1100..11FF	Hangul Jamo	Hangul choseong phieuph		
1112	"""ᄒ"""	1100..11FF	Hangul Jamo	Hangul choseong hieuh		
1113	"""ᄓ"""	1100..11FF	Hangul Jamo	Hangul choseong nieun-kiyeok		
1114	"""ᄔ"""	1100..11FF	Hangul Jamo	Hangul choseong ssangnieun		
1115	"""ᄕ"""	1100..11FF	Hangul Jamo	Hangul choseong nieun-tikeut		
1116	"""ᄖ"""	1100..11FF	Hangul Jamo	Hangul choseong nieun-pieup		
1117	"""ᄗ"""	1100..11FF	Hangul Jamo	Hangul choseong tikeut-kiyeok		
1118	"""ᄘ"""	1100..11FF	Hangul Jamo	Hangul choseong rieul-nieun		
1119	"""ᄙ"""	1100..11FF	Hangul Jamo	Hangul choseong ssangrieul		
111A	"""ᄚ"""	1100..11FF	Hangul Jamo	Hangul choseong rieul-hieuh		
111B	"""ᄛ"""	1100..11FF	Hangul Jamo	Hangul choseong kapyeounrieul		
111C	"""ᄜ"""	1100..11FF	Hangul Jamo	Hangul choseong mieum-pieup		
111D	"""ᄝ"""	1100..11FF	Hangul Jamo	Hangul choseong kapyeounmieum		
111E	"""ᄞ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-kiyeok		
111F	"""ᄟ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-nieun		
1120	"""ᄠ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-tikeut		
1121	"""ᄡ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-sios		
1122	"""ᄢ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-sios-kiyeok		
1123	"""ᄣ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-sios-tikeut		
1124	"""ᄤ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-sios-pieup		
1125	"""ᄥ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-ssangsios		
1126	"""ᄦ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-sios-cieuc		
1127	"""ᄧ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-cieuc		
1128	"""ᄨ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-chieuch		
1129	"""ᄩ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-thieuth		
112A	"""ᄪ"""	1100..11FF	Hangul Jamo	Hangul choseong pieup-phieuph		
112B	"""ᄫ"""	1100..11FF	Hangul Jamo	Hangul choseong kapyeounpieup		
112C	"""ᄬ"""	1100..11FF	Hangul Jamo	Hangul choseong kapyeounssangpieup		
112D	"""ᄭ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-kiyeok		
112E	"""ᄮ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-nieun		
112F	"""ᄯ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-tikeut		
1130	"""ᄰ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-rieul		
1131	"""ᄱ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-mieum		
1132	"""ᄲ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-pieup		
1133	"""ᄳ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-pieup-kiyeok		
1134	"""ᄴ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-ssangsios		
1135	"""ᄵ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-ieung		
1136	"""ᄶ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-cieuc		
1137	"""ᄷ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-chieuch		
1138	"""ᄸ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-khieukh		
1139	"""ᄹ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-thieuth		
113A	"""ᄺ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-phieuph		
113B	"""ᄻ"""	1100..11FF	Hangul Jamo	Hangul choseong sios-hieuh		
113C	"""ᄼ"""	1100..11FF	Hangul Jamo	Hangul choseong chitueumsios		
113D	"""ᄽ"""	1100..11FF	Hangul Jamo	Hangul choseong chitueumssangsios		
113E	"""ᄾ"""	1100..11FF	Hangul Jamo	Hangul choseong ceongchieumsios		
113F	"""ᄿ"""	1100..11FF	Hangul Jamo	Hangul choseong ceongchieumssangsios		
1140	"""ᅀ"""	1100..11FF	Hangul Jamo	Hangul choseong pansios		
1141	"""ᅁ"""	1100..11FF	Hangul Jamo	Hangul choseong ieung-kiyeok		
1142	"""ᅂ"""	1100..11FF	Hangul Jamo	Hangul choseong ieung-tikeut		
1143	"""ᅃ"""	1100..11FF	Hangul Jamo	Hangul choseong ieung-mieum		
1144	"""ᅄ"""	1100..11FF	Hangul Jamo	Hangul choseong ieung-pieup		
1145	"""ᅅ"""	1100..11FF	Hangul Jamo	Hangul choseong ieung-sios		
1146	"""ᅆ"""	1100..11FF	Hangul Jamo	Hangul choseong ieung-pansios		
