code_point	symbol	block	block_name	name	tab_completion	latex_code
13A0	"""Ꭰ"""	13A0..13FF	Cherokee	Cherokee letter a		
13A1	"""Ꭱ"""	13A0..13FF	Cherokee	Cherokee letter e		
13A2	"""Ꭲ"""	13A0..13FF	Cherokee	Cherokee letter i		
13A3	"""Ꭳ"""	13A0..13FF	Cherokee	Cherokee letter o		
13A4	"""Ꭴ"""	13A0..13FF	Cherokee	Cherokee letter u		
13A5	"""Ꭵ"""	13A0..13FF	Cherokee	Cherokee letter v		
13A6	"""Ꭶ"""	13A0..13FF	Cherokee	Cherokee letter ga		
13A7	"""Ꭷ"""	13A0..13FF	Cherokee	Cherokee letter ka		
13A8	"""Ꭸ"""	13A0..13FF	Cherokee	Cherokee letter ge		
13A9	"""Ꭹ"""	13A0..13FF	Cherokee	Cherokee letter gi		
13AA	"""Ꭺ"""	13A0..13FF	Cherokee	Cherokee letter go		
13AB	"""Ꭻ"""	13A0..13FF	Cherokee	Cherokee letter gu		
13AC	"""Ꭼ"""	13A0..13FF	Cherokee	Cherokee letter gv		
13AD	"""Ꭽ"""	13A0..13FF	Cherokee	Cherokee letter ha		
13AE	"""Ꭾ"""	13A0..13FF	Cherokee	Cherokee letter he		
13AF	"""Ꭿ"""	13A0..13FF	Cherokee	Cherokee letter hi		
13B0	"""Ꮀ"""	13A0..13FF	Cherokee	Cherokee letter ho		
13B1	"""Ꮁ"""	13A0..13FF	Cherokee	Cherokee letter hu		
13B2	"""Ꮂ"""	13A0..13FF	Cherokee	Cherokee letter hv		
13B3	"""Ꮃ"""	13A0..13FF	Cherokee	Cherokee letter la		
13B4	"""Ꮄ"""	13A0..13FF	Cherokee	Cherokee letter le		
13B5	"""Ꮅ"""	13A0..13FF	Cherokee	Cherokee letter li		
13B6	"""Ꮆ"""	13A0..13FF	Cherokee	Cherokee letter lo		
13B7	"""Ꮇ"""	13A0..13FF	Cherokee	Cherokee letter lu		
13B8	"""Ꮈ"""	13A0..13FF	Cherokee	Cherokee letter lv		
13B9	"""Ꮉ"""	13A0..13FF	Cherokee	Cherokee letter ma		
