code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1680	 	1680..169F	Ogham	Ogham space mark		
U+1681	ᚁ	1680..169F	Ogham	Ogham letter beith		
U+1682	ᚂ	1680..169F	Ogham	Ogham letter luis		
U+1683	ᚃ	1680..169F	Ogham	Ogham letter fearn		
U+1684	ᚄ	1680..169F	Ogham	Ogham letter sail		
U+1685	ᚅ	1680..169F	Ogham	Ogham letter nion		
U+1686	ᚆ	1680..169F	Ogham	Ogham letter uath		
U+1687	ᚇ	1680..169F	Ogham	Ogham letter dair		
U+1688	ᚈ	1680..169F	Ogham	Ogham letter tinne		
U+1689	ᚉ	1680..169F	Ogham	Ogham letter coll		
U+168A	ᚊ	1680..169F	Ogham	Ogham letter ceirt		
U+168B	ᚋ	1680..169F	Ogham	Ogham letter muin		
U+168C	ᚌ	1680..169F	Ogham	Ogham letter gort		
U+168D	ᚍ	1680..169F	Ogham	Ogham letter ngeadal		
U+168E	ᚎ	1680..169F	Ogham	Ogham letter straif		
U+168F	ᚏ	1680..169F	Ogham	Ogham letter ruis		
U+1690	ᚐ	1680..169F	Ogham	Ogham letter ailm		
U+1691	ᚑ	1680..169F	Ogham	Ogham letter onn		
U+1692	ᚒ	1680..169F	Ogham	Ogham letter ur		
U+1693	ᚓ	1680..169F	Ogham	Ogham letter eadhadh		
U+1694	ᚔ	1680..169F	Ogham	Ogham letter iodhadh		
U+1695	ᚕ	1680..169F	Ogham	Ogham letter eabhadh		
U+1696	ᚖ	1680..169F	Ogham	Ogham letter or		
U+1697	ᚗ	1680..169F	Ogham	Ogham letter uilleann		
U+1698	ᚘ	1680..169F	Ogham	Ogham letter ifin		
U+1699	ᚙ	1680..169F	Ogham	Ogham letter eamhancholl		
U+169A	ᚚ	1680..169F	Ogham	Ogham letter peith		
U+169B	᚛	1680..169F	Ogham	Ogham feather mark		
U+169C	᚜	1680..169F	Ogham	Ogham reversed feather mark		
