code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1720	ᜠ	1720..173F	Hanunoo	Hanunoo letter a		
U+1721	ᜡ	1720..173F	Hanunoo	Hanunoo letter i		
U+1722	ᜢ	1720..173F	Hanunoo	Hanunoo letter u		
U+1723	ᜣ	1720..173F	Hanunoo	Hanunoo letter ka		
U+1724	ᜤ	1720..173F	Hanunoo	Hanunoo letter ga		
U+1725	ᜥ	1720..173F	Hanunoo	Hanunoo letter nga		
U+1726	ᜦ	1720..173F	Hanunoo	Hanunoo letter ta		
U+1727	ᜧ	1720..173F	Hanunoo	Hanunoo letter da		
U+1728	ᜨ	1720..173F	Hanunoo	Hanunoo letter na		
U+1729	ᜩ	1720..173F	Hanunoo	Hanunoo letter pa		
U+172A	ᜪ	1720..173F	Hanunoo	Hanunoo letter ba		
U+172B	ᜫ	1720..173F	Hanunoo	Hanunoo letter ma		
U+172C	ᜬ	1720..173F	Hanunoo	Hanunoo letter ya		
U+172D	ᜭ	1720..173F	Hanunoo	Hanunoo letter ra		
U+172E	ᜮ	1720..173F	Hanunoo	Hanunoo letter la		
U+172F	ᜯ	1720..173F	Hanunoo	Hanunoo letter wa		
U+1730	ᜰ	1720..173F	Hanunoo	Hanunoo letter sa		
U+1731	ᜱ	1720..173F	Hanunoo	Hanunoo letter ha		
U+1732	ᜲ	1720..173F	Hanunoo	Hanunoo vowel sign i		
U+1733	ᜳ	1720..173F	Hanunoo	Hanunoo vowel sign u		
U+1734	᜴	1720..173F	Hanunoo	Hanunoo sign pamudpod		
U+1735	᜵	1720..173F	Hanunoo	Philippine single punctuation		
U+1736	᜶	1720..173F	Hanunoo	Philippine double punctuation		
