code_point	symbol	block	block_name	name	tab_completion	latex_code
1740	"""ᝀ"""	1740..175F	Buhid	Buhid letter a		
1741	"""ᝁ"""	1740..175F	Buhid	Buhid letter i		
1742	"""ᝂ"""	1740..175F	Buhid	Buhid letter u		
1743	"""ᝃ"""	1740..175F	Buhid	Buhid letter ka		
1744	"""ᝄ"""	1740..175F	Buhid	Buhid letter ga		
1745	"""ᝅ"""	1740..175F	Buhid	Buhid letter nga		
1746	"""ᝆ"""	1740..175F	Buhid	Buhid letter ta		
1747	"""ᝇ"""	1740..175F	Buhid	Buhid letter da		
1748	"""ᝈ"""	1740..175F	Buhid	Buhid letter na		
1749	"""ᝉ"""	1740..175F	Buhid	Buhid letter pa		
174A	"""ᝊ"""	1740..175F	Buhid	Buhid letter ba		
174B	"""ᝋ"""	1740..175F	Buhid	Buhid letter ma		
174C	"""ᝌ"""	1740..175F	Buhid	Buhid letter ya		
174D	"""ᝍ"""	1740..175F	Buhid	Buhid letter ra		
174E	"""ᝎ"""	1740..175F	Buhid	Buhid letter la		
174F	"""ᝏ"""	1740..175F	Buhid	Buhid letter wa		
1750	"""ᝐ"""	1740..175F	Buhid	Buhid letter sa		
1751	"""ᝑ"""	1740..175F	Buhid	Buhid letter ha		
1752	"""ᝒ"""	1740..175F	Buhid	Buhid vowel sign i		
1753	"""ᝓ"""	1740..175F	Buhid	Buhid vowel sign u		
