code_point	symbol	block	block_name	name	tab_completion	latex_code
1800	"""᠀"""	1800..18AF	Mongolian	Mongolian birga		
1801	"""᠁"""	1800..18AF	Mongolian	Mongolian ellipsis		
1802	"""᠂"""	1800..18AF	Mongolian	Mongolian comma		
1803	"""᠃"""	1800..18AF	Mongolian	Mongolian full stop		
1804	"""᠄"""	1800..18AF	Mongolian	Mongolian colon		
1805	"""᠅"""	1800..18AF	Mongolian	Mongolian four dots		
1806	"""᠆"""	1800..18AF	Mongolian	Mongolian todo soft hyphen		
1807	"""᠇"""	1800..18AF	Mongolian	Mongolian sibe syllable boundary marker		
1808	"""᠈"""	1800..18AF	Mongolian	Mongolian manchu comma		
1809	"""᠉"""	1800..18AF	Mongolian	Mongolian manchu full stop		
180A	"""᠊"""	1800..18AF	Mongolian	Mongolian nirugu		
180B	"""᠋"""	1800..18AF	Mongolian	Mongolian free variation selector one		
180C	"""᠌"""	1800..18AF	Mongolian	Mongolian free variation selector two		
180D	"""᠍"""	1800..18AF	Mongolian	Mongolian free variation selector three		
180E	"""᠎"""	1800..18AF	Mongolian	Mongolian vowel separator		
180F	"""᠏"""	1800..18AF	Mongolian	Mongolian free variation selector four		
1810	"""᠐"""	1800..18AF	Mongolian	Mongolian digit zero		
1811	"""᠑"""	1800..18AF	Mongolian	Mongolian digit one		
1812	"""᠒"""	1800..18AF	Mongolian	Mongolian digit two		
1813	"""᠓"""	1800..18AF	Mongolian	Mongolian digit three		
1814	"""᠔"""	1800..18AF	Mongolian	Mongolian digit four		
1815	"""᠕"""	1800..18AF	Mongolian	Mongolian digit five		
1816	"""᠖"""	1800..18AF	Mongolian	Mongolian digit six		
1817	"""᠗"""	1800..18AF	Mongolian	Mongolian digit seven		
1818	"""᠘"""	1800..18AF	Mongolian	Mongolian digit eight		
1819	"""᠙"""	1800..18AF	Mongolian	Mongolian digit nine		
1820	"""ᠠ"""	1800..18AF	Mongolian	Mongolian letter a		
1821	"""ᠡ"""	1800..18AF	Mongolian	Mongolian letter e		
1822	"""ᠢ"""	1800..18AF	Mongolian	Mongolian letter i		
1823	"""ᠣ"""	1800..18AF	Mongolian	Mongolian letter o		
1824	"""ᠤ"""	1800..18AF	Mongolian	Mongolian letter u		
1825	"""ᠥ"""	1800..18AF	Mongolian	Mongolian letter oe		
1826	"""ᠦ"""	1800..18AF	Mongolian	Mongolian letter ue		
1827	"""ᠧ"""	1800..18AF	Mongolian	Mongolian letter ee		
1828	"""ᠨ"""	1800..18AF	Mongolian	Mongolian letter na		
1829	"""ᠩ"""	1800..18AF	Mongolian	Mongolian letter ang		
182A	"""ᠪ"""	1800..18AF	Mongolian	Mongolian letter ba		
182B	"""ᠫ"""	1800..18AF	Mongolian	Mongolian letter pa		
182C	"""ᠬ"""	1800..18AF	Mongolian	Mongolian letter qa		
182D	"""ᠭ"""	1800..18AF	Mongolian	Mongolian letter ga		
182E	"""ᠮ"""	1800..18AF	Mongolian	Mongolian letter ma		
182F	"""ᠯ"""	1800..18AF	Mongolian	Mongolian letter la		
