code_point	symbol	block	block_name	name	tab_completion	latex_code
U+18B0	ᢰ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics oy		
U+18B1	ᢱ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics ay		
U+18B2	ᢲ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics aay		
U+18B3	ᢳ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics way		
U+18B4	ᢴ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics poy		
U+18B5	ᢵ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics pay		
U+18B6	ᢶ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics pwoy		
U+18B7	ᢷ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics tay		
U+18B8	ᢸ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics kay		
U+18B9	ᢹ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics kway		
U+18BA	ᢺ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics may		
U+18BB	ᢻ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics noy		
U+18BC	ᢼ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics nay		
U+18BD	ᢽ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics lay		
U+18BE	ᢾ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics soy		
U+18BF	ᢿ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics say		
U+18C0	ᣀ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics shoy		
U+18C1	ᣁ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics shay		
U+18C2	ᣂ	18B0..18FF	Unified Canadian Aboriginal Syllabics Extended	Canadian syllabics shwoy		
