code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1950	ᥐ	1950..197F	Tai Le	Tai le letter ka		
U+1951	ᥑ	1950..197F	Tai Le	Tai le letter xa		
U+1952	ᥒ	1950..197F	Tai Le	Tai le letter nga		
U+1953	ᥓ	1950..197F	Tai Le	Tai le letter tsa		
U+1954	ᥔ	1950..197F	Tai Le	Tai le letter sa		
U+1955	ᥕ	1950..197F	Tai Le	Tai le letter ya		
U+1956	ᥖ	1950..197F	Tai Le	Tai le letter ta		
U+1957	ᥗ	1950..197F	Tai Le	Tai le letter tha		
U+1958	ᥘ	1950..197F	Tai Le	Tai le letter la		
U+1959	ᥙ	1950..197F	Tai Le	Tai le letter pa		
U+195A	ᥚ	1950..197F	Tai Le	Tai le letter pha		
U+195B	ᥛ	1950..197F	Tai Le	Tai le letter ma		
U+195C	ᥜ	1950..197F	Tai Le	Tai le letter fa		
U+195D	ᥝ	1950..197F	Tai Le	Tai le letter va		
U+195E	ᥞ	1950..197F	Tai Le	Tai le letter ha		
U+195F	ᥟ	1950..197F	Tai Le	Tai le letter qa		
U+1960	ᥠ	1950..197F	Tai Le	Tai le letter kha		
U+1961	ᥡ	1950..197F	Tai Le	Tai le letter tsha		
U+1962	ᥢ	1950..197F	Tai Le	Tai le letter na		
U+1963	ᥣ	1950..197F	Tai Le	Tai le letter a		
U+1964	ᥤ	1950..197F	Tai Le	Tai le letter i		
U+1965	ᥥ	1950..197F	Tai Le	Tai le letter ee		
U+1966	ᥦ	1950..197F	Tai Le	Tai le letter eh		
U+1967	ᥧ	1950..197F	Tai Le	Tai le letter u		
U+1968	ᥨ	1950..197F	Tai Le	Tai le letter oo		
U+1969	ᥩ	1950..197F	Tai Le	Tai le letter o		
U+196A	ᥪ	1950..197F	Tai Le	Tai le letter ue		
U+196B	ᥫ	1950..197F	Tai Le	Tai le letter e		
U+196C	ᥬ	1950..197F	Tai Le	Tai le letter aue		
U+196D	ᥭ	1950..197F	Tai Le	Tai le letter ai		
U+1970	ᥰ	1950..197F	Tai Le	Tai le letter tone-2		
U+1971	ᥱ	1950..197F	Tai Le	Tai le letter tone-3		
U+1972	ᥲ	1950..197F	Tai Le	Tai le letter tone-4		
U+1973	ᥳ	1950..197F	Tai Le	Tai le letter tone-5		
U+1974	ᥴ	1950..197F	Tai Le	Tai le letter tone-6		
