code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1A20	ᨠ	1A20..1AAF	Tai Tham	Tai tham letter high ka		
U+1A21	ᨡ	1A20..1AAF	Tai Tham	Tai tham letter high kha		
U+1A22	ᨢ	1A20..1AAF	Tai Tham	Tai tham letter high kxa		
U+1A23	ᨣ	1A20..1AAF	Tai Tham	Tai tham letter low ka		
U+1A24	ᨤ	1A20..1AAF	Tai Tham	Tai tham letter low kxa		
U+1A25	ᨥ	1A20..1AAF	Tai Tham	Tai tham letter low kha		
U+1A26	ᨦ	1A20..1AAF	Tai Tham	Tai tham letter nga		
U+1A27	ᨧ	1A20..1AAF	Tai Tham	Tai tham letter high ca		
U+1A28	ᨨ	1A20..1AAF	Tai Tham	Tai tham letter high cha		
U+1A29	ᨩ	1A20..1AAF	Tai Tham	Tai tham letter low ca		
U+1A2A	ᨪ	1A20..1AAF	Tai Tham	Tai tham letter low sa		
U+1A2B	ᨫ	1A20..1AAF	Tai Tham	Tai tham letter low cha		
U+1A2C	ᨬ	1A20..1AAF	Tai Tham	Tai tham letter nya		
U+1A2D	ᨭ	1A20..1AAF	Tai Tham	Tai tham letter rata		
U+1A2E	ᨮ	1A20..1AAF	Tai Tham	Tai tham letter high ratha		
U+1A2F	ᨯ	1A20..1AAF	Tai Tham	Tai tham letter da		
U+1A30	ᨰ	1A20..1AAF	Tai Tham	Tai tham letter low ratha		
U+1A31	ᨱ	1A20..1AAF	Tai Tham	Tai tham letter rana		
U+1A32	ᨲ	1A20..1AAF	Tai Tham	Tai tham letter high ta		
U+1A33	ᨳ	1A20..1AAF	Tai Tham	Tai tham letter high tha		
U+1A34	ᨴ	1A20..1AAF	Tai Tham	Tai tham letter low ta		
U+1A35	ᨵ	1A20..1AAF	Tai Tham	Tai tham letter low tha		
U+1A36	ᨶ	1A20..1AAF	Tai Tham	Tai tham letter na		
U+1A37	ᨷ	1A20..1AAF	Tai Tham	Tai tham letter ba		
U+1A38	ᨸ	1A20..1AAF	Tai Tham	Tai tham letter high pa		
U+1A39	ᨹ	1A20..1AAF	Tai Tham	Tai tham letter high pha		
U+1A3A	ᨺ	1A20..1AAF	Tai Tham	Tai tham letter high fa		
U+1A3B	ᨻ	1A20..1AAF	Tai Tham	Tai tham letter low pa		
U+1A3C	ᨼ	1A20..1AAF	Tai Tham	Tai tham letter low fa		
U+1A3D	ᨽ	1A20..1AAF	Tai Tham	Tai tham letter low pha		
U+1A3E	ᨾ	1A20..1AAF	Tai Tham	Tai tham letter ma		
U+1A3F	ᨿ	1A20..1AAF	Tai Tham	Tai tham letter low ya		
U+1A40	ᩀ	1A20..1AAF	Tai Tham	Tai tham letter high ya		
U+1A41	ᩁ	1A20..1AAF	Tai Tham	Tai tham letter ra		
U+1A42	ᩂ	1A20..1AAF	Tai Tham	Tai tham letter rue		
