code_point	symbol	block	block_name	name	tab_completion	latex_code
1B00	"""ᬀ"""	1B00..1B7F	Balinese	Balinese sign ulu ricem		
1B01	"""ᬁ"""	1B00..1B7F	Balinese	Balinese sign ulu candra		
1B02	"""ᬂ"""	1B00..1B7F	Balinese	Balinese sign cecek		
1B03	"""ᬃ"""	1B00..1B7F	Balinese	Balinese sign surang		
1B04	"""ᬄ"""	1B00..1B7F	Balinese	Balinese sign bisah		
1B05	"""ᬅ"""	1B00..1B7F	Balinese	Balinese letter akara		
1B06	"""ᬆ"""	1B00..1B7F	Balinese	Balinese letter akara tedung		
1B07	"""ᬇ"""	1B00..1B7F	Balinese	Balinese letter ikara		
1B08	"""ᬈ"""	1B00..1B7F	Balinese	Balinese letter ikara tedung		
1B09	"""ᬉ"""	1B00..1B7F	Balinese	Balinese letter ukara		
1B0A	"""ᬊ"""	1B00..1B7F	Balinese	Balinese letter ukara tedung		
1B0B	"""ᬋ"""	1B00..1B7F	Balinese	Balinese letter ra repa		
1B0C	"""ᬌ"""	1B00..1B7F	Balinese	Balinese letter ra repa tedung		
1B0D	"""ᬍ"""	1B00..1B7F	Balinese	Balinese letter la lenga		
1B0E	"""ᬎ"""	1B00..1B7F	Balinese	Balinese letter la lenga tedung		
1B0F	"""ᬏ"""	1B00..1B7F	Balinese	Balinese letter ekara		
1B10	"""ᬐ"""	1B00..1B7F	Balinese	Balinese letter aikara		
1B11	"""ᬑ"""	1B00..1B7F	Balinese	Balinese letter okara		
1B12	"""ᬒ"""	1B00..1B7F	Balinese	Balinese letter okara tedung		
1B13	"""ᬓ"""	1B00..1B7F	Balinese	Balinese letter ka		
1B14	"""ᬔ"""	1B00..1B7F	Balinese	Balinese letter ka mahaprana		
1B15	"""ᬕ"""	1B00..1B7F	Balinese	Balinese letter ga		
1B16	"""ᬖ"""	1B00..1B7F	Balinese	Balinese letter ga gora		
1B17	"""ᬗ"""	1B00..1B7F	Balinese	Balinese letter nga		
1B18	"""ᬘ"""	1B00..1B7F	Balinese	Balinese letter ca		
1B19	"""ᬙ"""	1B00..1B7F	Balinese	Balinese letter ca laca		
1B1A	"""ᬚ"""	1B00..1B7F	Balinese	Balinese letter ja		
1B1B	"""ᬛ"""	1B00..1B7F	Balinese	Balinese letter ja jera		
1B1C	"""ᬜ"""	1B00..1B7F	Balinese	Balinese letter nya		
1B1D	"""ᬝ"""	1B00..1B7F	Balinese	Balinese letter ta latik		
1B1E	"""ᬞ"""	1B00..1B7F	Balinese	Balinese letter ta murda mahaprana		
1B1F	"""ᬟ"""	1B00..1B7F	Balinese	Balinese letter da murda alpaprana		
1B20	"""ᬠ"""	1B00..1B7F	Balinese	Balinese letter da murda mahaprana		
1B21	"""ᬡ"""	1B00..1B7F	Balinese	Balinese letter na rambat		
1B22	"""ᬢ"""	1B00..1B7F	Balinese	Balinese letter ta		
1B23	"""ᬣ"""	1B00..1B7F	Balinese	Balinese letter ta tawa		
1B24	"""ᬤ"""	1B00..1B7F	Balinese	Balinese letter da		
1B25	"""ᬥ"""	1B00..1B7F	Balinese	Balinese letter da madu		
1B26	"""ᬦ"""	1B00..1B7F	Balinese	Balinese letter na		
1B27	"""ᬧ"""	1B00..1B7F	Balinese	Balinese letter pa		
1B28	"""ᬨ"""	1B00..1B7F	Balinese	Balinese letter pa kapal		
1B29	"""ᬩ"""	1B00..1B7F	Balinese	Balinese letter ba		
1B2A	"""ᬪ"""	1B00..1B7F	Balinese	Balinese letter ba kembang		
1B2B	"""ᬫ"""	1B00..1B7F	Balinese	Balinese letter ma		
1B2C	"""ᬬ"""	1B00..1B7F	Balinese	Balinese letter ya		
1B2D	"""ᬭ"""	1B00..1B7F	Balinese	Balinese letter ra		
1B2E	"""ᬮ"""	1B00..1B7F	Balinese	Balinese letter la		
1B2F	"""ᬯ"""	1B00..1B7F	Balinese	Balinese letter wa		
1B30	"""ᬰ"""	1B00..1B7F	Balinese	Balinese letter sa saga		
1B31	"""ᬱ"""	1B00..1B7F	Balinese	Balinese letter sa sapa		
1B32	"""ᬲ"""	1B00..1B7F	Balinese	Balinese letter sa		
1B33	"""ᬳ"""	1B00..1B7F	Balinese	Balinese letter ha		
1B34	"""᬴"""	1B00..1B7F	Balinese	Balinese sign rerekan		
1B35	"""ᬵ"""	1B00..1B7F	Balinese	Balinese vowel sign tedung		
1B36	"""ᬶ"""	1B00..1B7F	Balinese	Balinese vowel sign ulu		
1B37	"""ᬷ"""	1B00..1B7F	Balinese	Balinese vowel sign ulu sari		
1B38	"""ᬸ"""	1B00..1B7F	Balinese	Balinese vowel sign suku		
1B39	"""ᬹ"""	1B00..1B7F	Balinese	Balinese vowel sign suku ilut		
1B3A	"""ᬺ"""	1B00..1B7F	Balinese	Balinese vowel sign ra repa		
1B3B	"""ᬻ"""	1B00..1B7F	Balinese	Balinese vowel sign ra repa tedung		
1B3C	"""ᬼ"""	1B00..1B7F	Balinese	Balinese vowel sign la lenga		
1B3D	"""ᬽ"""	1B00..1B7F	Balinese	Balinese vowel sign la lenga tedung		
1B3E	"""ᬾ"""	1B00..1B7F	Balinese	Balinese vowel sign taling		
1B3F	"""ᬿ"""	1B00..1B7F	Balinese	Balinese vowel sign taling repa		
1B40	"""ᭀ"""	1B00..1B7F	Balinese	Balinese vowel sign taling tedung		
1B41	"""ᭁ"""	1B00..1B7F	Balinese	Balinese vowel sign taling repa tedung		
1B42	"""ᭂ"""	1B00..1B7F	Balinese	Balinese vowel sign pepet		
1B43	"""ᭃ"""	1B00..1B7F	Balinese	Balinese vowel sign pepet tedung		
1B44	"""᭄"""	1B00..1B7F	Balinese	Balinese adeg adeg		
1B45	"""ᭅ"""	1B00..1B7F	Balinese	Balinese letter kaf sasak		
1B46	"""ᭆ"""	1B00..1B7F	Balinese	Balinese letter khot sasak		
1B47	"""ᭇ"""	1B00..1B7F	Balinese	Balinese letter tzir sasak		
1B48	"""ᭈ"""	1B00..1B7F	Balinese	Balinese letter ef sasak		
1B49	"""ᭉ"""	1B00..1B7F	Balinese	Balinese letter ve sasak		
1B4A	"""ᭊ"""	1B00..1B7F	Balinese	Balinese letter zal sasak		
1B4B	"""ᭋ"""	1B00..1B7F	Balinese	Balinese letter asyura sasak		
1B4C	"""ᭌ"""	1B00..1B7F	Balinese	Balinese letter archaic jnya		
1B50	"""᭐"""	1B00..1B7F	Balinese	Balinese digit zero		
1B51	"""᭑"""	1B00..1B7F	Balinese	Balinese digit one		
1B52	"""᭒"""	1B00..1B7F	Balinese	Balinese digit two		
1B53	"""᭓"""	1B00..1B7F	Balinese	Balinese digit three		
1B54	"""᭔"""	1B00..1B7F	Balinese	Balinese digit four		
1B55	"""᭕"""	1B00..1B7F	Balinese	Balinese digit five		
1B56	"""᭖"""	1B00..1B7F	Balinese	Balinese digit six		
1B57	"""᭗"""	1B00..1B7F	Balinese	Balinese digit seven		
1B58	"""᭘"""	1B00..1B7F	Balinese	Balinese digit eight		
1B59	"""᭙"""	1B00..1B7F	Balinese	Balinese digit nine		
1B5A	"""᭚"""	1B00..1B7F	Balinese	Balinese panti		
1B5B	"""᭛"""	1B00..1B7F	Balinese	Balinese pamada		
1B5C	"""᭜"""	1B00..1B7F	Balinese	Balinese windu		
1B5D	"""᭝"""	1B00..1B7F	Balinese	Balinese carik pamungkah		
1B5E	"""᭞"""	1B00..1B7F	Balinese	Balinese carik siki		
1B5F	"""᭟"""	1B00..1B7F	Balinese	Balinese carik pareren		
1B60	"""᭠"""	1B00..1B7F	Balinese	Balinese pameneng		
1B61	"""᭡"""	1B00..1B7F	Balinese	Balinese musical symbol dong		
1B62	"""᭢"""	1B00..1B7F	Balinese	Balinese musical symbol deng		
1B63	"""᭣"""	1B00..1B7F	Balinese	Balinese musical symbol dung		
1B64	"""᭤"""	1B00..1B7F	Balinese	Balinese musical symbol dang		
1B65	"""᭥"""	1B00..1B7F	Balinese	Balinese musical symbol dang surang		
1B66	"""᭦"""	1B00..1B7F	Balinese	Balinese musical symbol ding		
1B67	"""᭧"""	1B00..1B7F	Balinese	Balinese musical symbol daeng		
1B68	"""᭨"""	1B00..1B7F	Balinese	Balinese musical symbol deung		
1B69	"""᭩"""	1B00..1B7F	Balinese	Balinese musical symbol daing		
1B6A	"""᭪"""	1B00..1B7F	Balinese	Balinese musical symbol dang gede		
1B6B	"""᭫"""	1B00..1B7F	Balinese	Balinese musical symbol combining tegeh		
1B6C	"""᭬"""	1B00..1B7F	Balinese	Balinese musical symbol combining endep		
1B6D	"""᭭"""	1B00..1B7F	Balinese	Balinese musical symbol combining kempul		
1B6E	"""᭮"""	1B00..1B7F	Balinese	Balinese musical symbol combining kempli		
1B6F	"""᭯"""	1B00..1B7F	Balinese	Balinese musical symbol combining jegogan		
1B70	"""᭰"""	1B00..1B7F	Balinese	Balinese musical symbol combining kempul with jegogan		
1B71	"""᭱"""	1B00..1B7F	Balinese	Balinese musical symbol combining kempli with jegogan		
1B72	"""᭲"""	1B00..1B7F	Balinese	Balinese musical symbol combining bende		
1B73	"""᭳"""	1B00..1B7F	Balinese	Balinese musical symbol combining gong		
1B74	"""᭴"""	1B00..1B7F	Balinese	Balinese musical symbol right-hand open dug		
1B75	"""᭵"""	1B00..1B7F	Balinese	Balinese musical symbol right-hand open dag		
1B76	"""᭶"""	1B00..1B7F	Balinese	Balinese musical symbol right-hand closed tuk		
1B77	"""᭷"""	1B00..1B7F	Balinese	Balinese musical symbol right-hand closed tak		
1B78	"""᭸"""	1B00..1B7F	Balinese	Balinese musical symbol left-hand open pang		
1B79	"""᭹"""	1B00..1B7F	Balinese	Balinese musical symbol left-hand open pung		
1B7A	"""᭺"""	1B00..1B7F	Balinese	Balinese musical symbol left-hand closed plak		
1B7B	"""᭻"""	1B00..1B7F	Balinese	Balinese musical symbol left-hand closed pluk		
1B7C	"""᭼"""	1B00..1B7F	Balinese	Balinese musical symbol left-hand open ping		
1B7D	"""᭽"""	1B00..1B7F	Balinese	Balinese panti lantang		
1B7E	"""᭾"""	1B00..1B7F	Balinese	Balinese pamada lantang		
