code_point	symbol	block	block_name	name	tab_completion	latex_code
U+1D00	ᴀ	1D00..1D7F	Phonetic Extensions	Latin letter small capital a		
U+1D01	ᴁ	1D00..1D7F	Phonetic Extensions	Latin letter small capital ae		
U+1D02	ᴂ	1D00..1D7F	Phonetic Extensions	Latin small letter turned ae		
U+1D03	ᴃ	1D00..1D7F	Phonetic Extensions	Latin letter small capital barred b		
U+1D04	ᴄ	1D00..1D7F	Phonetic Extensions	Latin letter small capital c		
U+1D05	ᴅ	1D00..1D7F	Phonetic Extensions	Latin letter small capital d		
U+1D06	ᴆ	1D00..1D7F	Phonetic Extensions	Latin letter small capital eth		
U+1D07	ᴇ	1D00..1D7F	Phonetic Extensions	Latin letter small capital e		
U+1D08	ᴈ	1D00..1D7F	Phonetic Extensions	Latin small letter turned open e		
U+1D09	ᴉ	1D00..1D7F	Phonetic Extensions	Latin small letter turned i		
U+1D0A	ᴊ	1D00..1D7F	Phonetic Extensions	Latin letter small capital j		
U+1D0B	ᴋ	1D00..1D7F	Phonetic Extensions	Latin letter small capital k		
U+1D0C	ᴌ	1D00..1D7F	Phonetic Extensions	Latin letter small capital l with stroke		
U+1D0D	ᴍ	1D00..1D7F	Phonetic Extensions	Latin letter small capital m		
U+1D0E	ᴎ	1D00..1D7F	Phonetic Extensions	Latin letter small capital reversed n		
U+1D0F	ᴏ	1D00..1D7F	Phonetic Extensions	Latin letter small capital o		
U+1D10	ᴐ	1D00..1D7F	Phonetic Extensions	Latin letter small capital open o		
U+1D11	ᴑ	1D00..1D7F	Phonetic Extensions	Latin small letter sideways o		
U+1D12	ᴒ	1D00..1D7F	Phonetic Extensions	Latin small letter sideways open o		
U+1D13	ᴓ	1D00..1D7F	Phonetic Extensions	Latin small letter sideways o with stroke		
U+1D14	ᴔ	1D00..1D7F	Phonetic Extensions	Latin small letter turned oe		
U+1D15	ᴕ	1D00..1D7F	Phonetic Extensions	Latin letter small capital ou		
U+1D16	ᴖ	1D00..1D7F	Phonetic Extensions	Latin small letter top half o		
