code_point	symbol	block	block_name	name	tab_completion	latex_code
1DC0	"""᷀"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining dotted grave accent		
1DC1	"""᷁"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining dotted acute accent		
1DC2	"""᷂"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining snake below		
1DC3	"""᷃"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining suspension mark		
1DC4	"""᷄"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining macron-acute		
1DC5	"""᷅"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining grave-macron		
1DC6	"""᷆"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining macron-grave		
1DC7	"""᷇"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining acute-macron		
1DC8	"""᷈"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining grave-acute-grave		
1DC9	"""᷉"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining acute-grave-acute		
1DCA	"""᷊"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining latin small letter r below		
1DCB	"""᷋"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining breve-macron		
1DCC	"""᷌"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining macron-breve		
1DCD	"""᷍"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining double circumflex above		
1DCE	"""᷎"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining ogonek above		
1DCF	"""᷏"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining zigzag below		
1DD0	"""᷐"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining is below		
1DD1	"""᷑"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining ur above		
1DD2	"""᷒"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining us above		
1DD3	"""ᷓ"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining latin small letter flattened open a above		
1DD4	"""ᷔ"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining latin small letter ae		
1DD5	"""ᷕ"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining latin small letter ao		
1DD6	"""ᷖ"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining latin small letter av		
1DD7	"""ᷗ"""	1DC0..1DFF	Combining Diacritical Marks Supplement	Combining latin small letter c cedilla		
