code_point	symbol	block	block_name	name	tab_completion	latex_code
1F00	"""ἀ"""	1F00..1FFF	Greek Extended	Greek small letter alpha with psili		
1F01	"""ἁ"""	1F00..1FFF	Greek Extended	Greek small letter alpha with dasia		
1F02	"""ἂ"""	1F00..1FFF	Greek Extended	Greek small letter alpha with psili and varia		
1F03	"""ἃ"""	1F00..1FFF	Greek Extended	Greek small letter alpha with dasia and varia		
1F04	"""ἄ"""	1F00..1FFF	Greek Extended	Greek small letter alpha with psili and oxia		
1F05	"""ἅ"""	1F00..1FFF	Greek Extended	Greek small letter alpha with dasia and oxia		
1F06	"""ἆ"""	1F00..1FFF	Greek Extended	Greek small letter alpha with psili and perispomeni		
1F07	"""ἇ"""	1F00..1FFF	Greek Extended	Greek small letter alpha with dasia and perispomeni		
1F08	"""Ἀ"""	1F00..1FFF	Greek Extended	Greek capital letter alpha with psili		
1F09	"""Ἁ"""	1F00..1FFF	Greek Extended	Greek capital letter alpha with dasia		
1F0A	"""Ἂ"""	1F00..1FFF	Greek Extended	Greek capital letter alpha with psili and varia		
1F0B	"""Ἃ"""	1F00..1FFF	Greek Extended	Greek capital letter alpha with dasia and varia		
1F0C	"""Ἄ"""	1F00..1FFF	Greek Extended	Greek capital letter alpha with psili and oxia		
1F0D	"""Ἅ"""	1F00..1FFF	Greek Extended	Greek capital letter alpha with dasia and oxia		
1F0E	"""Ἆ"""	1F00..1FFF	Greek Extended	Greek capital letter alpha with psili and perispomeni		
1F0F	"""Ἇ"""	1F00..1FFF	Greek Extended	Greek capital letter alpha with dasia and perispomeni		
1F10	"""ἐ"""	1F00..1FFF	Greek Extended	Greek small letter epsilon with psili		
1F11	"""ἑ"""	1F00..1FFF	Greek Extended	Greek small letter epsilon with dasia		
1F12	"""ἒ"""	1F00..1FFF	Greek Extended	Greek small letter epsilon with psili and varia		
1F13	"""ἓ"""	1F00..1FFF	Greek Extended	Greek small letter epsilon with dasia and varia		
1F14	"""ἔ"""	1F00..1FFF	Greek Extended	Greek small letter epsilon with psili and oxia		
1F15	"""ἕ"""	1F00..1FFF	Greek Extended	Greek small letter epsilon with dasia and oxia		
1F18	"""Ἐ"""	1F00..1FFF	Greek Extended	Greek capital letter epsilon with psili		
1F19	"""Ἑ"""	1F00..1FFF	Greek Extended	Greek capital letter epsilon with dasia		
1F1A	"""Ἒ"""	1F00..1FFF	Greek Extended	Greek capital letter epsilon with psili and varia		
1F1B	"""Ἓ"""	1F00..1FFF	Greek Extended	Greek capital letter epsilon with dasia and varia		
1F1C	"""Ἔ"""	1F00..1FFF	Greek Extended	Greek capital letter epsilon with psili and oxia		
1F1D	"""Ἕ"""	1F00..1FFF	Greek Extended	Greek capital letter epsilon with dasia and oxia		
1F20	"""ἠ"""	1F00..1FFF	Greek Extended	Greek small letter eta with psili		
1F21	"""ἡ"""	1F00..1FFF	Greek Extended	Greek small letter eta with dasia		
1F22	"""ἢ"""	1F00..1FFF	Greek Extended	Greek small letter eta with psili and varia		
1F23	"""ἣ"""	1F00..1FFF	Greek Extended	Greek small letter eta with dasia and varia		
1F24	"""ἤ"""	1F00..1FFF	Greek Extended	Greek small letter eta with psili and oxia		
1F25	"""ἥ"""	1F00..1FFF	Greek Extended	Greek small letter eta with dasia and oxia		
1F26	"""ἦ"""	1F00..1FFF	Greek Extended	Greek small letter eta with psili and perispomeni		
1F27	"""ἧ"""	1F00..1FFF	Greek Extended	Greek small letter eta with dasia and perispomeni		
1F28	"""Ἠ"""	1F00..1FFF	Greek Extended	Greek capital letter eta with psili		
1F29	"""Ἡ"""	1F00..1FFF	Greek Extended	Greek capital letter eta with dasia		
1F2A	"""Ἢ"""	1F00..1FFF	Greek Extended	Greek capital letter eta with psili and varia		
1F2B	"""Ἣ"""	1F00..1FFF	Greek Extended	Greek capital letter eta with dasia and varia		
1F2C	"""Ἤ"""	1F00..1FFF	Greek Extended	Greek capital letter eta with psili and oxia		
1F2D	"""Ἥ"""	1F00..1FFF	Greek Extended	Greek capital letter eta with dasia and oxia		
