code_point	symbol	block	block_name	name	tab_completion	latex_code
2100	"""℀"""	2100..214F	Letterlike Symbols	Account of		
2101	"""℁"""	2100..214F	Letterlike Symbols	Addressed to the subject		
2102	"""ℂ"""	2100..214F	Letterlike Symbols	Double-struck capital c		
2103	"""℃"""	2100..214F	Letterlike Symbols	Degree celsius		
2104	"""℄"""	2100..214F	Letterlike Symbols	Centre line symbol		
2105	"""℅"""	2100..214F	Letterlike Symbols	Care of		
2106	"""℆"""	2100..214F	Letterlike Symbols	Cada una		
2107	"""ℇ"""	2100..214F	Letterlike Symbols	Euler constant		
2108	"""℈"""	2100..214F	Letterlike Symbols	Scruple		
2109	"""℉"""	2100..214F	Letterlike Symbols	Degree fahrenheit		
210A	"""ℊ"""	2100..214F	Letterlike Symbols	Script small g		
210B	"""ℋ"""	2100..214F	Letterlike Symbols	Script capital h		
210C	"""ℌ"""	2100..214F	Letterlike Symbols	Black-letter capital h		
210D	"""ℍ"""	2100..214F	Letterlike Symbols	Double-struck capital h		
210E	"""ℎ"""	2100..214F	Letterlike Symbols	Planck constant		
210F	"""ℏ"""	2100..214F	Letterlike Symbols	Planck constant over two pi		
2110	"""ℐ"""	2100..214F	Letterlike Symbols	Script capital i		
2111	"""ℑ"""	2100..214F	Letterlike Symbols	Black-letter capital i		
2112	"""ℒ"""	2100..214F	Letterlike Symbols	Script capital l		
2113	"""ℓ"""	2100..214F	Letterlike Symbols	Script small l		
2114	"""℔"""	2100..214F	Letterlike Symbols	L b bar symbol		
2115	"""ℕ"""	2100..214F	Letterlike Symbols	Double-struck capital n		
2116	"""№"""	2100..214F	Letterlike Symbols	Numero sign		
2117	"""℗"""	2100..214F	Letterlike Symbols	Sound recording copyright		
2118	"""℘"""	2100..214F	Letterlike Symbols	Script capital p		
2119	"""ℙ"""	2100..214F	Letterlike Symbols	Double-struck capital p		
211A	"""ℚ"""	2100..214F	Letterlike Symbols	Double-struck capital q		
211B	"""ℛ"""	2100..214F	Letterlike Symbols	Script capital r		
211C	"""ℜ"""	2100..214F	Letterlike Symbols	Black-letter capital r		
211D	"""ℝ"""	2100..214F	Letterlike Symbols	Double-struck capital r		
211E	"""℞"""	2100..214F	Letterlike Symbols	Prescription take		
211F	"""℟"""	2100..214F	Letterlike Symbols	Response		
2120	"""℠"""	2100..214F	Letterlike Symbols	Service mark		
2121	"""℡"""	2100..214F	Letterlike Symbols	Telephone sign		
2122	"""™"""	2100..214F	Letterlike Symbols	Trade mark sign		
2123	"""℣"""	2100..214F	Letterlike Symbols	Versicle		
2124	"""ℤ"""	2100..214F	Letterlike Symbols	Double-struck capital z		
2125	"""℥"""	2100..214F	Letterlike Symbols	Ounce sign		
2126	"""Ω"""	2100..214F	Letterlike Symbols	Ohm sign		
2127	"""℧"""	2100..214F	Letterlike Symbols	Inverted ohm sign		
2128	"""ℨ"""	2100..214F	Letterlike Symbols	Black-letter capital z		
2129	"""℩"""	2100..214F	Letterlike Symbols	Turned greek small letter iota		
212A	"""K"""	2100..214F	Letterlike Symbols	Kelvin sign		
212B	"""Å"""	2100..214F	Letterlike Symbols	Angstrom sign		
212C	"""ℬ"""	2100..214F	Letterlike Symbols	Script capital b		
212D	"""ℭ"""	2100..214F	Letterlike Symbols	Black-letter capital c		
212E	"""℮"""	2100..214F	Letterlike Symbols	Estimated symbol		
212F	"""ℯ"""	2100..214F	Letterlike Symbols	Script small e		
2130	"""ℰ"""	2100..214F	Letterlike Symbols	Script capital e		
2131	"""ℱ"""	2100..214F	Letterlike Symbols	Script capital f		
2132	"""Ⅎ"""	2100..214F	Letterlike Symbols	Turned capital f		
2133	"""ℳ"""	2100..214F	Letterlike Symbols	Script capital m		
2134	"""ℴ"""	2100..214F	Letterlike Symbols	Script small o		
2135	"""ℵ"""	2100..214F	Letterlike Symbols	Alef symbol		
2136	"""ℶ"""	2100..214F	Letterlike Symbols	Bet symbol		
2137	"""ℷ"""	2100..214F	Letterlike Symbols	Gimel symbol		
2138	"""ℸ"""	2100..214F	Letterlike Symbols	Dalet symbol		
2139	"""ℹ"""	2100..214F	Letterlike Symbols	Information source		
213A	"""℺"""	2100..214F	Letterlike Symbols	Rotated capital q		
213B	"""℻"""	2100..214F	Letterlike Symbols	Facsimile sign		
213C	"""ℼ"""	2100..214F	Letterlike Symbols	Double-struck small pi		
213D	"""ℽ"""	2100..214F	Letterlike Symbols	Double-struck small gamma		
213E	"""ℾ"""	2100..214F	Letterlike Symbols	Double-struck capital gamma		
213F	"""ℿ"""	2100..214F	Letterlike Symbols	Double-struck capital pi		
2140	"""⅀"""	2100..214F	Letterlike Symbols	Double-struck n-ary summation		
2141	"""⅁"""	2100..214F	Letterlike Symbols	Turned sans-serif capital g		
2142	"""⅂"""	2100..214F	Letterlike Symbols	Turned sans-serif capital l		
2143	"""⅃"""	2100..214F	Letterlike Symbols	Reversed sans-serif capital l		
2144	"""⅄"""	2100..214F	Letterlike Symbols	Turned sans-serif capital y		
2145	"""ⅅ"""	2100..214F	Letterlike Symbols	Double-struck italic capital d		
2146	"""ⅆ"""	2100..214F	Letterlike Symbols	Double-struck italic small d		
2147	"""ⅇ"""	2100..214F	Letterlike Symbols	Double-struck italic small e		
2148	"""ⅈ"""	2100..214F	Letterlike Symbols	Double-struck italic small i		
2149	"""ⅉ"""	2100..214F	Letterlike Symbols	Double-struck italic small j		
214A	"""⅊"""	2100..214F	Letterlike Symbols	Property line		
214B	"""⅋"""	2100..214F	Letterlike Symbols	Turned ampersand		
214C	"""⅌"""	2100..214F	Letterlike Symbols	Per sign		
214D	"""⅍"""	2100..214F	Letterlike Symbols	Aktieselskab		
214E	"""ⅎ"""	2100..214F	Letterlike Symbols	Turned small f		
214F	"""⅏"""	2100..214F	Letterlike Symbols	Symbol for samaritan source		
