code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2150	⅐	2150..218F	Number Forms	Vulgar fraction one seventh		
U+2151	⅑	2150..218F	Number Forms	Vulgar fraction one ninth		
U+2152	⅒	2150..218F	Number Forms	Vulgar fraction one tenth		
U+2153	⅓	2150..218F	Number Forms	Vulgar fraction one third		
U+2154	⅔	2150..218F	Number Forms	Vulgar fraction two thirds		
U+2155	⅕	2150..218F	Number Forms	Vulgar fraction one fifth		
U+2156	⅖	2150..218F	Number Forms	Vulgar fraction two fifths		
U+2157	⅗	2150..218F	Number Forms	Vulgar fraction three fifths		
U+2158	⅘	2150..218F	Number Forms	Vulgar fraction four fifths		
U+2159	⅙	2150..218F	Number Forms	Vulgar fraction one sixth		
U+215A	⅚	2150..218F	Number Forms	Vulgar fraction five sixths		
U+215B	⅛	2150..218F	Number Forms	Vulgar fraction one eighth		
U+215C	⅜	2150..218F	Number Forms	Vulgar fraction three eighths		
U+215D	⅝	2150..218F	Number Forms	Vulgar fraction five eighths		
U+215E	⅞	2150..218F	Number Forms	Vulgar fraction seven eighths		
U+215F	⅟	2150..218F	Number Forms	Fraction numerator one		
U+2160	Ⅰ	2150..218F	Number Forms	Roman numeral one		
U+2161	Ⅱ	2150..218F	Number Forms	Roman numeral two		
U+2162	Ⅲ	2150..218F	Number Forms	Roman numeral three		
U+2163	Ⅳ	2150..218F	Number Forms	Roman numeral four		
U+2164	Ⅴ	2150..218F	Number Forms	Roman numeral five		
U+2165	Ⅵ	2150..218F	Number Forms	Roman numeral six		
U+2166	Ⅶ	2150..218F	Number Forms	Roman numeral seven		
U+2167	Ⅷ	2150..218F	Number Forms	Roman numeral eight		
U+2168	Ⅸ	2150..218F	Number Forms	Roman numeral nine		
U+2169	Ⅹ	2150..218F	Number Forms	Roman numeral ten		
U+216A	Ⅺ	2150..218F	Number Forms	Roman numeral eleven		
U+216B	Ⅻ	2150..218F	Number Forms	Roman numeral twelve		
U+216C	Ⅼ	2150..218F	Number Forms	Roman numeral fifty		
U+216D	Ⅽ	2150..218F	Number Forms	Roman numeral one hundred		
U+216E	Ⅾ	2150..218F	Number Forms	Roman numeral five hundred		
U+216F	Ⅿ	2150..218F	Number Forms	Roman numeral one thousand		
U+2170	ⅰ	2150..218F	Number Forms	Small roman numeral one		
U+2171	ⅱ	2150..218F	Number Forms	Small roman numeral two		
U+2172	ⅲ	2150..218F	Number Forms	Small roman numeral three		
U+2173	ⅳ	2150..218F	Number Forms	Small roman numeral four		
U+2174	ⅴ	2150..218F	Number Forms	Small roman numeral five		
U+2175	ⅵ	2150..218F	Number Forms	Small roman numeral six		
U+2176	ⅶ	2150..218F	Number Forms	Small roman numeral seven		
U+2177	ⅷ	2150..218F	Number Forms	Small roman numeral eight		
U+2178	ⅸ	2150..218F	Number Forms	Small roman numeral nine		
U+2179	ⅹ	2150..218F	Number Forms	Small roman numeral ten		
U+217A	ⅺ	2150..218F	Number Forms	Small roman numeral eleven		
U+217B	ⅻ	2150..218F	Number Forms	Small roman numeral twelve		
U+217C	ⅼ	2150..218F	Number Forms	Small roman numeral fifty		
U+217D	ⅽ	2150..218F	Number Forms	Small roman numeral one hundred		
U+217E	ⅾ	2150..218F	Number Forms	Small roman numeral five hundred		
U+217F	ⅿ	2150..218F	Number Forms	Small roman numeral one thousand		
U+2180	ↀ	2150..218F	Number Forms	Roman numeral one thousand c d		
U+2181	ↁ	2150..218F	Number Forms	Roman numeral five thousand		
U+2182	ↂ	2150..218F	Number Forms	Roman numeral ten thousand		
U+2183	Ↄ	2150..218F	Number Forms	Roman numeral reversed one hundred		
U+2184	ↄ	2150..218F	Number Forms	Latin small letter reversed c		
U+2185	ↅ	2150..218F	Number Forms	Roman numeral six late form		
U+2186	ↆ	2150..218F	Number Forms	Roman numeral fifty early form		
U+2187	ↇ	2150..218F	Number Forms	Roman numeral fifty thousand		
U+2188	ↈ	2150..218F	Number Forms	Roman numeral one hundred thousand		
U+2189	↉	2150..218F	Number Forms	Vulgar fraction zero thirds		
U+218A	↊	2150..218F	Number Forms	Turned digit two		
U+218B	↋	2150..218F	Number Forms	Turned digit three		
