code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2200	∀	2200..22FF	Mathematical Operators	For all		
U+2201	∁	2200..22FF	Mathematical Operators	Complement		
U+2202	∂	2200..22FF	Mathematical Operators	Partial differential		
U+2203	∃	2200..22FF	Mathematical Operators	There exists		
U+2204	∄	2200..22FF	Mathematical Operators	There does not exist		
U+2205	∅	2200..22FF	Mathematical Operators	Empty set		
U+2206	∆	2200..22FF	Mathematical Operators	Increment		
U+2207	∇	2200..22FF	Mathematical Operators	Nabla		
U+2208	∈	2200..22FF	Mathematical Operators	Element of		
U+2209	∉	2200..22FF	Mathematical Operators	Not an element of		
U+220A	∊	2200..22FF	Mathematical Operators	Small element of		
U+220B	∋	2200..22FF	Mathematical Operators	Contains as member		
U+220C	∌	2200..22FF	Mathematical Operators	Does not contain as member		
U+220D	∍	2200..22FF	Mathematical Operators	Small contains as member		
U+220E	∎	2200..22FF	Mathematical Operators	End of proof		
U+220F	∏	2200..22FF	Mathematical Operators	N-ary product		
U+2210	∐	2200..22FF	Mathematical Operators	N-ary coproduct		
U+2211	∑	2200..22FF	Mathematical Operators	N-ary summation		
U+2212	−	2200..22FF	Mathematical Operators	Minus sign		
U+2213	∓	2200..22FF	Mathematical Operators	Minus-or-plus sign		
U+2214	∔	2200..22FF	Mathematical Operators	Dot plus		
U+2215	∕	2200..22FF	Mathematical Operators	Division slash		
U+2216	∖	2200..22FF	Mathematical Operators	Set minus		
U+2217	∗	2200..22FF	Mathematical Operators	Asterisk operator		
U+2218	∘	2200..22FF	Mathematical Operators	Ring operator		
U+2219	∙	2200..22FF	Mathematical Operators	Bullet operator		
U+221A	√	2200..22FF	Mathematical Operators	Square root		
U+221B	∛	2200..22FF	Mathematical Operators	Cube root		
U+221C	∜	2200..22FF	Mathematical Operators	Fourth root		
U+221D	∝	2200..22FF	Mathematical Operators	Proportional to		
U+221E	∞	2200..22FF	Mathematical Operators	Infinity		
U+221F	∟	2200..22FF	Mathematical Operators	Right angle		
U+2220	∠	2200..22FF	Mathematical Operators	Angle		
U+2221	∡	2200..22FF	Mathematical Operators	Measured angle		
U+2222	∢	2200..22FF	Mathematical Operators	Spherical angle		
U+2223	∣	2200..22FF	Mathematical Operators	Divides		
U+2224	∤	2200..22FF	Mathematical Operators	Does not divide		
U+2225	∥	2200..22FF	Mathematical Operators	Parallel to		
U+2226	∦	2200..22FF	Mathematical Operators	Not parallel to		
U+2227	∧	2200..22FF	Mathematical Operators	Logical and		
U+2228	∨	2200..22FF	Mathematical Operators	Logical or		
U+2229	∩	2200..22FF	Mathematical Operators	Intersection		
U+222A	∪	2200..22FF	Mathematical Operators	Union		
U+222B	∫	2200..22FF	Mathematical Operators	Integral		
U+222C	∬	2200..22FF	Mathematical Operators	Double integral		
U+222D	∭	2200..22FF	Mathematical Operators	Triple integral		
U+222E	∮	2200..22FF	Mathematical Operators	Contour integral		
U+222F	∯	2200..22FF	Mathematical Operators	Surface integral		
U+2230	∰	2200..22FF	Mathematical Operators	Volume integral		
U+2231	∱	2200..22FF	Mathematical Operators	Clockwise integral		
U+2232	∲	2200..22FF	Mathematical Operators	Clockwise contour integral		
U+2233	∳	2200..22FF	Mathematical Operators	Anticlockwise contour integral		
U+2234	∴	2200..22FF	Mathematical Operators	Therefore		
U+2235	∵	2200..22FF	Mathematical Operators	Because		
U+2236	∶	2200..22FF	Mathematical Operators	Ratio		
U+2237	∷	2200..22FF	Mathematical Operators	Proportion		
U+2238	∸	2200..22FF	Mathematical Operators	Dot minus		
U+2239	∹	2200..22FF	Mathematical Operators	Excess		
U+223A	∺	2200..22FF	Mathematical Operators	Geometric proportion		
U+223B	∻	2200..22FF	Mathematical Operators	Homothetic		
U+223C	∼	2200..22FF	Mathematical Operators	Tilde operator		
U+223D	∽	2200..22FF	Mathematical Operators	Reversed tilde		
U+223E	∾	2200..22FF	Mathematical Operators	Inverted lazy s		
U+223F	∿	2200..22FF	Mathematical Operators	Sine wave		
U+2240	≀	2200..22FF	Mathematical Operators	Wreath product		
U+2241	≁	2200..22FF	Mathematical Operators	Not tilde		
U+2242	≂	2200..22FF	Mathematical Operators	Minus tilde		
U+2243	≃	2200..22FF	Mathematical Operators	Asymptotically equal to		
U+2244	≄	2200..22FF	Mathematical Operators	Not asymptotically equal to		
U+2245	≅	2200..22FF	Mathematical Operators	Approximately equal to		
U+2246	≆	2200..22FF	Mathematical Operators	Approximately but not actually equal to		
U+2247	≇	2200..22FF	Mathematical Operators	Neither approximately nor actually equal to		
U+2248	≈	2200..22FF	Mathematical Operators	Almost equal to		
U+2249	≉	2200..22FF	Mathematical Operators	Not almost equal to		
U+224A	≊	2200..22FF	Mathematical Operators	Almost equal or equal to		
U+224B	≋	2200..22FF	Mathematical Operators	Triple tilde		
U+224C	≌	2200..22FF	Mathematical Operators	All equal to		
U+224D	≍	2200..22FF	Mathematical Operators	Equivalent to		
U+224E	≎	2200..22FF	Mathematical Operators	Geometrically equivalent to		
U+224F	≏	2200..22FF	Mathematical Operators	Difference between		
U+2250	≐	2200..22FF	Mathematical Operators	Approaches the limit		
U+2251	≑	2200..22FF	Mathematical Operators	Geometrically equal to		
U+2252	≒	2200..22FF	Mathematical Operators	Approximately equal to or the image of		
U+2253	≓	2200..22FF	Mathematical Operators	Image of or approximately equal to		
