code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2300	⌀	2300..23FF	Miscellaneous Technical	Diameter sign		
U+2301	⌁	2300..23FF	Miscellaneous Technical	Electric arrow		
U+2302	⌂	2300..23FF	Miscellaneous Technical	House		
U+2303	⌃	2300..23FF	Miscellaneous Technical	Up arrowhead		
U+2304	⌄	2300..23FF	Miscellaneous Technical	Down arrowhead		
U+2305	⌅	2300..23FF	Miscellaneous Technical	Projective		
U+2306	⌆	2300..23FF	Miscellaneous Technical	Perspective		
U+2307	⌇	2300..23FF	Miscellaneous Technical	Wavy line		
U+2308	⌈	2300..23FF	Miscellaneous Technical	Left ceiling		
U+2309	⌉	2300..23FF	Miscellaneous Technical	Right ceiling		
U+230A	⌊	2300..23FF	Miscellaneous Technical	Left floor		
U+230B	⌋	2300..23FF	Miscellaneous Technical	Right floor		
U+230C	⌌	2300..23FF	Miscellaneous Technical	Bottom right crop		
U+230D	⌍	2300..23FF	Miscellaneous Technical	Bottom left crop		
U+230E	⌎	2300..23FF	Miscellaneous Technical	Top right crop		
U+230F	⌏	2300..23FF	Miscellaneous Technical	Top left crop		
U+2310	⌐	2300..23FF	Miscellaneous Technical	Reversed not sign		
U+2311	⌑	2300..23FF	Miscellaneous Technical	Square lozenge		
U+2312	⌒	2300..23FF	Miscellaneous Technical	Arc		
U+2313	⌓	2300..23FF	Miscellaneous Technical	Segment		
U+2314	⌔	2300..23FF	Miscellaneous Technical	Sector		
U+2315	⌕	2300..23FF	Miscellaneous Technical	Telephone recorder		
U+2316	⌖	2300..23FF	Miscellaneous Technical	Position indicator		
U+2317	⌗	2300..23FF	Miscellaneous Technical	Viewdata square		
U+2318	⌘	2300..23FF	Miscellaneous Technical	Place of interest sign		
U+2319	⌙	2300..23FF	Miscellaneous Technical	Turned not sign		
U+231A	⌚	2300..23FF	Miscellaneous Technical	Watch		
U+231B	⌛	2300..23FF	Miscellaneous Technical	Hourglass		
U+231C	⌜	2300..23FF	Miscellaneous Technical	Top left corner		
U+231D	⌝	2300..23FF	Miscellaneous Technical	Top right corner		
U+231E	⌞	2300..23FF	Miscellaneous Technical	Bottom left corner		
U+231F	⌟	2300..23FF	Miscellaneous Technical	Bottom right corner		
U+2320	⌠	2300..23FF	Miscellaneous Technical	Top half integral		
U+2321	⌡	2300..23FF	Miscellaneous Technical	Bottom half integral		
U+2322	⌢	2300..23FF	Miscellaneous Technical	Frown		
U+2323	⌣	2300..23FF	Miscellaneous Technical	Smile		
U+2324	⌤	2300..23FF	Miscellaneous Technical	Up arrowhead between two horizontal bars		
U+2325	⌥	2300..23FF	Miscellaneous Technical	Option key		
U+2326	⌦	2300..23FF	Miscellaneous Technical	Erase to the right		
U+2327	⌧	2300..23FF	Miscellaneous Technical	X in a rectangle box		
U+2328	⌨	2300..23FF	Miscellaneous Technical	Keyboard		
U+2329	〈	2300..23FF	Miscellaneous Technical	Left-pointing angle bracket		
U+232A	〉	2300..23FF	Miscellaneous Technical	Right-pointing angle bracket		
U+232B	⌫	2300..23FF	Miscellaneous Technical	Erase to the left		
U+232C	⌬	2300..23FF	Miscellaneous Technical	Benzene ring		
U+232D	⌭	2300..23FF	Miscellaneous Technical	Cylindricity		
U+232E	⌮	2300..23FF	Miscellaneous Technical	All around-profile		
U+232F	⌯	2300..23FF	Miscellaneous Technical	Symmetry		
U+2330	⌰	2300..23FF	Miscellaneous Technical	Total runout		
U+2331	⌱	2300..23FF	Miscellaneous Technical	Dimension origin		
U+2332	⌲	2300..23FF	Miscellaneous Technical	Conical taper		
U+2333	⌳	2300..23FF	Miscellaneous Technical	Slope		
U+2334	⌴	2300..23FF	Miscellaneous Technical	Counterbore		
U+2335	⌵	2300..23FF	Miscellaneous Technical	Countersink		
U+2336	⌶	2300..23FF	Miscellaneous Technical	Apl functional symbol i-beam		
U+2337	⌷	2300..23FF	Miscellaneous Technical	Apl functional symbol squish quad		
U+2338	⌸	2300..23FF	Miscellaneous Technical	Apl functional symbol quad equal		
U+2339	⌹	2300..23FF	Miscellaneous Technical	Apl functional symbol quad divide		
U+233A	⌺	2300..23FF	Miscellaneous Technical	Apl functional symbol quad diamond		
U+233B	⌻	2300..23FF	Miscellaneous Technical	Apl functional symbol quad jot		
U+233C	⌼	2300..23FF	Miscellaneous Technical	Apl functional symbol quad circle		
U+233D	⌽	2300..23FF	Miscellaneous Technical	Apl functional symbol circle stile		
U+233E	⌾	2300..23FF	Miscellaneous Technical	Apl functional symbol circle jot		
U+233F	⌿	2300..23FF	Miscellaneous Technical	Apl functional symbol slash bar		
U+2340	⍀	2300..23FF	Miscellaneous Technical	Apl functional symbol backslash bar		
U+2341	⍁	2300..23FF	Miscellaneous Technical	Apl functional symbol quad slash		
U+2342	⍂	2300..23FF	Miscellaneous Technical	Apl functional symbol quad backslash		
U+2343	⍃	2300..23FF	Miscellaneous Technical	Apl functional symbol quad less-than		
U+2344	⍄	2300..23FF	Miscellaneous Technical	Apl functional symbol quad greater-than		
U+2345	⍅	2300..23FF	Miscellaneous Technical	Apl functional symbol leftwards vane		
U+2346	⍆	2300..23FF	Miscellaneous Technical	Apl functional symbol rightwards vane		
U+2347	⍇	2300..23FF	Miscellaneous Technical	Apl functional symbol quad leftwards arrow		
U+2348	⍈	2300..23FF	Miscellaneous Technical	Apl functional symbol quad rightwards arrow		
U+2349	⍉	2300..23FF	Miscellaneous Technical	Apl functional symbol circle backslash		
U+234A	⍊	2300..23FF	Miscellaneous Technical	Apl functional symbol down tack underbar		
U+234B	⍋	2300..23FF	Miscellaneous Technical	Apl functional symbol delta stile		
U+234C	⍌	2300..23FF	Miscellaneous Technical	Apl functional symbol quad down caret		
U+234D	⍍	2300..23FF	Miscellaneous Technical	Apl functional symbol quad delta		
U+234E	⍎	2300..23FF	Miscellaneous Technical	Apl functional symbol down tack jot		
U+234F	⍏	2300..23FF	Miscellaneous Technical	Apl functional symbol upwards vane		
U+2350	⍐	2300..23FF	Miscellaneous Technical	Apl functional symbol quad upwards arrow		
U+2351	⍑	2300..23FF	Miscellaneous Technical	Apl functional symbol up tack overbar		
U+2352	⍒	2300..23FF	Miscellaneous Technical	Apl functional symbol del stile		
U+2353	⍓	2300..23FF	Miscellaneous Technical	Apl functional symbol quad up caret		
U+2354	⍔	2300..23FF	Miscellaneous Technical	Apl functional symbol quad del		
U+2355	⍕	2300..23FF	Miscellaneous Technical	Apl functional symbol up tack jot		
U+2356	⍖	2300..23FF	Miscellaneous Technical	Apl functional symbol downwards vane		
U+2357	⍗	2300..23FF	Miscellaneous Technical	Apl functional symbol quad downwards arrow		
U+2358	⍘	2300..23FF	Miscellaneous Technical	Apl functional symbol quote underbar		
U+2359	⍙	2300..23FF	Miscellaneous Technical	Apl functional symbol delta underbar		
U+235A	⍚	2300..23FF	Miscellaneous Technical	Apl functional symbol diamond underbar		
