code_point	symbol	block	block_name	name	tab_completion	latex_code
2400	"""␀"""	2400..243F	Control Pictures	Symbol for null		
2401	"""␁"""	2400..243F	Control Pictures	Symbol for start of heading		
2402	"""␂"""	2400..243F	Control Pictures	Symbol for start of text		
2403	"""␃"""	2400..243F	Control Pictures	Symbol for end of text		
2404	"""␄"""	2400..243F	Control Pictures	Symbol for end of transmission		
2405	"""␅"""	2400..243F	Control Pictures	Symbol for enquiry		
2406	"""␆"""	2400..243F	Control Pictures	Symbol for acknowledge		
2407	"""␇"""	2400..243F	Control Pictures	Symbol for bell		
2408	"""␈"""	2400..243F	Control Pictures	Symbol for backspace		
2409	"""␉"""	2400..243F	Control Pictures	Symbol for horizontal tabulation		
240A	"""␊"""	2400..243F	Control Pictures	Symbol for line feed		
240B	"""␋"""	2400..243F	Control Pictures	Symbol for vertical tabulation		
240C	"""␌"""	2400..243F	Control Pictures	Symbol for form feed		
240D	"""␍"""	2400..243F	Control Pictures	Symbol for carriage return		
240E	"""␎"""	2400..243F	Control Pictures	Symbol for shift out		
240F	"""␏"""	2400..243F	Control Pictures	Symbol for shift in		
2410	"""␐"""	2400..243F	Control Pictures	Symbol for data link escape		
2411	"""␑"""	2400..243F	Control Pictures	Symbol for device control one		
2412	"""␒"""	2400..243F	Control Pictures	Symbol for device control two		
2413	"""␓"""	2400..243F	Control Pictures	Symbol for device control three		
2414	"""␔"""	2400..243F	Control Pictures	Symbol for device control four		
2415	"""␕"""	2400..243F	Control Pictures	Symbol for negative acknowledge		
2416	"""␖"""	2400..243F	Control Pictures	Symbol for synchronous idle		
2417	"""␗"""	2400..243F	Control Pictures	Symbol for end of transmission block		
2418	"""␘"""	2400..243F	Control Pictures	Symbol for cancel		
2419	"""␙"""	2400..243F	Control Pictures	Symbol for end of medium		
241A	"""␚"""	2400..243F	Control Pictures	Symbol for substitute		
241B	"""␛"""	2400..243F	Control Pictures	Symbol for escape		
241C	"""␜"""	2400..243F	Control Pictures	Symbol for file separator		
241D	"""␝"""	2400..243F	Control Pictures	Symbol for group separator		
241E	"""␞"""	2400..243F	Control Pictures	Symbol for record separator		
241F	"""␟"""	2400..243F	Control Pictures	Symbol for unit separator		
2420	"""␠"""	2400..243F	Control Pictures	Symbol for space		
2421	"""␡"""	2400..243F	Control Pictures	Symbol for delete		
2422	"""␢"""	2400..243F	Control Pictures	Blank symbol		
2423	"""␣"""	2400..243F	Control Pictures	Open box		
2424	"""␤"""	2400..243F	Control Pictures	Symbol for newline		
2425	"""␥"""	2400..243F	Control Pictures	Symbol for delete form two		
2426	"""␦"""	2400..243F	Control Pictures	Symbol for substitute form two		
