code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2460	①	2460..24FF	Enclosed Alphanumerics	Circled digit one		
U+2461	②	2460..24FF	Enclosed Alphanumerics	Circled digit two		
U+2462	③	2460..24FF	Enclosed Alphanumerics	Circled digit three		
U+2463	④	2460..24FF	Enclosed Alphanumerics	Circled digit four		
U+2464	⑤	2460..24FF	Enclosed Alphanumerics	Circled digit five		
U+2465	⑥	2460..24FF	Enclosed Alphanumerics	Circled digit six		
U+2466	⑦	2460..24FF	Enclosed Alphanumerics	Circled digit seven		
U+2467	⑧	2460..24FF	Enclosed Alphanumerics	Circled digit eight		
U+2468	⑨	2460..24FF	Enclosed Alphanumerics	Circled digit nine		
U+2469	⑩	2460..24FF	Enclosed Alphanumerics	Circled number ten		
U+246A	⑪	2460..24FF	Enclosed Alphanumerics	Circled number eleven		
U+246B	⑫	2460..24FF	Enclosed Alphanumerics	Circled number twelve		
U+246C	⑬	2460..24FF	Enclosed Alphanumerics	Circled number thirteen		
U+246D	⑭	2460..24FF	Enclosed Alphanumerics	Circled number fourteen		
U+246E	⑮	2460..24FF	Enclosed Alphanumerics	Circled number fifteen		
U+246F	⑯	2460..24FF	Enclosed Alphanumerics	Circled number sixteen		
U+2470	⑰	2460..24FF	Enclosed Alphanumerics	Circled number seventeen		
U+2471	⑱	2460..24FF	Enclosed Alphanumerics	Circled number eighteen		
U+2472	⑲	2460..24FF	Enclosed Alphanumerics	Circled number nineteen		
U+2473	⑳	2460..24FF	Enclosed Alphanumerics	Circled number twenty		
U+2474	⑴	2460..24FF	Enclosed Alphanumerics	Parenthesized digit one		
U+2475	⑵	2460..24FF	Enclosed Alphanumerics	Parenthesized digit two		
U+2476	⑶	2460..24FF	Enclosed Alphanumerics	Parenthesized digit three		
U+2477	⑷	2460..24FF	Enclosed Alphanumerics	Parenthesized digit four		
U+2478	⑸	2460..24FF	Enclosed Alphanumerics	Parenthesized digit five		
U+2479	⑹	2460..24FF	Enclosed Alphanumerics	Parenthesized digit six		
U+247A	⑺	2460..24FF	Enclosed Alphanumerics	Parenthesized digit seven		
U+247B	⑻	2460..24FF	Enclosed Alphanumerics	Parenthesized digit eight		
U+247C	⑼	2460..24FF	Enclosed Alphanumerics	Parenthesized digit nine		
U+247D	⑽	2460..24FF	Enclosed Alphanumerics	Parenthesized number ten		
U+247E	⑾	2460..24FF	Enclosed Alphanumerics	Parenthesized number eleven		
U+247F	⑿	2460..24FF	Enclosed Alphanumerics	Parenthesized number twelve		
U+2480	⒀	2460..24FF	Enclosed Alphanumerics	Parenthesized number thirteen		
U+2481	⒁	2460..24FF	Enclosed Alphanumerics	Parenthesized number fourteen		
U+2482	⒂	2460..24FF	Enclosed Alphanumerics	Parenthesized number fifteen		
U+2483	⒃	2460..24FF	Enclosed Alphanumerics	Parenthesized number sixteen		
U+2484	⒄	2460..24FF	Enclosed Alphanumerics	Parenthesized number seventeen		
U+2485	⒅	2460..24FF	Enclosed Alphanumerics	Parenthesized number eighteen		
U+2486	⒆	2460..24FF	Enclosed Alphanumerics	Parenthesized number nineteen		
U+2487	⒇	2460..24FF	Enclosed Alphanumerics	Parenthesized number twenty		
U+2488	⒈	2460..24FF	Enclosed Alphanumerics	Digit one full stop		
U+2489	⒉	2460..24FF	Enclosed Alphanumerics	Digit two full stop		
U+248A	⒊	2460..24FF	Enclosed Alphanumerics	Digit three full stop		
U+248B	⒋	2460..24FF	Enclosed Alphanumerics	Digit four full stop		
U+248C	⒌	2460..24FF	Enclosed Alphanumerics	Digit five full stop		
U+248D	⒍	2460..24FF	Enclosed Alphanumerics	Digit six full stop		
U+248E	⒎	2460..24FF	Enclosed Alphanumerics	Digit seven full stop		
U+248F	⒏	2460..24FF	Enclosed Alphanumerics	Digit eight full stop		
U+2490	⒐	2460..24FF	Enclosed Alphanumerics	Digit nine full stop		
U+2491	⒑	2460..24FF	Enclosed Alphanumerics	Number ten full stop		
U+2492	⒒	2460..24FF	Enclosed Alphanumerics	Number eleven full stop		
U+2493	⒓	2460..24FF	Enclosed Alphanumerics	Number twelve full stop		
