code_point	symbol	block	block_name	name	tab_completion	latex_code
2500	"""─"""	2500..257F	Box Drawing	Box drawings light horizontal		
2501	"""━"""	2500..257F	Box Drawing	Box drawings heavy horizontal		
2502	"""│"""	2500..257F	Box Drawing	Box drawings light vertical		
2503	"""┃"""	2500..257F	Box Drawing	Box drawings heavy vertical		
2504	"""┄"""	2500..257F	Box Drawing	Box drawings light triple dash horizontal		
2505	"""┅"""	2500..257F	Box Drawing	Box drawings heavy triple dash horizontal		
2506	"""┆"""	2500..257F	Box Drawing	Box drawings light triple dash vertical		
2507	"""┇"""	2500..257F	Box Drawing	Box drawings heavy triple dash vertical		
2508	"""┈"""	2500..257F	Box Drawing	Box drawings light quadruple dash horizontal		
2509	"""┉"""	2500..257F	Box Drawing	Box drawings heavy quadruple dash horizontal		
250A	"""┊"""	2500..257F	Box Drawing	Box drawings light quadruple dash vertical		
250B	"""┋"""	2500..257F	Box Drawing	Box drawings heavy quadruple dash vertical		
250C	"""┌"""	2500..257F	Box Drawing	Box drawings light down and right		
250D	"""┍"""	2500..257F	Box Drawing	Box drawings down light and right heavy		
250E	"""┎"""	2500..257F	Box Drawing	Box drawings down heavy and right light		
250F	"""┏"""	2500..257F	Box Drawing	Box drawings heavy down and right		
2510	"""┐"""	2500..257F	Box Drawing	Box drawings light down and left		
2511	"""┑"""	2500..257F	Box Drawing	Box drawings down light and left heavy		
2512	"""┒"""	2500..257F	Box Drawing	Box drawings down heavy and left light		
2513	"""┓"""	2500..257F	Box Drawing	Box drawings heavy down and left		
2514	"""└"""	2500..257F	Box Drawing	Box drawings light up and right		
2515	"""┕"""	2500..257F	Box Drawing	Box drawings up light and right heavy		
2516	"""┖"""	2500..257F	Box Drawing	Box drawings up heavy and right light		
2517	"""┗"""	2500..257F	Box Drawing	Box drawings heavy up and right		
2518	"""┘"""	2500..257F	Box Drawing	Box drawings light up and left		
2519	"""┙"""	2500..257F	Box Drawing	Box drawings up light and left heavy		
251A	"""┚"""	2500..257F	Box Drawing	Box drawings up heavy and left light		
251B	"""┛"""	2500..257F	Box Drawing	Box drawings heavy up and left		
251C	"""├"""	2500..257F	Box Drawing	Box drawings light vertical and right		
251D	"""┝"""	2500..257F	Box Drawing	Box drawings vertical light and right heavy		
251E	"""┞"""	2500..257F	Box Drawing	Box drawings up heavy and right down light		
251F	"""┟"""	2500..257F	Box Drawing	Box drawings down heavy and right up light		
2520	"""┠"""	2500..257F	Box Drawing	Box drawings vertical heavy and right light		
2521	"""┡"""	2500..257F	Box Drawing	Box drawings down light and right up heavy		
2522	"""┢"""	2500..257F	Box Drawing	Box drawings up light and right down heavy		
