code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2580	▀	2580..259F	Block Elements	Upper half block		
U+2581	▁	2580..259F	Block Elements	Lower one eighth block		
U+2582	▂	2580..259F	Block Elements	Lower one quarter block		
U+2583	▃	2580..259F	Block Elements	Lower three eighths block		
U+2584	▄	2580..259F	Block Elements	Lower half block		
U+2585	▅	2580..259F	Block Elements	Lower five eighths block		
U+2586	▆	2580..259F	Block Elements	Lower three quarters block		
U+2587	▇	2580..259F	Block Elements	Lower seven eighths block		
U+2588	█	2580..259F	Block Elements	Full block		
U+2589	▉	2580..259F	Block Elements	Left seven eighths block		
U+258A	▊	2580..259F	Block Elements	Left three quarters block		
U+258B	▋	2580..259F	Block Elements	Left five eighths block		
U+258C	▌	2580..259F	Block Elements	Left half block		
U+258D	▍	2580..259F	Block Elements	Left three eighths block		
U+258E	▎	2580..259F	Block Elements	Left one quarter block		
U+258F	▏	2580..259F	Block Elements	Left one eighth block		
U+2590	▐	2580..259F	Block Elements	Right half block		
U+2591	░	2580..259F	Block Elements	Light shade		
U+2592	▒	2580..259F	Block Elements	Medium shade		
U+2593	▓	2580..259F	Block Elements	Dark shade		
U+2594	▔	2580..259F	Block Elements	Upper one eighth block		
U+2595	▕	2580..259F	Block Elements	Right one eighth block		
U+2596	▖	2580..259F	Block Elements	Quadrant lower left		
U+2597	▗	2580..259F	Block Elements	Quadrant lower right		
U+2598	▘	2580..259F	Block Elements	Quadrant upper left		
U+2599	▙	2580..259F	Block Elements	Quadrant upper left and lower left and lower right		
U+259A	▚	2580..259F	Block Elements	Quadrant upper left and lower right		
U+259B	▛	2580..259F	Block Elements	Quadrant upper left and upper right and lower left		
U+259C	▜	2580..259F	Block Elements	Quadrant upper left and upper right and lower right		
U+259D	▝	2580..259F	Block Elements	Quadrant upper right		
U+259E	▞	2580..259F	Block Elements	Quadrant upper right and lower left		
U+259F	▟	2580..259F	Block Elements	Quadrant upper right and lower left and lower right		
