code_point	symbol	block	block_name	name	tab_completion	latex_code
25A0	"""■"""	25A0..25FF	Geometric Shapes	Black square		
25A1	"""□"""	25A0..25FF	Geometric Shapes	White square		
25A2	"""▢"""	25A0..25FF	Geometric Shapes	White square with rounded corners		
25A3	"""▣"""	25A0..25FF	Geometric Shapes	White square containing black small square		
25A4	"""▤"""	25A0..25FF	Geometric Shapes	Square with horizontal fill		
25A5	"""▥"""	25A0..25FF	Geometric Shapes	Square with vertical fill		
25A6	"""▦"""	25A0..25FF	Geometric Shapes	Square with orthogonal crosshatch fill		
25A7	"""▧"""	25A0..25FF	Geometric Shapes	Square with upper left to lower right fill		
25A8	"""▨"""	25A0..25FF	Geometric Shapes	Square with upper right to lower left fill		
25A9	"""▩"""	25A0..25FF	Geometric Shapes	Square with diagonal crosshatch fill		
25AA	"""▪"""	25A0..25FF	Geometric Shapes	Black small square		
25AB	"""▫"""	25A0..25FF	Geometric Shapes	White small square		
25AC	"""▬"""	25A0..25FF	Geometric Shapes	Black rectangle		
25AD	"""▭"""	25A0..25FF	Geometric Shapes	White rectangle		
25AE	"""▮"""	25A0..25FF	Geometric Shapes	Black vertical rectangle		
25AF	"""▯"""	25A0..25FF	Geometric Shapes	White vertical rectangle		
25B0	"""▰"""	25A0..25FF	Geometric Shapes	Black parallelogram		
25B1	"""▱"""	25A0..25FF	Geometric Shapes	White parallelogram		
25B2	"""▲"""	25A0..25FF	Geometric Shapes	Black up-pointing triangle		
25B3	"""△"""	25A0..25FF	Geometric Shapes	White up-pointing triangle		
25B4	"""▴"""	25A0..25FF	Geometric Shapes	Black up-pointing small triangle		
25B5	"""▵"""	25A0..25FF	Geometric Shapes	White up-pointing small triangle		
25B6	"""▶"""	25A0..25FF	Geometric Shapes	Black right-pointing triangle		
25B7	"""▷"""	25A0..25FF	Geometric Shapes	White right-pointing triangle		
25B8	"""▸"""	25A0..25FF	Geometric Shapes	Black right-pointing small triangle		
25B9	"""▹"""	25A0..25FF	Geometric Shapes	White right-pointing small triangle		
25BA	"""►"""	25A0..25FF	Geometric Shapes	Black right-pointing pointer		
25BB	"""▻"""	25A0..25FF	Geometric Shapes	White right-pointing pointer		
25BC	"""▼"""	25A0..25FF	Geometric Shapes	Black down-pointing triangle		
25BD	"""▽"""	25A0..25FF	Geometric Shapes	White down-pointing triangle		
25BE	"""▾"""	25A0..25FF	Geometric Shapes	Black down-pointing small triangle		
25BF	"""▿"""	25A0..25FF	Geometric Shapes	White down-pointing small triangle		
25C0	"""◀"""	25A0..25FF	Geometric Shapes	Black left-pointing triangle		
25C1	"""◁"""	25A0..25FF	Geometric Shapes	White left-pointing triangle		
25C2	"""◂"""	25A0..25FF	Geometric Shapes	Black left-pointing small triangle		
25C3	"""◃"""	25A0..25FF	Geometric Shapes	White left-pointing small triangle		
25C4	"""◄"""	25A0..25FF	Geometric Shapes	Black left-pointing pointer		
25C5	"""◅"""	25A0..25FF	Geometric Shapes	White left-pointing pointer		
25C6	"""◆"""	25A0..25FF	Geometric Shapes	Black diamond		
25C7	"""◇"""	25A0..25FF	Geometric Shapes	White diamond		
25C8	"""◈"""	25A0..25FF	Geometric Shapes	White diamond containing black small diamond		
25C9	"""◉"""	25A0..25FF	Geometric Shapes	Fisheye		
25CA	"""◊"""	25A0..25FF	Geometric Shapes	Lozenge		
25CB	"""○"""	25A0..25FF	Geometric Shapes	White circle		
25CC	"""◌"""	25A0..25FF	Geometric Shapes	Dotted circle		
25CD	"""◍"""	25A0..25FF	Geometric Shapes	Circle with vertical fill		
25CE	"""◎"""	25A0..25FF	Geometric Shapes	Bullseye		
25CF	"""●"""	25A0..25FF	Geometric Shapes	Black circle		
25D0	"""◐"""	25A0..25FF	Geometric Shapes	Circle with left half black		
25D1	"""◑"""	25A0..25FF	Geometric Shapes	Circle with right half black		
25D2	"""◒"""	25A0..25FF	Geometric Shapes	Circle with lower half black		
25D3	"""◓"""	25A0..25FF	Geometric Shapes	Circle with upper half black		
