code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2600	☀	2600..26FF	Miscellaneous Symbols	Black sun with rays		
U+2601	☁	2600..26FF	Miscellaneous Symbols	Cloud		
U+2602	☂	2600..26FF	Miscellaneous Symbols	Umbrella		
U+2603	☃	2600..26FF	Miscellaneous Symbols	Snowman		
U+2604	☄	2600..26FF	Miscellaneous Symbols	Comet		
U+2605	★	2600..26FF	Miscellaneous Symbols	Black star		
U+2606	☆	2600..26FF	Miscellaneous Symbols	White star		
U+2607	☇	2600..26FF	Miscellaneous Symbols	Lightning		
U+2608	☈	2600..26FF	Miscellaneous Symbols	Thunderstorm		
U+2609	☉	2600..26FF	Miscellaneous Symbols	Sun		
U+260A	☊	2600..26FF	Miscellaneous Symbols	Ascending node		
U+260B	☋	2600..26FF	Miscellaneous Symbols	Descending node		
U+260C	☌	2600..26FF	Miscellaneous Symbols	Conjunction		
U+260D	☍	2600..26FF	Miscellaneous Symbols	Opposition		
U+260E	☎	2600..26FF	Miscellaneous Symbols	Black telephone		
U+260F	☏	2600..26FF	Miscellaneous Symbols	White telephone		
U+2610	☐	2600..26FF	Miscellaneous Symbols	Ballot box		
U+2611	☑	2600..26FF	Miscellaneous Symbols	Ballot box with check		
U+2612	☒	2600..26FF	Miscellaneous Symbols	Ballot box with x		
U+2613	☓	2600..26FF	Miscellaneous Symbols	Saltire		
U+2614	☔	2600..26FF	Miscellaneous Symbols	Umbrella with rain drops		
U+2615	☕	2600..26FF	Miscellaneous Symbols	Hot beverage		
U+2616	☖	2600..26FF	Miscellaneous Symbols	White shogi piece		
U+2617	☗	2600..26FF	Miscellaneous Symbols	Black shogi piece		
U+2618	☘	2600..26FF	Miscellaneous Symbols	Shamrock		
U+2619	☙	2600..26FF	Miscellaneous Symbols	Reversed rotated floral heart bullet		
U+261A	☚	2600..26FF	Miscellaneous Symbols	Black left pointing index		
U+261B	☛	2600..26FF	Miscellaneous Symbols	Black right pointing index		
U+261C	☜	2600..26FF	Miscellaneous Symbols	White left pointing index		
U+261D	☝	2600..26FF	Miscellaneous Symbols	White up pointing index		
U+261E	☞	2600..26FF	Miscellaneous Symbols	White right pointing index		
U+261F	☟	2600..26FF	Miscellaneous Symbols	White down pointing index		
U+2620	☠	2600..26FF	Miscellaneous Symbols	Skull and crossbones		
U+2621	☡	2600..26FF	Miscellaneous Symbols	Caution sign		
U+2622	☢	2600..26FF	Miscellaneous Symbols	Radioactive sign		
U+2623	☣	2600..26FF	Miscellaneous Symbols	Biohazard sign		
U+2624	☤	2600..26FF	Miscellaneous Symbols	Caduceus		
U+2625	☥	2600..26FF	Miscellaneous Symbols	Ankh		
U+2626	☦	2600..26FF	Miscellaneous Symbols	Orthodox cross		
U+2627	☧	2600..26FF	Miscellaneous Symbols	Chi rho		
U+2628	☨	2600..26FF	Miscellaneous Symbols	Cross of lorraine		
U+2629	☩	2600..26FF	Miscellaneous Symbols	Cross of jerusalem		
U+262A	☪	2600..26FF	Miscellaneous Symbols	Star and crescent		
U+262B	☫	2600..26FF	Miscellaneous Symbols	Farsi symbol		
U+262C	☬	2600..26FF	Miscellaneous Symbols	Adi shakti		
U+262D	☭	2600..26FF	Miscellaneous Symbols	Hammer and sickle		
U+262E	☮	2600..26FF	Miscellaneous Symbols	Peace symbol		
U+262F	☯	2600..26FF	Miscellaneous Symbols	Yin yang		
U+2630	☰	2600..26FF	Miscellaneous Symbols	Trigram for heaven		
U+2631	☱	2600..26FF	Miscellaneous Symbols	Trigram for lake		
U+2632	☲	2600..26FF	Miscellaneous Symbols	Trigram for fire		
U+2633	☳	2600..26FF	Miscellaneous Symbols	Trigram for thunder		
U+2634	☴	2600..26FF	Miscellaneous Symbols	Trigram for wind		
U+2635	☵	2600..26FF	Miscellaneous Symbols	Trigram for water		
U+2636	☶	2600..26FF	Miscellaneous Symbols	Trigram for mountain		
U+2637	☷	2600..26FF	Miscellaneous Symbols	Trigram for earth		
U+2638	☸	2600..26FF	Miscellaneous Symbols	Wheel of dharma		
U+2639	☹	2600..26FF	Miscellaneous Symbols	White frowning face		
U+263A	☺	2600..26FF	Miscellaneous Symbols	White smiling face		
U+263B	☻	2600..26FF	Miscellaneous Symbols	Black smiling face		
U+263C	☼	2600..26FF	Miscellaneous Symbols	White sun with rays		
U+263D	☽	2600..26FF	Miscellaneous Symbols	First quarter moon		
U+263E	☾	2600..26FF	Miscellaneous Symbols	Last quarter moon		
U+263F	☿	2600..26FF	Miscellaneous Symbols	Mercury		
U+2640	♀	2600..26FF	Miscellaneous Symbols	Female sign		
U+2641	♁	2600..26FF	Miscellaneous Symbols	Earth		
U+2642	♂	2600..26FF	Miscellaneous Symbols	Male sign		
U+2643	♃	2600..26FF	Miscellaneous Symbols	Jupiter		
U+2644	♄	2600..26FF	Miscellaneous Symbols	Saturn		
U+2645	♅	2600..26FF	Miscellaneous Symbols	Uranus		
U+2646	♆	2600..26FF	Miscellaneous Symbols	Neptune		
U+2647	♇	2600..26FF	Miscellaneous Symbols	Pluto		
U+2648	♈	2600..26FF	Miscellaneous Symbols	Aries		
U+2649	♉	2600..26FF	Miscellaneous Symbols	Taurus		
U+264A	♊	2600..26FF	Miscellaneous Symbols	Gemini		
U+264B	♋	2600..26FF	Miscellaneous Symbols	Cancer		
U+264C	♌	2600..26FF	Miscellaneous Symbols	Leo		
U+264D	♍	2600..26FF	Miscellaneous Symbols	Virgo		
U+264E	♎	2600..26FF	Miscellaneous Symbols	Libra		
U+264F	♏	2600..26FF	Miscellaneous Symbols	Scorpius		
U+2650	♐	2600..26FF	Miscellaneous Symbols	Sagittarius		
U+2651	♑	2600..26FF	Miscellaneous Symbols	Capricorn		
U+2652	♒	2600..26FF	Miscellaneous Symbols	Aquarius		
U+2653	♓	2600..26FF	Miscellaneous Symbols	Pisces		
U+2654	♔	2600..26FF	Miscellaneous Symbols	White chess king		
U+2655	♕	2600..26FF	Miscellaneous Symbols	White chess queen		
U+2656	♖	2600..26FF	Miscellaneous Symbols	White chess rook		
U+2657	♗	2600..26FF	Miscellaneous Symbols	White chess bishop		
U+2658	♘	2600..26FF	Miscellaneous Symbols	White chess knight		
U+2659	♙	2600..26FF	Miscellaneous Symbols	White chess pawn		
U+265A	♚	2600..26FF	Miscellaneous Symbols	Black chess king		
U+265B	♛	2600..26FF	Miscellaneous Symbols	Black chess queen		
U+265C	♜	2600..26FF	Miscellaneous Symbols	Black chess rook		
U+265D	♝	2600..26FF	Miscellaneous Symbols	Black chess bishop		
U+265E	♞	2600..26FF	Miscellaneous Symbols	Black chess knight		
U+265F	♟	2600..26FF	Miscellaneous Symbols	Black chess pawn		
U+2660	♠	2600..26FF	Miscellaneous Symbols	Black spade suit		
U+2661	♡	2600..26FF	Miscellaneous Symbols	White heart suit		
U+2662	♢	2600..26FF	Miscellaneous Symbols	White diamond suit		
U+2663	♣	2600..26FF	Miscellaneous Symbols	Black club suit		
U+2664	♤	2600..26FF	Miscellaneous Symbols	White spade suit		
U+2665	♥	2600..26FF	Miscellaneous Symbols	Black heart suit		
U+2666	♦	2600..26FF	Miscellaneous Symbols	Black diamond suit		
U+2667	♧	2600..26FF	Miscellaneous Symbols	White club suit		
U+2668	♨	2600..26FF	Miscellaneous Symbols	Hot springs		
U+2669	♩	2600..26FF	Miscellaneous Symbols	Quarter note		
U+266A	♪	2600..26FF	Miscellaneous Symbols	Eighth note		
U+266B	♫	2600..26FF	Miscellaneous Symbols	Beamed eighth notes		
U+266C	♬	2600..26FF	Miscellaneous Symbols	Beamed sixteenth notes		
U+266D	♭	2600..26FF	Miscellaneous Symbols	Music flat sign		
U+266E	♮	2600..26FF	Miscellaneous Symbols	Music natural sign		
U+266F	♯	2600..26FF	Miscellaneous Symbols	Music sharp sign		
U+2670	♰	2600..26FF	Miscellaneous Symbols	West syriac cross		
U+2671	♱	2600..26FF	Miscellaneous Symbols	East syriac cross		
U+2672	♲	2600..26FF	Miscellaneous Symbols	Universal recycling symbol		
U+2673	♳	2600..26FF	Miscellaneous Symbols	Recycling symbol for type-1 plastics		
U+2674	♴	2600..26FF	Miscellaneous Symbols	Recycling symbol for type-2 plastics		
U+2675	♵	2600..26FF	Miscellaneous Symbols	Recycling symbol for type-3 plastics		
U+2676	♶	2600..26FF	Miscellaneous Symbols	Recycling symbol for type-4 plastics		
U+2677	♷	2600..26FF	Miscellaneous Symbols	Recycling symbol for type-5 plastics		
U+2678	♸	2600..26FF	Miscellaneous Symbols	Recycling symbol for type-6 plastics		
U+2679	♹	2600..26FF	Miscellaneous Symbols	Recycling symbol for type-7 plastics		
U+267A	♺	2600..26FF	Miscellaneous Symbols	Recycling symbol for generic materials		
U+267B	♻	2600..26FF	Miscellaneous Symbols	Black universal recycling symbol		
U+267C	♼	2600..26FF	Miscellaneous Symbols	Recycled paper symbol		
U+267D	♽	2600..26FF	Miscellaneous Symbols	Partially-recycled paper symbol		
U+267E	♾	2600..26FF	Miscellaneous Symbols	Permanent paper sign		
U+267F	♿	2600..26FF	Miscellaneous Symbols	Wheelchair symbol		
U+2680	⚀	2600..26FF	Miscellaneous Symbols	Die face-1		
U+2681	⚁	2600..26FF	Miscellaneous Symbols	Die face-2		
U+2682	⚂	2600..26FF	Miscellaneous Symbols	Die face-3		
U+2683	⚃	2600..26FF	Miscellaneous Symbols	Die face-4		
U+2684	⚄	2600..26FF	Miscellaneous Symbols	Die face-5		
U+2685	⚅	2600..26FF	Miscellaneous Symbols	Die face-6		
U+2686	⚆	2600..26FF	Miscellaneous Symbols	White circle with dot right		
U+2687	⚇	2600..26FF	Miscellaneous Symbols	White circle with two dots		
U+2688	⚈	2600..26FF	Miscellaneous Symbols	Black circle with white dot right		
U+2689	⚉	2600..26FF	Miscellaneous Symbols	Black circle with two white dots		
U+268A	⚊	2600..26FF	Miscellaneous Symbols	Monogram for yang		
U+268B	⚋	2600..26FF	Miscellaneous Symbols	Monogram for yin		
U+268C	⚌	2600..26FF	Miscellaneous Symbols	Digram for greater yang		
U+268D	⚍	2600..26FF	Miscellaneous Symbols	Digram for lesser yin		
U+268E	⚎	2600..26FF	Miscellaneous Symbols	Digram for lesser yang		
U+268F	⚏	2600..26FF	Miscellaneous Symbols	Digram for greater yin		
U+2690	⚐	2600..26FF	Miscellaneous Symbols	White flag		
U+2691	⚑	2600..26FF	Miscellaneous Symbols	Black flag		
U+2692	⚒	2600..26FF	Miscellaneous Symbols	Hammer and pick		
U+2693	⚓	2600..26FF	Miscellaneous Symbols	Anchor		
U+2694	⚔	2600..26FF	Miscellaneous Symbols	Crossed swords		
U+2695	⚕	2600..26FF	Miscellaneous Symbols	Staff of aesculapius		
U+2696	⚖	2600..26FF	Miscellaneous Symbols	Scales		
U+2697	⚗	2600..26FF	Miscellaneous Symbols	Alembic		
U+2698	⚘	2600..26FF	Miscellaneous Symbols	Flower		
U+2699	⚙	2600..26FF	Miscellaneous Symbols	Gear		
U+269A	⚚	2600..26FF	Miscellaneous Symbols	Staff of hermes		
U+269B	⚛	2600..26FF	Miscellaneous Symbols	Atom symbol		
U+269C	⚜	2600..26FF	Miscellaneous Symbols	Fleur-de-lis		
U+269D	⚝	2600..26FF	Miscellaneous Symbols	Outlined white star		
U+269E	⚞	2600..26FF	Miscellaneous Symbols	Three lines converging right		
U+269F	⚟	2600..26FF	Miscellaneous Symbols	Three lines converging left		
