code_point	symbol	block	block_name	name	tab_completion	latex_code
U+27F0	⟰	27F0..27FF	Supplemental Arrows-A	Upwards quadruple arrow		
U+27F1	⟱	27F0..27FF	Supplemental Arrows-A	Downwards quadruple arrow		
U+27F2	⟲	27F0..27FF	Supplemental Arrows-A	Anticlockwise gapped circle arrow		
U+27F3	⟳	27F0..27FF	Supplemental Arrows-A	Clockwise gapped circle arrow		
U+27F4	⟴	27F0..27FF	Supplemental Arrows-A	Right arrow with circled plus		
U+27F5	⟵	27F0..27FF	Supplemental Arrows-A	Long leftwards arrow		
U+27F6	⟶	27F0..27FF	Supplemental Arrows-A	Long rightwards arrow		
U+27F7	⟷	27F0..27FF	Supplemental Arrows-A	Long left right arrow		
U+27F8	⟸	27F0..27FF	Supplemental Arrows-A	Long leftwards double arrow		
U+27F9	⟹	27F0..27FF	Supplemental Arrows-A	Long rightwards double arrow		
U+27FA	⟺	27F0..27FF	Supplemental Arrows-A	Long left right double arrow		
U+27FB	⟻	27F0..27FF	Supplemental Arrows-A	Long leftwards arrow from bar		
U+27FC	⟼	27F0..27FF	Supplemental Arrows-A	Long rightwards arrow from bar		
U+27FD	⟽	27F0..27FF	Supplemental Arrows-A	Long leftwards double arrow from bar		
U+27FE	⟾	27F0..27FF	Supplemental Arrows-A	Long rightwards double arrow from bar		
U+27FF	⟿	27F0..27FF	Supplemental Arrows-A	Long rightwards squiggle arrow		
