code_point	symbol	block	block_name	name	tab_completion	latex_code
2800	"""⠀"""	2800..28FF	Braille Patterns	Braille pattern blank		
2801	"""⠁"""	2800..28FF	Braille Patterns	Braille pattern dots-1		
2802	"""⠂"""	2800..28FF	Braille Patterns	Braille pattern dots-2		
2803	"""⠃"""	2800..28FF	Braille Patterns	Braille pattern dots-12		
2804	"""⠄"""	2800..28FF	Braille Patterns	Braille pattern dots-3		
2805	"""⠅"""	2800..28FF	Braille Patterns	Braille pattern dots-13		
2806	"""⠆"""	2800..28FF	Braille Patterns	Braille pattern dots-23		
2807	"""⠇"""	2800..28FF	Braille Patterns	Braille pattern dots-123		
2808	"""⠈"""	2800..28FF	Braille Patterns	Braille pattern dots-4		
2809	"""⠉"""	2800..28FF	Braille Patterns	Braille pattern dots-14		
280A	"""⠊"""	2800..28FF	Braille Patterns	Braille pattern dots-24		
280B	"""⠋"""	2800..28FF	Braille Patterns	Braille pattern dots-124		
280C	"""⠌"""	2800..28FF	Braille Patterns	Braille pattern dots-34		
280D	"""⠍"""	2800..28FF	Braille Patterns	Braille pattern dots-134		
280E	"""⠎"""	2800..28FF	Braille Patterns	Braille pattern dots-234		
280F	"""⠏"""	2800..28FF	Braille Patterns	Braille pattern dots-1234		
2810	"""⠐"""	2800..28FF	Braille Patterns	Braille pattern dots-5		
2811	"""⠑"""	2800..28FF	Braille Patterns	Braille pattern dots-15		
2812	"""⠒"""	2800..28FF	Braille Patterns	Braille pattern dots-25		
2813	"""⠓"""	2800..28FF	Braille Patterns	Braille pattern dots-125		
2814	"""⠔"""	2800..28FF	Braille Patterns	Braille pattern dots-35		
2815	"""⠕"""	2800..28FF	Braille Patterns	Braille pattern dots-135		
2816	"""⠖"""	2800..28FF	Braille Patterns	Braille pattern dots-235		
2817	"""⠗"""	2800..28FF	Braille Patterns	Braille pattern dots-1235		
2818	"""⠘"""	2800..28FF	Braille Patterns	Braille pattern dots-45		
2819	"""⠙"""	2800..28FF	Braille Patterns	Braille pattern dots-145		
281A	"""⠚"""	2800..28FF	Braille Patterns	Braille pattern dots-245		
281B	"""⠛"""	2800..28FF	Braille Patterns	Braille pattern dots-1245		
281C	"""⠜"""	2800..28FF	Braille Patterns	Braille pattern dots-345		
281D	"""⠝"""	2800..28FF	Braille Patterns	Braille pattern dots-1345		
281E	"""⠞"""	2800..28FF	Braille Patterns	Braille pattern dots-2345		
