code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2B00	⬀	2B00..2BFF	Miscellaneous Symbols and Arrows	North east white arrow		
U+2B01	⬁	2B00..2BFF	Miscellaneous Symbols and Arrows	North west white arrow		
U+2B02	⬂	2B00..2BFF	Miscellaneous Symbols and Arrows	South east white arrow		
U+2B03	⬃	2B00..2BFF	Miscellaneous Symbols and Arrows	South west white arrow		
U+2B04	⬄	2B00..2BFF	Miscellaneous Symbols and Arrows	Left right white arrow		
U+2B05	⬅	2B00..2BFF	Miscellaneous Symbols and Arrows	Leftwards black arrow		
U+2B06	⬆	2B00..2BFF	Miscellaneous Symbols and Arrows	Upwards black arrow		
U+2B07	⬇	2B00..2BFF	Miscellaneous Symbols and Arrows	Downwards black arrow		
U+2B08	⬈	2B00..2BFF	Miscellaneous Symbols and Arrows	North east black arrow		
U+2B09	⬉	2B00..2BFF	Miscellaneous Symbols and Arrows	North west black arrow		
U+2B0A	⬊	2B00..2BFF	Miscellaneous Symbols and Arrows	South east black arrow		
U+2B0B	⬋	2B00..2BFF	Miscellaneous Symbols and Arrows	South west black arrow		
U+2B0C	⬌	2B00..2BFF	Miscellaneous Symbols and Arrows	Left right black arrow		
U+2B0D	⬍	2B00..2BFF	Miscellaneous Symbols and Arrows	Up down black arrow		
U+2B0E	⬎	2B00..2BFF	Miscellaneous Symbols and Arrows	Rightwards arrow with tip downwards		
U+2B0F	⬏	2B00..2BFF	Miscellaneous Symbols and Arrows	Rightwards arrow with tip upwards		
U+2B10	⬐	2B00..2BFF	Miscellaneous Symbols and Arrows	Leftwards arrow with tip downwards		
U+2B11	⬑	2B00..2BFF	Miscellaneous Symbols and Arrows	Leftwards arrow with tip upwards		
U+2B12	⬒	2B00..2BFF	Miscellaneous Symbols and Arrows	Square with top half black		
U+2B13	⬓	2B00..2BFF	Miscellaneous Symbols and Arrows	Square with bottom half black		
U+2B14	⬔	2B00..2BFF	Miscellaneous Symbols and Arrows	Square with upper right diagonal half black		
U+2B15	⬕	2B00..2BFF	Miscellaneous Symbols and Arrows	Square with lower left diagonal half black		
U+2B16	⬖	2B00..2BFF	Miscellaneous Symbols and Arrows	Diamond with left half black		
U+2B17	⬗	2B00..2BFF	Miscellaneous Symbols and Arrows	Diamond with right half black		
U+2B18	⬘	2B00..2BFF	Miscellaneous Symbols and Arrows	Diamond with top half black		
U+2B19	⬙	2B00..2BFF	Miscellaneous Symbols and Arrows	Diamond with bottom half black		
U+2B1A	⬚	2B00..2BFF	Miscellaneous Symbols and Arrows	Dotted square		
U+2B1B	⬛	2B00..2BFF	Miscellaneous Symbols and Arrows	Black large square		
U+2B1C	⬜	2B00..2BFF	Miscellaneous Symbols and Arrows	White large square		
U+2B1D	⬝	2B00..2BFF	Miscellaneous Symbols and Arrows	Black very small square		
U+2B1E	⬞	2B00..2BFF	Miscellaneous Symbols and Arrows	White very small square		
U+2B1F	⬟	2B00..2BFF	Miscellaneous Symbols and Arrows	Black pentagon		
U+2B20	⬠	2B00..2BFF	Miscellaneous Symbols and Arrows	White pentagon		
U+2B21	⬡	2B00..2BFF	Miscellaneous Symbols and Arrows	White hexagon		
U+2B22	⬢	2B00..2BFF	Miscellaneous Symbols and Arrows	Black hexagon		
U+2B23	⬣	2B00..2BFF	Miscellaneous Symbols and Arrows	Horizontal black hexagon		
U+2B24	⬤	2B00..2BFF	Miscellaneous Symbols and Arrows	Black large circle		
U+2B25	⬥	2B00..2BFF	Miscellaneous Symbols and Arrows	Black medium diamond		
U+2B26	⬦	2B00..2BFF	Miscellaneous Symbols and Arrows	White medium diamond		
