code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2C00	Ⰰ	2C00..2C5F	Glagolitic	Glagolitic capital letter azu		
U+2C01	Ⰱ	2C00..2C5F	Glagolitic	Glagolitic capital letter buky		
U+2C02	Ⰲ	2C00..2C5F	Glagolitic	Glagolitic capital letter vede		
U+2C03	Ⰳ	2C00..2C5F	Glagolitic	Glagolitic capital letter glagoli		
U+2C04	Ⰴ	2C00..2C5F	Glagolitic	Glagolitic capital letter dobro		
U+2C05	Ⰵ	2C00..2C5F	Glagolitic	Glagolitic capital letter yestu		
U+2C06	Ⰶ	2C00..2C5F	Glagolitic	Glagolitic capital letter zhivete		
U+2C07	Ⰷ	2C00..2C5F	Glagolitic	Glagolitic capital letter dzelo		
U+2C08	Ⰸ	2C00..2C5F	Glagolitic	Glagolitic capital letter zemlja		
U+2C09	Ⰹ	2C00..2C5F	Glagolitic	Glagolitic capital letter izhe		
U+2C0A	Ⰺ	2C00..2C5F	Glagolitic	Glagolitic capital letter initial izhe		
U+2C0B	Ⰻ	2C00..2C5F	Glagolitic	Glagolitic capital letter i		
U+2C0C	Ⰼ	2C00..2C5F	Glagolitic	Glagolitic capital letter djervi		
U+2C0D	Ⰽ	2C00..2C5F	Glagolitic	Glagolitic capital letter kako		
U+2C0E	Ⰾ	2C00..2C5F	Glagolitic	Glagolitic capital letter ljudije		
U+2C0F	Ⰿ	2C00..2C5F	Glagolitic	Glagolitic capital letter myslite		
U+2C10	Ⱀ	2C00..2C5F	Glagolitic	Glagolitic capital letter nashi		
U+2C11	Ⱁ	2C00..2C5F	Glagolitic	Glagolitic capital letter onu		
U+2C12	Ⱂ	2C00..2C5F	Glagolitic	Glagolitic capital letter pokoji		
U+2C13	Ⱃ	2C00..2C5F	Glagolitic	Glagolitic capital letter ritsi		
U+2C14	Ⱄ	2C00..2C5F	Glagolitic	Glagolitic capital letter slovo		
U+2C15	Ⱅ	2C00..2C5F	Glagolitic	Glagolitic capital letter tvrido		
U+2C16	Ⱆ	2C00..2C5F	Glagolitic	Glagolitic capital letter uku		
U+2C17	Ⱇ	2C00..2C5F	Glagolitic	Glagolitic capital letter fritu		
U+2C18	Ⱈ	2C00..2C5F	Glagolitic	Glagolitic capital letter heru		
U+2C19	Ⱉ	2C00..2C5F	Glagolitic	Glagolitic capital letter otu		
U+2C1A	Ⱊ	2C00..2C5F	Glagolitic	Glagolitic capital letter pe		
U+2C1B	Ⱋ	2C00..2C5F	Glagolitic	Glagolitic capital letter shta		
U+2C1C	Ⱌ	2C00..2C5F	Glagolitic	Glagolitic capital letter tsi		
