code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2D00	ⴀ	2D00..2D2F	Georgian Supplement	Georgian small letter an		
U+2D01	ⴁ	2D00..2D2F	Georgian Supplement	Georgian small letter ban		
U+2D02	ⴂ	2D00..2D2F	Georgian Supplement	Georgian small letter gan		
U+2D03	ⴃ	2D00..2D2F	Georgian Supplement	Georgian small letter don		
U+2D04	ⴄ	2D00..2D2F	Georgian Supplement	Georgian small letter en		
U+2D05	ⴅ	2D00..2D2F	Georgian Supplement	Georgian small letter vin		
U+2D06	ⴆ	2D00..2D2F	Georgian Supplement	Georgian small letter zen		
U+2D07	ⴇ	2D00..2D2F	Georgian Supplement	Georgian small letter tan		
U+2D08	ⴈ	2D00..2D2F	Georgian Supplement	Georgian small letter in		
U+2D09	ⴉ	2D00..2D2F	Georgian Supplement	Georgian small letter kan		
U+2D0A	ⴊ	2D00..2D2F	Georgian Supplement	Georgian small letter las		
U+2D0B	ⴋ	2D00..2D2F	Georgian Supplement	Georgian small letter man		
U+2D0C	ⴌ	2D00..2D2F	Georgian Supplement	Georgian small letter nar		
U+2D0D	ⴍ	2D00..2D2F	Georgian Supplement	Georgian small letter on		
U+2D0E	ⴎ	2D00..2D2F	Georgian Supplement	Georgian small letter par		
U+2D0F	ⴏ	2D00..2D2F	Georgian Supplement	Georgian small letter zhar		
U+2D10	ⴐ	2D00..2D2F	Georgian Supplement	Georgian small letter rae		
U+2D11	ⴑ	2D00..2D2F	Georgian Supplement	Georgian small letter san		
U+2D12	ⴒ	2D00..2D2F	Georgian Supplement	Georgian small letter tar		
U+2D13	ⴓ	2D00..2D2F	Georgian Supplement	Georgian small letter un		
U+2D14	ⴔ	2D00..2D2F	Georgian Supplement	Georgian small letter phar		
U+2D15	ⴕ	2D00..2D2F	Georgian Supplement	Georgian small letter khar		
U+2D16	ⴖ	2D00..2D2F	Georgian Supplement	Georgian small letter ghan		
U+2D17	ⴗ	2D00..2D2F	Georgian Supplement	Georgian small letter qar		
U+2D18	ⴘ	2D00..2D2F	Georgian Supplement	Georgian small letter shin		
U+2D19	ⴙ	2D00..2D2F	Georgian Supplement	Georgian small letter chin		
U+2D1A	ⴚ	2D00..2D2F	Georgian Supplement	Georgian small letter can		
U+2D1B	ⴛ	2D00..2D2F	Georgian Supplement	Georgian small letter jil		
U+2D1C	ⴜ	2D00..2D2F	Georgian Supplement	Georgian small letter cil		
U+2D1D	ⴝ	2D00..2D2F	Georgian Supplement	Georgian small letter char		
U+2D1E	ⴞ	2D00..2D2F	Georgian Supplement	Georgian small letter xan		
U+2D1F	ⴟ	2D00..2D2F	Georgian Supplement	Georgian small letter jhan		
U+2D20	ⴠ	2D00..2D2F	Georgian Supplement	Georgian small letter hae		
U+2D21	ⴡ	2D00..2D2F	Georgian Supplement	Georgian small letter he		
U+2D22	ⴢ	2D00..2D2F	Georgian Supplement	Georgian small letter hie		
U+2D23	ⴣ	2D00..2D2F	Georgian Supplement	Georgian small letter we		
U+2D24	ⴤ	2D00..2D2F	Georgian Supplement	Georgian small letter har		
U+2D25	ⴥ	2D00..2D2F	Georgian Supplement	Georgian small letter hoe		
U+2D27	ⴧ	2D00..2D2F	Georgian Supplement	Georgian small letter yn		
U+2D2D	ⴭ	2D00..2D2F	Georgian Supplement	Georgian small letter aen		
