code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2D30	ⴰ	2D30..2D7F	Tifinagh	Tifinagh letter ya		
U+2D31	ⴱ	2D30..2D7F	Tifinagh	Tifinagh letter yab		
U+2D32	ⴲ	2D30..2D7F	Tifinagh	Tifinagh letter yabh		
U+2D33	ⴳ	2D30..2D7F	Tifinagh	Tifinagh letter yag		
U+2D34	ⴴ	2D30..2D7F	Tifinagh	Tifinagh letter yaghh		
U+2D35	ⴵ	2D30..2D7F	Tifinagh	Tifinagh letter berber academy yaj		
U+2D36	ⴶ	2D30..2D7F	Tifinagh	Tifinagh letter yaj		
U+2D37	ⴷ	2D30..2D7F	Tifinagh	Tifinagh letter yad		
U+2D38	ⴸ	2D30..2D7F	Tifinagh	Tifinagh letter yadh		
U+2D39	ⴹ	2D30..2D7F	Tifinagh	Tifinagh letter yadd		
U+2D3A	ⴺ	2D30..2D7F	Tifinagh	Tifinagh letter yaddh		
U+2D3B	ⴻ	2D30..2D7F	Tifinagh	Tifinagh letter yey		
U+2D3C	ⴼ	2D30..2D7F	Tifinagh	Tifinagh letter yaf		
U+2D3D	ⴽ	2D30..2D7F	Tifinagh	Tifinagh letter yak		
U+2D3E	ⴾ	2D30..2D7F	Tifinagh	Tifinagh letter tuareg yak		
U+2D3F	ⴿ	2D30..2D7F	Tifinagh	Tifinagh letter yakhh		
U+2D40	ⵀ	2D30..2D7F	Tifinagh	Tifinagh letter yah		
U+2D41	ⵁ	2D30..2D7F	Tifinagh	Tifinagh letter berber academy yah		
U+2D42	ⵂ	2D30..2D7F	Tifinagh	Tifinagh letter tuareg yah		
U+2D43	ⵃ	2D30..2D7F	Tifinagh	Tifinagh letter yahh		
U+2D44	ⵄ	2D30..2D7F	Tifinagh	Tifinagh letter yaa		
U+2D45	ⵅ	2D30..2D7F	Tifinagh	Tifinagh letter yakh		
U+2D46	ⵆ	2D30..2D7F	Tifinagh	Tifinagh letter tuareg yakh		
U+2D47	ⵇ	2D30..2D7F	Tifinagh	Tifinagh letter yaq		
U+2D48	ⵈ	2D30..2D7F	Tifinagh	Tifinagh letter tuareg yaq		
U+2D49	ⵉ	2D30..2D7F	Tifinagh	Tifinagh letter yi		
U+2D4A	ⵊ	2D30..2D7F	Tifinagh	Tifinagh letter yazh		
U+2D4B	ⵋ	2D30..2D7F	Tifinagh	Tifinagh letter ahaggar yazh		
U+2D4C	ⵌ	2D30..2D7F	Tifinagh	Tifinagh letter tuareg yazh		
U+2D4D	ⵍ	2D30..2D7F	Tifinagh	Tifinagh letter yal		
U+2D4E	ⵎ	2D30..2D7F	Tifinagh	Tifinagh letter yam		
U+2D4F	ⵏ	2D30..2D7F	Tifinagh	Tifinagh letter yan		
U+2D50	ⵐ	2D30..2D7F	Tifinagh	Tifinagh letter tuareg yagn		
U+2D51	ⵑ	2D30..2D7F	Tifinagh	Tifinagh letter tuareg yang		
U+2D52	ⵒ	2D30..2D7F	Tifinagh	Tifinagh letter yap		
U+2D53	ⵓ	2D30..2D7F	Tifinagh	Tifinagh letter yu		
U+2D54	ⵔ	2D30..2D7F	Tifinagh	Tifinagh letter yar		
U+2D55	ⵕ	2D30..2D7F	Tifinagh	Tifinagh letter yarr		
U+2D56	ⵖ	2D30..2D7F	Tifinagh	Tifinagh letter yagh		
U+2D57	ⵗ	2D30..2D7F	Tifinagh	Tifinagh letter tuareg yagh		
U+2D58	ⵘ	2D30..2D7F	Tifinagh	Tifinagh letter ayer yagh		
U+2D59	ⵙ	2D30..2D7F	Tifinagh	Tifinagh letter yas		
U+2D5A	ⵚ	2D30..2D7F	Tifinagh	Tifinagh letter yass		
U+2D5B	ⵛ	2D30..2D7F	Tifinagh	Tifinagh letter yash		
U+2D5C	ⵜ	2D30..2D7F	Tifinagh	Tifinagh letter yat		
U+2D5D	ⵝ	2D30..2D7F	Tifinagh	Tifinagh letter yath		
U+2D5E	ⵞ	2D30..2D7F	Tifinagh	Tifinagh letter yach		
U+2D5F	ⵟ	2D30..2D7F	Tifinagh	Tifinagh letter yatt		
U+2D60	ⵠ	2D30..2D7F	Tifinagh	Tifinagh letter yav		
U+2D61	ⵡ	2D30..2D7F	Tifinagh	Tifinagh letter yaw		
U+2D62	ⵢ	2D30..2D7F	Tifinagh	Tifinagh letter yay		
U+2D63	ⵣ	2D30..2D7F	Tifinagh	Tifinagh letter yaz		
U+2D64	ⵤ	2D30..2D7F	Tifinagh	Tifinagh letter tawellemet yaz		
U+2D65	ⵥ	2D30..2D7F	Tifinagh	Tifinagh letter yazz		
U+2D66	ⵦ	2D30..2D7F	Tifinagh	Tifinagh letter ye		
U+2D67	ⵧ	2D30..2D7F	Tifinagh	Tifinagh letter yo		
U+2D6F	ⵯ	2D30..2D7F	Tifinagh	Tifinagh modifier letter labialization mark		
U+2D70	⵰	2D30..2D7F	Tifinagh	Tifinagh separator mark		
U+2D7F	⵿	2D30..2D7F	Tifinagh	Tifinagh consonant joiner		
