code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2D80	ⶀ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable loa		
U+2D81	ⶁ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable moa		
U+2D82	ⶂ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable roa		
U+2D83	ⶃ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable soa		
U+2D84	ⶄ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable shoa		
U+2D85	ⶅ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable boa		
U+2D86	ⶆ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable toa		
U+2D87	ⶇ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable coa		
U+2D88	ⶈ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable noa		
U+2D89	ⶉ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable nyoa		
U+2D8A	ⶊ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable glottal oa		
U+2D8B	ⶋ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable zoa		
U+2D8C	ⶌ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable doa		
U+2D8D	ⶍ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ddoa		
U+2D8E	ⶎ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable joa		
U+2D8F	ⶏ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable thoa		
U+2D90	ⶐ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable choa		
U+2D91	ⶑ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable phoa		
U+2D92	ⶒ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable poa		
U+2D93	ⶓ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ggwa		
U+2D94	ⶔ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ggwi		
U+2D95	ⶕ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ggwee		
U+2D96	ⶖ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ggwe		
U+2DA0	ⶠ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ssa		
U+2DA1	ⶡ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ssu		
U+2DA2	ⶢ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ssi		
U+2DA3	ⶣ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ssaa		
U+2DA4	ⶤ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ssee		
U+2DA5	ⶥ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable sse		
U+2DA6	ⶦ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable sso		
U+2DA8	ⶨ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cca		
U+2DA9	ⶩ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ccu		
U+2DAA	ⶪ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cci		
U+2DAB	ⶫ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ccaa		
U+2DAC	ⶬ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ccee		
U+2DAD	ⶭ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cce		
U+2DAE	ⶮ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cco		
U+2DB0	ⶰ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable zza		
U+2DB1	ⶱ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable zzu		
U+2DB2	ⶲ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable zzi		
U+2DB3	ⶳ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable zzaa		
U+2DB4	ⶴ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable zzee		
U+2DB5	ⶵ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable zze		
U+2DB6	ⶶ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable zzo		
U+2DB8	ⶸ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ccha		
U+2DB9	ⶹ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cchu		
U+2DBA	ⶺ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cchi		
U+2DBB	ⶻ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cchaa		
U+2DBC	ⶼ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cchee		
U+2DBD	ⶽ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable cche		
U+2DBE	ⶾ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable ccho		
U+2DC0	ⷀ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable qya		
U+2DC1	ⷁ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable qyu		
U+2DC2	ⷂ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable qyi		
U+2DC3	ⷃ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable qyaa		
U+2DC4	ⷄ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable qyee		
U+2DC5	ⷅ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable qye		
U+2DC6	ⷆ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable qyo		
U+2DC8	ⷈ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable kya		
U+2DC9	ⷉ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable kyu		
U+2DCA	ⷊ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable kyi		
U+2DCB	ⷋ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable kyaa		
U+2DCC	ⷌ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable kyee		
U+2DCD	ⷍ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable kye		
U+2DCE	ⷎ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable kyo		
U+2DD0	ⷐ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable xya		
U+2DD1	ⷑ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable xyu		
U+2DD2	ⷒ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable xyi		
U+2DD3	ⷓ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable xyaa		
U+2DD4	ⷔ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable xyee		
U+2DD5	ⷕ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable xye		
U+2DD6	ⷖ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable xyo		
U+2DD8	ⷘ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable gya		
U+2DD9	ⷙ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable gyu		
U+2DDA	ⷚ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable gyi		
U+2DDB	ⷛ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable gyaa		
U+2DDC	ⷜ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable gyee		
U+2DDD	ⷝ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable gye		
U+2DDE	ⷞ	2D80..2DDF	Ethiopic Extended	Ethiopic syllable gyo		
