code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2F00	⼀	2F00..2FDF	Kangxi Radicals	Kangxi radical one		
U+2F01	⼁	2F00..2FDF	Kangxi Radicals	Kangxi radical line		
U+2F02	⼂	2F00..2FDF	Kangxi Radicals	Kangxi radical dot		
U+2F03	⼃	2F00..2FDF	Kangxi Radicals	Kangxi radical slash		
U+2F04	⼄	2F00..2FDF	Kangxi Radicals	Kangxi radical second		
U+2F05	⼅	2F00..2FDF	Kangxi Radicals	Kangxi radical hook		
U+2F06	⼆	2F00..2FDF	Kangxi Radicals	Kangxi radical two		
U+2F07	⼇	2F00..2FDF	Kangxi Radicals	Kangxi radical lid		
U+2F08	⼈	2F00..2FDF	Kangxi Radicals	Kangxi radical man		
U+2F09	⼉	2F00..2FDF	Kangxi Radicals	Kangxi radical legs		
U+2F0A	⼊	2F00..2FDF	Kangxi Radicals	Kangxi radical enter		
U+2F0B	⼋	2F00..2FDF	Kangxi Radicals	Kangxi radical eight		
U+2F0C	⼌	2F00..2FDF	Kangxi Radicals	Kangxi radical down box		
U+2F0D	⼍	2F00..2FDF	Kangxi Radicals	Kangxi radical cover		
U+2F0E	⼎	2F00..2FDF	Kangxi Radicals	Kangxi radical ice		
U+2F0F	⼏	2F00..2FDF	Kangxi Radicals	Kangxi radical table		
U+2F10	⼐	2F00..2FDF	Kangxi Radicals	Kangxi radical open box		
U+2F11	⼑	2F00..2FDF	Kangxi Radicals	Kangxi radical knife		
U+2F12	⼒	2F00..2FDF	Kangxi Radicals	Kangxi radical power		
U+2F13	⼓	2F00..2FDF	Kangxi Radicals	Kangxi radical wrap		
U+2F14	⼔	2F00..2FDF	Kangxi Radicals	Kangxi radical spoon		
U+2F15	⼕	2F00..2FDF	Kangxi Radicals	Kangxi radical right open box		
U+2F16	⼖	2F00..2FDF	Kangxi Radicals	Kangxi radical hiding enclosure		
U+2F17	⼗	2F00..2FDF	Kangxi Radicals	Kangxi radical ten		
U+2F18	⼘	2F00..2FDF	Kangxi Radicals	Kangxi radical divination		
U+2F19	⼙	2F00..2FDF	Kangxi Radicals	Kangxi radical seal		
U+2F1A	⼚	2F00..2FDF	Kangxi Radicals	Kangxi radical cliff		
U+2F1B	⼛	2F00..2FDF	Kangxi Radicals	Kangxi radical private		
U+2F1C	⼜	2F00..2FDF	Kangxi Radicals	Kangxi radical again		
U+2F1D	⼝	2F00..2FDF	Kangxi Radicals	Kangxi radical mouth		
U+2F1E	⼞	2F00..2FDF	Kangxi Radicals	Kangxi radical enclosure		
U+2F1F	⼟	2F00..2FDF	Kangxi Radicals	Kangxi radical earth		
U+2F20	⼠	2F00..2FDF	Kangxi Radicals	Kangxi radical scholar		
U+2F21	⼡	2F00..2FDF	Kangxi Radicals	Kangxi radical go		
U+2F22	⼢	2F00..2FDF	Kangxi Radicals	Kangxi radical go slowly		
U+2F23	⼣	2F00..2FDF	Kangxi Radicals	Kangxi radical evening		
U+2F24	⼤	2F00..2FDF	Kangxi Radicals	Kangxi radical big		
U+2F25	⼥	2F00..2FDF	Kangxi Radicals	Kangxi radical woman		
U+2F26	⼦	2F00..2FDF	Kangxi Radicals	Kangxi radical child		
U+2F27	⼧	2F00..2FDF	Kangxi Radicals	Kangxi radical roof		
U+2F28	⼨	2F00..2FDF	Kangxi Radicals	Kangxi radical inch		
U+2F29	⼩	2F00..2FDF	Kangxi Radicals	Kangxi radical small		
U+2F2A	⼪	2F00..2FDF	Kangxi Radicals	Kangxi radical lame		
U+2F2B	⼫	2F00..2FDF	Kangxi Radicals	Kangxi radical corpse		
U+2F2C	⼬	2F00..2FDF	Kangxi Radicals	Kangxi radical sprout		
U+2F2D	⼭	2F00..2FDF	Kangxi Radicals	Kangxi radical mountain		
U+2F2E	⼮	2F00..2FDF	Kangxi Radicals	Kangxi radical river		
U+2F2F	⼯	2F00..2FDF	Kangxi Radicals	Kangxi radical work		
U+2F30	⼰	2F00..2FDF	Kangxi Radicals	Kangxi radical oneself		
U+2F31	⼱	2F00..2FDF	Kangxi Radicals	Kangxi radical turban		
U+2F32	⼲	2F00..2FDF	Kangxi Radicals	Kangxi radical dry		
U+2F33	⼳	2F00..2FDF	Kangxi Radicals	Kangxi radical short thread		
