code_point	symbol	block	block_name	name	tab_completion	latex_code
U+2FF0	⿰	2FF0..2FFF	Ideographic Description Characters	Ideographic description character left to right		
U+2FF1	⿱	2FF0..2FFF	Ideographic Description Characters	Ideographic description character above to below		
U+2FF2	⿲	2FF0..2FFF	Ideographic Description Characters	Ideographic description character left to middle and right		
U+2FF3	⿳	2FF0..2FFF	Ideographic Description Characters	Ideographic description character above to middle and below		
U+2FF4	⿴	2FF0..2FFF	Ideographic Description Characters	Ideographic description character full surround		
U+2FF5	⿵	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from above		
U+2FF6	⿶	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from below		
U+2FF7	⿷	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from left		
U+2FF8	⿸	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from upper left		
U+2FF9	⿹	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from upper right		
U+2FFA	⿺	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from lower left		
U+2FFB	⿻	2FF0..2FFF	Ideographic Description Characters	Ideographic description character overlaid		
U+2FFC	⿼	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from right		
U+2FFD	⿽	2FF0..2FFF	Ideographic Description Characters	Ideographic description character surround from lower right		
U+2FFE	⿾	2FF0..2FFF	Ideographic Description Characters	Ideographic description character horizontal reflection		
U+2FFF	⿿	2FF0..2FFF	Ideographic Description Characters	Ideographic description character rotation		
