code_point	symbol	block	block_name	name	tab_completion	latex_code
3105	"""ㄅ"""	3100..312F	Bopomofo	Bopomofo letter b		
3106	"""ㄆ"""	3100..312F	Bopomofo	Bopomofo letter p		
3107	"""ㄇ"""	3100..312F	Bopomofo	Bopomofo letter m		
3108	"""ㄈ"""	3100..312F	Bopomofo	Bopomofo letter f		
3109	"""ㄉ"""	3100..312F	Bopomofo	Bopomofo letter d		
310A	"""ㄊ"""	3100..312F	Bopomofo	Bopomofo letter t		
310B	"""ㄋ"""	3100..312F	Bopomofo	Bopomofo letter n		
310C	"""ㄌ"""	3100..312F	Bopomofo	Bopomofo letter l		
310D	"""ㄍ"""	3100..312F	Bopomofo	Bopomofo letter g		
310E	"""ㄎ"""	3100..312F	Bopomofo	Bopomofo letter k		
310F	"""ㄏ"""	3100..312F	Bopomofo	Bopomofo letter h		
3110	"""ㄐ"""	3100..312F	Bopomofo	Bopomofo letter j		
3111	"""ㄑ"""	3100..312F	Bopomofo	Bopomofo letter q		
3112	"""ㄒ"""	3100..312F	Bopomofo	Bopomofo letter x		
3113	"""ㄓ"""	3100..312F	Bopomofo	Bopomofo letter zh		
3114	"""ㄔ"""	3100..312F	Bopomofo	Bopomofo letter ch		
3115	"""ㄕ"""	3100..312F	Bopomofo	Bopomofo letter sh		
3116	"""ㄖ"""	3100..312F	Bopomofo	Bopomofo letter r		
3117	"""ㄗ"""	3100..312F	Bopomofo	Bopomofo letter z		
3118	"""ㄘ"""	3100..312F	Bopomofo	Bopomofo letter c		
3119	"""ㄙ"""	3100..312F	Bopomofo	Bopomofo letter s		
311A	"""ㄚ"""	3100..312F	Bopomofo	Bopomofo letter a		
311B	"""ㄛ"""	3100..312F	Bopomofo	Bopomofo letter o		
311C	"""ㄜ"""	3100..312F	Bopomofo	Bopomofo letter e		
311D	"""ㄝ"""	3100..312F	Bopomofo	Bopomofo letter eh		
311E	"""ㄞ"""	3100..312F	Bopomofo	Bopomofo letter ai		
311F	"""ㄟ"""	3100..312F	Bopomofo	Bopomofo letter ei		
3120	"""ㄠ"""	3100..312F	Bopomofo	Bopomofo letter au		
3121	"""ㄡ"""	3100..312F	Bopomofo	Bopomofo letter ou		
3122	"""ㄢ"""	3100..312F	Bopomofo	Bopomofo letter an		
3123	"""ㄣ"""	3100..312F	Bopomofo	Bopomofo letter en		
3124	"""ㄤ"""	3100..312F	Bopomofo	Bopomofo letter ang		
3125	"""ㄥ"""	3100..312F	Bopomofo	Bopomofo letter eng		
3126	"""ㄦ"""	3100..312F	Bopomofo	Bopomofo letter er		
3127	"""ㄧ"""	3100..312F	Bopomofo	Bopomofo letter i		
3128	"""ㄨ"""	3100..312F	Bopomofo	Bopomofo letter u		
3129	"""ㄩ"""	3100..312F	Bopomofo	Bopomofo letter iu		
312A	"""ㄪ"""	3100..312F	Bopomofo	Bopomofo letter v		
312B	"""ㄫ"""	3100..312F	Bopomofo	Bopomofo letter ng		
312C	"""ㄬ"""	3100..312F	Bopomofo	Bopomofo letter gn		
312D	"""ㄭ"""	3100..312F	Bopomofo	Bopomofo letter ih		
312E	"""ㄮ"""	3100..312F	Bopomofo	Bopomofo letter o with dot above		
312F	"""ㄯ"""	3100..312F	Bopomofo	Bopomofo letter nn		
