code_point	symbol	block	block_name	name	tab_completion	latex_code
31C0	"""㇀"""	31C0..31EF	CJK Strokes	Cjk stroke t		
31C1	"""㇁"""	31C0..31EF	CJK Strokes	Cjk stroke wg		
31C2	"""㇂"""	31C0..31EF	CJK Strokes	Cjk stroke xg		
31C3	"""㇃"""	31C0..31EF	CJK Strokes	Cjk stroke bxg		
31C4	"""㇄"""	31C0..31EF	CJK Strokes	Cjk stroke sw		
31C5	"""㇅"""	31C0..31EF	CJK Strokes	Cjk stroke hzz		
31C6	"""㇆"""	31C0..31EF	CJK Strokes	Cjk stroke hzg		
31C7	"""㇇"""	31C0..31EF	CJK Strokes	Cjk stroke hp		
31C8	"""㇈"""	31C0..31EF	CJK Strokes	Cjk stroke hzwg		
31C9	"""㇉"""	31C0..31EF	CJK Strokes	Cjk stroke szwg		
31CA	"""㇊"""	31C0..31EF	CJK Strokes	Cjk stroke hzt		
31CB	"""㇋"""	31C0..31EF	CJK Strokes	Cjk stroke hzzp		
31CC	"""㇌"""	31C0..31EF	CJK Strokes	Cjk stroke hpwg		
31CD	"""㇍"""	31C0..31EF	CJK Strokes	Cjk stroke hzw		
31CE	"""㇎"""	31C0..31EF	CJK Strokes	Cjk stroke hzzz		
31CF	"""㇏"""	31C0..31EF	CJK Strokes	Cjk stroke n		
31D0	"""㇐"""	31C0..31EF	CJK Strokes	Cjk stroke h		
31D1	"""㇑"""	31C0..31EF	CJK Strokes	Cjk stroke s		
31D2	"""㇒"""	31C0..31EF	CJK Strokes	Cjk stroke p		
31D3	"""㇓"""	31C0..31EF	CJK Strokes	Cjk stroke sp		
31D4	"""㇔"""	31C0..31EF	CJK Strokes	Cjk stroke d		
31D5	"""㇕"""	31C0..31EF	CJK Strokes	Cjk stroke hz		
31D6	"""㇖"""	31C0..31EF	CJK Strokes	Cjk stroke hg		
31D7	"""㇗"""	31C0..31EF	CJK Strokes	Cjk stroke sz		
31D8	"""㇘"""	31C0..31EF	CJK Strokes	Cjk stroke swz		
31D9	"""㇙"""	31C0..31EF	CJK Strokes	Cjk stroke st		
31DA	"""㇚"""	31C0..31EF	CJK Strokes	Cjk stroke sg		
31DB	"""㇛"""	31C0..31EF	CJK Strokes	Cjk stroke pd		
31DC	"""㇜"""	31C0..31EF	CJK Strokes	Cjk stroke pz		
31DD	"""㇝"""	31C0..31EF	CJK Strokes	Cjk stroke tn		
31DE	"""㇞"""	31C0..31EF	CJK Strokes	Cjk stroke szz		
31DF	"""㇟"""	31C0..31EF	CJK Strokes	Cjk stroke swg		
31E0	"""㇠"""	31C0..31EF	CJK Strokes	Cjk stroke hxwg		
31E1	"""㇡"""	31C0..31EF	CJK Strokes	Cjk stroke hzzzg		
31E2	"""㇢"""	31C0..31EF	CJK Strokes	Cjk stroke pg		
31E3	"""㇣"""	31C0..31EF	CJK Strokes	Cjk stroke q		
31EF	"""㇯"""	31C0..31EF	CJK Strokes	Ideographic description character subtraction		
