code_point	symbol	block	block_name	name	tab_completion	latex_code
U+3200	㈀	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul kiyeok		
U+3201	㈁	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul nieun		
U+3202	㈂	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul tikeut		
U+3203	㈃	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul rieul		
U+3204	㈄	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul mieum		
U+3205	㈅	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul pieup		
U+3206	㈆	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul sios		
U+3207	㈇	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul ieung		
U+3208	㈈	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul cieuc		
U+3209	㈉	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul chieuch		
U+320A	㈊	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul khieukh		
U+320B	㈋	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul thieuth		
U+320C	㈌	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul phieuph		
U+320D	㈍	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul hieuh		
U+320E	㈎	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul kiyeok a		
U+320F	㈏	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul nieun a		
U+3210	㈐	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul tikeut a		
U+3211	㈑	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul rieul a		
U+3212	㈒	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul mieum a		
U+3213	㈓	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul pieup a		
U+3214	㈔	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul sios a		
U+3215	㈕	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul ieung a		
U+3216	㈖	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul cieuc a		
U+3217	㈗	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul chieuch a		
U+3218	㈘	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul khieukh a		
U+3219	㈙	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul thieuth a		
U+321A	㈚	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul phieuph a		
U+321B	㈛	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul hieuh a		
U+321C	㈜	3200..32FF	Enclosed CJK Letters and Months	Parenthesized hangul cieuc u		
U+321D	㈝	3200..32FF	Enclosed CJK Letters and Months	Parenthesized korean character ojeon		
U+321E	㈞	3200..32FF	Enclosed CJK Letters and Months	Parenthesized korean character o hu		
U+3220	㈠	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph one		
U+3221	㈡	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph two		
U+3222	㈢	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph three		
U+3223	㈣	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph four		
U+3224	㈤	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph five		
U+3225	㈥	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph six		
U+3226	㈦	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph seven		
U+3227	㈧	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph eight		
U+3228	㈨	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph nine		
U+3229	㈩	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph ten		
U+322A	㈪	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph moon		
U+322B	㈫	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph fire		
U+322C	㈬	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph water		
U+322D	㈭	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph wood		
U+322E	㈮	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph metal		
U+322F	㈯	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph earth		
U+3230	㈰	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph sun		
U+3231	㈱	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph stock		
U+3232	㈲	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph have		
U+3233	㈳	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph society		
U+3234	㈴	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph name		
U+3235	㈵	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph special		
U+3236	㈶	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph financial		
U+3237	㈷	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph congratulation		
U+3238	㈸	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph labor		
U+3239	㈹	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph represent		
U+323A	㈺	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph call		
U+323B	㈻	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph study		
U+323C	㈼	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph supervise		
U+323D	㈽	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph enterprise		
U+323E	㈾	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph resource		
U+323F	㈿	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph alliance		
U+3240	㉀	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph festival		
U+3241	㉁	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph rest		
U+3242	㉂	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph self		
U+3243	㉃	3200..32FF	Enclosed CJK Letters and Months	Parenthesized ideograph reach		
U+3244	㉄	3200..32FF	Enclosed CJK Letters and Months	Circled ideograph question		
U+3245	㉅	3200..32FF	Enclosed CJK Letters and Months	Circled ideograph kindergarten		
U+3246	㉆	3200..32FF	Enclosed CJK Letters and Months	Circled ideograph school		
U+3247	㉇	3200..32FF	Enclosed CJK Letters and Months	Circled ideograph koto		
U+3248	㉈	3200..32FF	Enclosed CJK Letters and Months	Circled number ten on black square		
U+3249	㉉	3200..32FF	Enclosed CJK Letters and Months	Circled number twenty on black square		
U+324A	㉊	3200..32FF	Enclosed CJK Letters and Months	Circled number thirty on black square		
U+324B	㉋	3200..32FF	Enclosed CJK Letters and Months	Circled number forty on black square		
U+324C	㉌	3200..32FF	Enclosed CJK Letters and Months	Circled number fifty on black square		
U+324D	㉍	3200..32FF	Enclosed CJK Letters and Months	Circled number sixty on black square		
U+324E	㉎	3200..32FF	Enclosed CJK Letters and Months	Circled number seventy on black square		
U+324F	㉏	3200..32FF	Enclosed CJK Letters and Months	Circled number eighty on black square		
U+3250	㉐	3200..32FF	Enclosed CJK Letters and Months	Partnership sign		
U+3251	㉑	3200..32FF	Enclosed CJK Letters and Months	Circled number twenty one		
U+3252	㉒	3200..32FF	Enclosed CJK Letters and Months	Circled number twenty two		
U+3253	㉓	3200..32FF	Enclosed CJK Letters and Months	Circled number twenty three		
U+3254	㉔	3200..32FF	Enclosed CJK Letters and Months	Circled number twenty four		
U+3255	㉕	3200..32FF	Enclosed CJK Letters and Months	Circled number twenty five		
U+3256	㉖	3200..32FF	Enclosed CJK Letters and Months	Circled number twenty six		
U+3257	㉗	3200..32FF	Enclosed CJK Letters and Months	Circled number twenty seven		
U+3258	㉘	3200..32FF	Enclosed CJK Letters and Months	Circled number twenty eight		
U+3259	㉙	3200..32FF	Enclosed CJK Letters and Months	Circled number twenty nine		
U+325A	㉚	3200..32FF	Enclosed CJK Letters and Months	Circled number thirty		
U+325B	㉛	3200..32FF	Enclosed CJK Letters and Months	Circled number thirty one		
U+325C	㉜	3200..32FF	Enclosed CJK Letters and Months	Circled number thirty two		
U+325D	㉝	3200..32FF	Enclosed CJK Letters and Months	Circled number thirty three		
U+325E	㉞	3200..32FF	Enclosed CJK Letters and Months	Circled number thirty four		
U+325F	㉟	3200..32FF	Enclosed CJK Letters and Months	Circled number thirty five		
U+3260	㉠	3200..32FF	Enclosed CJK Letters and Months	Circled hangul kiyeok		
U+3261	㉡	3200..32FF	Enclosed CJK Letters and Months	Circled hangul nieun		
U+3262	㉢	3200..32FF	Enclosed CJK Letters and Months	Circled hangul tikeut		
U+3263	㉣	3200..32FF	Enclosed CJK Letters and Months	Circled hangul rieul		
U+3264	㉤	3200..32FF	Enclosed CJK Letters and Months	Circled hangul mieum		
U+3265	㉥	3200..32FF	Enclosed CJK Letters and Months	Circled hangul pieup		
U+3266	㉦	3200..32FF	Enclosed CJK Letters and Months	Circled hangul sios		
U+3267	㉧	3200..32FF	Enclosed CJK Letters and Months	Circled hangul ieung		
U+3268	㉨	3200..32FF	Enclosed CJK Letters and Months	Circled hangul cieuc		
U+3269	㉩	3200..32FF	Enclosed CJK Letters and Months	Circled hangul chieuch		
U+326A	㉪	3200..32FF	Enclosed CJK Letters and Months	Circled hangul khieukh		
U+326B	㉫	3200..32FF	Enclosed CJK Letters and Months	Circled hangul thieuth		
U+326C	㉬	3200..32FF	Enclosed CJK Letters and Months	Circled hangul phieuph		
U+326D	㉭	3200..32FF	Enclosed CJK Letters and Months	Circled hangul hieuh		
U+326E	㉮	3200..32FF	Enclosed CJK Letters and Months	Circled hangul kiyeok a		
U+326F	㉯	3200..32FF	Enclosed CJK Letters and Months	Circled hangul nieun a		
U+3270	㉰	3200..32FF	Enclosed CJK Letters and Months	Circled hangul tikeut a		
U+3271	㉱	3200..32FF	Enclosed CJK Letters and Months	Circled hangul rieul a		
U+3272	㉲	3200..32FF	Enclosed CJK Letters and Months	Circled hangul mieum a		
U+3273	㉳	3200..32FF	Enclosed CJK Letters and Months	Circled hangul pieup a		
U+3274	㉴	3200..32FF	Enclosed CJK Letters and Months	Circled hangul sios a		
U+3275	㉵	3200..32FF	Enclosed CJK Letters and Months	Circled hangul ieung a		
U+3276	㉶	3200..32FF	Enclosed CJK Letters and Months	Circled hangul cieuc a		
U+3277	㉷	3200..32FF	Enclosed CJK Letters and Months	Circled hangul chieuch a		
U+3278	㉸	3200..32FF	Enclosed CJK Letters and Months	Circled hangul khieukh a		
U+3279	㉹	3200..32FF	Enclosed CJK Letters and Months	Circled hangul thieuth a		
U+327A	㉺	3200..32FF	Enclosed CJK Letters and Months	Circled hangul phieuph a		
U+327B	㉻	3200..32FF	Enclosed CJK Letters and Months	Circled hangul hieuh a		
U+327C	㉼	3200..32FF	Enclosed CJK Letters and Months	Circled korean character chamko		
U+327D	㉽	3200..32FF	Enclosed CJK Letters and Months	Circled korean character jueui		
U+327E	㉾	3200..32FF	Enclosed CJK Letters and Months	Circled hangul ieung u		
U+327F	㉿	3200..32FF	Enclosed CJK Letters and Months	Korean standard symbol		
