code_point	symbol	block	block_name	name	tab_completion	latex_code
U+3300	㌀	3300..33FF	CJK Compatibility	Square apaato		
U+3301	㌁	3300..33FF	CJK Compatibility	Square aruhua		
U+3302	㌂	3300..33FF	CJK Compatibility	Square anpea		
U+3303	㌃	3300..33FF	CJK Compatibility	Square aaru		
U+3304	㌄	3300..33FF	CJK Compatibility	Square iningu		
U+3305	㌅	3300..33FF	CJK Compatibility	Square inti		
U+3306	㌆	3300..33FF	CJK Compatibility	Square uon		
U+3307	㌇	3300..33FF	CJK Compatibility	Square esukuudo		
U+3308	㌈	3300..33FF	CJK Compatibility	Square eekaa		
U+3309	㌉	3300..33FF	CJK Compatibility	Square onsu		
U+330A	㌊	3300..33FF	CJK Compatibility	Square oomu		
U+330B	㌋	3300..33FF	CJK Compatibility	Square kairi		
U+330C	㌌	3300..33FF	CJK Compatibility	Square karatto		
U+330D	㌍	3300..33FF	CJK Compatibility	Square karorii		
U+330E	㌎	3300..33FF	CJK Compatibility	Square garon		
U+330F	㌏	3300..33FF	CJK Compatibility	Square ganma		
U+3310	㌐	3300..33FF	CJK Compatibility	Square giga		
U+3311	㌑	3300..33FF	CJK Compatibility	Square ginii		
U+3312	㌒	3300..33FF	CJK Compatibility	Square kyurii		
U+3313	㌓	3300..33FF	CJK Compatibility	Square girudaa		
U+3314	㌔	3300..33FF	CJK Compatibility	Square kiro		
U+3315	㌕	3300..33FF	CJK Compatibility	Square kiroguramu		
U+3316	㌖	3300..33FF	CJK Compatibility	Square kiromeetoru		
U+3317	㌗	3300..33FF	CJK Compatibility	Square kirowatto		
U+3318	㌘	3300..33FF	CJK Compatibility	Square guramu		
U+3319	㌙	3300..33FF	CJK Compatibility	Square guramuton		
U+331A	㌚	3300..33FF	CJK Compatibility	Square kuruzeiro		
U+331B	㌛	3300..33FF	CJK Compatibility	Square kuroone		
U+331C	㌜	3300..33FF	CJK Compatibility	Square keesu		
U+331D	㌝	3300..33FF	CJK Compatibility	Square koruna		
U+331E	㌞	3300..33FF	CJK Compatibility	Square koopo		
U+331F	㌟	3300..33FF	CJK Compatibility	Square saikuru		
U+3320	㌠	3300..33FF	CJK Compatibility	Square santiimu		
U+3321	㌡	3300..33FF	CJK Compatibility	Square siringu		
U+3322	㌢	3300..33FF	CJK Compatibility	Square senti		
U+3323	㌣	3300..33FF	CJK Compatibility	Square sento		
U+3324	㌤	3300..33FF	CJK Compatibility	Square daasu		
U+3325	㌥	3300..33FF	CJK Compatibility	Square desi		
U+3326	㌦	3300..33FF	CJK Compatibility	Square doru		
U+3327	㌧	3300..33FF	CJK Compatibility	Square ton		
U+3328	㌨	3300..33FF	CJK Compatibility	Square nano		
U+3329	㌩	3300..33FF	CJK Compatibility	Square notto		
U+332A	㌪	3300..33FF	CJK Compatibility	Square haitu		
U+332B	㌫	3300..33FF	CJK Compatibility	Square paasento		
U+332C	㌬	3300..33FF	CJK Compatibility	Square paatu		
U+332D	㌭	3300..33FF	CJK Compatibility	Square baareru		
U+332E	㌮	3300..33FF	CJK Compatibility	Square piasutoru		
U+332F	㌯	3300..33FF	CJK Compatibility	Square pikuru		
U+3330	㌰	3300..33FF	CJK Compatibility	Square piko		
U+3331	㌱	3300..33FF	CJK Compatibility	Square biru		
U+3332	㌲	3300..33FF	CJK Compatibility	Square huaraddo		
U+3333	㌳	3300..33FF	CJK Compatibility	Square huiito		
U+3334	㌴	3300..33FF	CJK Compatibility	Square bussyeru		
U+3335	㌵	3300..33FF	CJK Compatibility	Square huran		
U+3336	㌶	3300..33FF	CJK Compatibility	Square hekutaaru		
U+3337	㌷	3300..33FF	CJK Compatibility	Square peso		
U+3338	㌸	3300..33FF	CJK Compatibility	Square penihi		
U+3339	㌹	3300..33FF	CJK Compatibility	Square herutu		
U+333A	㌺	3300..33FF	CJK Compatibility	Square pensu		
U+333B	㌻	3300..33FF	CJK Compatibility	Square peezi		
U+333C	㌼	3300..33FF	CJK Compatibility	Square beeta		
U+333D	㌽	3300..33FF	CJK Compatibility	Square pointo		
U+333E	㌾	3300..33FF	CJK Compatibility	Square boruto		
U+333F	㌿	3300..33FF	CJK Compatibility	Square hon		
U+3340	㍀	3300..33FF	CJK Compatibility	Square pondo		
U+3341	㍁	3300..33FF	CJK Compatibility	Square hooru		
U+3342	㍂	3300..33FF	CJK Compatibility	Square hoon		
U+3343	㍃	3300..33FF	CJK Compatibility	Square maikuro		
U+3344	㍄	3300..33FF	CJK Compatibility	Square mairu		
U+3345	㍅	3300..33FF	CJK Compatibility	Square mahha		
U+3346	㍆	3300..33FF	CJK Compatibility	Square maruku		
U+3347	㍇	3300..33FF	CJK Compatibility	Square mansyon		
U+3348	㍈	3300..33FF	CJK Compatibility	Square mikuron		
U+3349	㍉	3300..33FF	CJK Compatibility	Square miri		
U+334A	㍊	3300..33FF	CJK Compatibility	Square miribaaru		
U+334B	㍋	3300..33FF	CJK Compatibility	Square mega		
U+334C	㍌	3300..33FF	CJK Compatibility	Square megaton		
U+334D	㍍	3300..33FF	CJK Compatibility	Square meetoru		
U+334E	㍎	3300..33FF	CJK Compatibility	Square yaado		
U+334F	㍏	3300..33FF	CJK Compatibility	Square yaaru		
U+3350	㍐	3300..33FF	CJK Compatibility	Square yuan		
U+3351	㍑	3300..33FF	CJK Compatibility	Square rittoru		
U+3352	㍒	3300..33FF	CJK Compatibility	Square rira		
U+3353	㍓	3300..33FF	CJK Compatibility	Square rupii		
U+3354	㍔	3300..33FF	CJK Compatibility	Square ruuburu		
U+3355	㍕	3300..33FF	CJK Compatibility	Square remu		
U+3356	㍖	3300..33FF	CJK Compatibility	Square rentogen		
U+3357	㍗	3300..33FF	CJK Compatibility	Square watto		
U+3358	㍘	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour zero		
U+3359	㍙	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour one		
U+335A	㍚	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour two		
U+335B	㍛	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour three		
U+335C	㍜	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour four		
U+335D	㍝	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour five		
U+335E	㍞	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour six		
U+335F	㍟	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour seven		
U+3360	㍠	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour eight		
U+3361	㍡	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour nine		
U+3362	㍢	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour ten		
U+3363	㍣	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour eleven		
U+3364	㍤	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour twelve		
U+3365	㍥	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour thirteen		
U+3366	㍦	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour fourteen		
U+3367	㍧	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour fifteen		
U+3368	㍨	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour sixteen		
U+3369	㍩	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour seventeen		
U+336A	㍪	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour eighteen		
U+336B	㍫	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour nineteen		
U+336C	㍬	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour twenty		
U+336D	㍭	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour twenty-one		
U+336E	㍮	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour twenty-two		
U+336F	㍯	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour twenty-three		
U+3370	㍰	3300..33FF	CJK Compatibility	Ideographic telegraph symbol for hour twenty-four		
U+3371	㍱	3300..33FF	CJK Compatibility	Square hpa		
U+3372	㍲	3300..33FF	CJK Compatibility	Square da		
U+3373	㍳	3300..33FF	CJK Compatibility	Square au		
U+3374	㍴	3300..33FF	CJK Compatibility	Square bar		
U+3375	㍵	3300..33FF	CJK Compatibility	Square ov		
U+3376	㍶	3300..33FF	CJK Compatibility	Square pc		
U+3377	㍷	3300..33FF	CJK Compatibility	Square dm		
U+3378	㍸	3300..33FF	CJK Compatibility	Square dm squared		
U+3379	㍹	3300..33FF	CJK Compatibility	Square dm cubed		
U+337A	㍺	3300..33FF	CJK Compatibility	Square iu		
U+337B	㍻	3300..33FF	CJK Compatibility	Square era name heisei		
U+337C	㍼	3300..33FF	CJK Compatibility	Square era name syouwa		
U+337D	㍽	3300..33FF	CJK Compatibility	Square era name taisyou		
U+337E	㍾	3300..33FF	CJK Compatibility	Square era name meizi		
U+337F	㍿	3300..33FF	CJK Compatibility	Square corporation		
U+3380	㎀	3300..33FF	CJK Compatibility	Square pa amps		
U+3381	㎁	3300..33FF	CJK Compatibility	Square na		
U+3382	㎂	3300..33FF	CJK Compatibility	Square mu a		
U+3383	㎃	3300..33FF	CJK Compatibility	Square ma		
U+3384	㎄	3300..33FF	CJK Compatibility	Square ka		
U+3385	㎅	3300..33FF	CJK Compatibility	Square kb		
U+3386	㎆	3300..33FF	CJK Compatibility	Square mb		
U+3387	㎇	3300..33FF	CJK Compatibility	Square gb		
U+3388	㎈	3300..33FF	CJK Compatibility	Square cal		
U+3389	㎉	3300..33FF	CJK Compatibility	Square kcal		
U+338A	㎊	3300..33FF	CJK Compatibility	Square pf		
U+338B	㎋	3300..33FF	CJK Compatibility	Square nf		
U+338C	㎌	3300..33FF	CJK Compatibility	Square mu f		
