code_point	symbol	block	block_name	name	tab_completion	latex_code
U+4DC0	䷀	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the creative heaven		
U+4DC1	䷁	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the receptive earth		
U+4DC2	䷂	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for difficulty at the beginning		
U+4DC3	䷃	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for youthful folly		
U+4DC4	䷄	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for waiting		
U+4DC5	䷅	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for conflict		
U+4DC6	䷆	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the army		
U+4DC7	䷇	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for holding together		
U+4DC8	䷈	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for small taming		
U+4DC9	䷉	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for treading		
U+4DCA	䷊	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for peace		
U+4DCB	䷋	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for standstill		
U+4DCC	䷌	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for fellowship		
U+4DCD	䷍	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for great possession		
U+4DCE	䷎	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for modesty		
U+4DCF	䷏	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for enthusiasm		
U+4DD0	䷐	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for following		
U+4DD1	䷑	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for work on the decayed		
U+4DD2	䷒	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for approach		
U+4DD3	䷓	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for contemplation		
U+4DD4	䷔	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for biting through		
U+4DD5	䷕	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for grace		
U+4DD6	䷖	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for splitting apart		
U+4DD7	䷗	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for return		
U+4DD8	䷘	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for innocence		
U+4DD9	䷙	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for great taming		
U+4DDA	䷚	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for mouth corners		
U+4DDB	䷛	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for great preponderance		
U+4DDC	䷜	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the abysmal water		
U+4DDD	䷝	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the clinging fire		
U+4DDE	䷞	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for influence		
U+4DDF	䷟	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for duration		
U+4DE0	䷠	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for retreat		
U+4DE1	䷡	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for great power		
U+4DE2	䷢	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for progress		
U+4DE3	䷣	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for darkening of the light		
U+4DE4	䷤	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the family		
U+4DE5	䷥	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for opposition		
U+4DE6	䷦	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for obstruction		
U+4DE7	䷧	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for deliverance		
U+4DE8	䷨	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for decrease		
U+4DE9	䷩	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for increase		
U+4DEA	䷪	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for breakthrough		
U+4DEB	䷫	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for coming to meet		
U+4DEC	䷬	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for gathering together		
U+4DED	䷭	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for pushing upward		
U+4DEE	䷮	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for oppression		
U+4DEF	䷯	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the well		
U+4DF0	䷰	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for revolution		
U+4DF1	䷱	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the cauldron		
U+4DF2	䷲	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the arousing thunder		
U+4DF3	䷳	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the keeping still mountain		
U+4DF4	䷴	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for development		
U+4DF5	䷵	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the marrying maiden		
U+4DF6	䷶	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for abundance		
U+4DF7	䷷	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the wanderer		
U+4DF8	䷸	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the gentle wind		
U+4DF9	䷹	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for the joyous lake		
U+4DFA	䷺	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for dispersion		
U+4DFB	䷻	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for limitation		
U+4DFC	䷼	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for inner truth		
U+4DFD	䷽	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for small preponderance		
U+4DFE	䷾	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for after completion		
U+4DFF	䷿	4DC0..4DFF	Yijing Hexagram Symbols	Hexagram for before completion		
