code_point	symbol	block	block_name	name	tab_completion	latex_code
U+A000	ꀀ	A000..A48F	Yi Syllables	Yi syllable it		
U+A001	ꀁ	A000..A48F	Yi Syllables	Yi syllable ix		
U+A002	ꀂ	A000..A48F	Yi Syllables	Yi syllable i		
U+A003	ꀃ	A000..A48F	Yi Syllables	Yi syllable ip		
U+A004	ꀄ	A000..A48F	Yi Syllables	Yi syllable iet		
U+A005	ꀅ	A000..A48F	Yi Syllables	Yi syllable iex		
U+A006	ꀆ	A000..A48F	Yi Syllables	Yi syllable ie		
U+A007	ꀇ	A000..A48F	Yi Syllables	Yi syllable iep		
U+A008	ꀈ	A000..A48F	Yi Syllables	Yi syllable at		
U+A009	ꀉ	A000..A48F	Yi Syllables	Yi syllable ax		
U+A00A	ꀊ	A000..A48F	Yi Syllables	Yi syllable a		
U+A00B	ꀋ	A000..A48F	Yi Syllables	Yi syllable ap		
U+A00C	ꀌ	A000..A48F	Yi Syllables	Yi syllable uox		
U+A00D	ꀍ	A000..A48F	Yi Syllables	Yi syllable uo		
U+A00E	ꀎ	A000..A48F	Yi Syllables	Yi syllable uop		
U+A00F	ꀏ	A000..A48F	Yi Syllables	Yi syllable ot		
U+A010	ꀐ	A000..A48F	Yi Syllables	Yi syllable ox		
U+A011	ꀑ	A000..A48F	Yi Syllables	Yi syllable o		
U+A012	ꀒ	A000..A48F	Yi Syllables	Yi syllable op		
U+A013	ꀓ	A000..A48F	Yi Syllables	Yi syllable ex		
U+A014	ꀔ	A000..A48F	Yi Syllables	Yi syllable e		
U+A015	ꀕ	A000..A48F	Yi Syllables	Yi syllable wu		
U+A016	ꀖ	A000..A48F	Yi Syllables	Yi syllable bit		
U+A017	ꀗ	A000..A48F	Yi Syllables	Yi syllable bix		
U+A018	ꀘ	A000..A48F	Yi Syllables	Yi syllable bi		
U+A019	ꀙ	A000..A48F	Yi Syllables	Yi syllable bip		
U+A01A	ꀚ	A000..A48F	Yi Syllables	Yi syllable biet		
U+A01B	ꀛ	A000..A48F	Yi Syllables	Yi syllable biex		
U+A01C	ꀜ	A000..A48F	Yi Syllables	Yi syllable bie		
U+A01D	ꀝ	A000..A48F	Yi Syllables	Yi syllable biep		
U+A01E	ꀞ	A000..A48F	Yi Syllables	Yi syllable bat		
U+A01F	ꀟ	A000..A48F	Yi Syllables	Yi syllable bax		
U+A020	ꀠ	A000..A48F	Yi Syllables	Yi syllable ba		
U+A021	ꀡ	A000..A48F	Yi Syllables	Yi syllable bap		
U+A022	ꀢ	A000..A48F	Yi Syllables	Yi syllable buox		
U+A023	ꀣ	A000..A48F	Yi Syllables	Yi syllable buo		
U+A024	ꀤ	A000..A48F	Yi Syllables	Yi syllable buop		
U+A025	ꀥ	A000..A48F	Yi Syllables	Yi syllable bot		
U+A026	ꀦ	A000..A48F	Yi Syllables	Yi syllable box		
U+A027	ꀧ	A000..A48F	Yi Syllables	Yi syllable bo		
U+A028	ꀨ	A000..A48F	Yi Syllables	Yi syllable bop		
U+A029	ꀩ	A000..A48F	Yi Syllables	Yi syllable bex		
U+A02A	ꀪ	A000..A48F	Yi Syllables	Yi syllable be		
U+A02B	ꀫ	A000..A48F	Yi Syllables	Yi syllable bep		
U+A02C	ꀬ	A000..A48F	Yi Syllables	Yi syllable but		
U+A02D	ꀭ	A000..A48F	Yi Syllables	Yi syllable bux		
U+A02E	ꀮ	A000..A48F	Yi Syllables	Yi syllable bu		
U+A02F	ꀯ	A000..A48F	Yi Syllables	Yi syllable bup		
U+A030	ꀰ	A000..A48F	Yi Syllables	Yi syllable burx		
U+A031	ꀱ	A000..A48F	Yi Syllables	Yi syllable bur		
U+A032	ꀲ	A000..A48F	Yi Syllables	Yi syllable byt		
U+A033	ꀳ	A000..A48F	Yi Syllables	Yi syllable byx		
U+A034	ꀴ	A000..A48F	Yi Syllables	Yi syllable by		
U+A035	ꀵ	A000..A48F	Yi Syllables	Yi syllable byp		
U+A036	ꀶ	A000..A48F	Yi Syllables	Yi syllable byrx		
U+A037	ꀷ	A000..A48F	Yi Syllables	Yi syllable byr		
U+A038	ꀸ	A000..A48F	Yi Syllables	Yi syllable pit		
U+A039	ꀹ	A000..A48F	Yi Syllables	Yi syllable pix		
U+A03A	ꀺ	A000..A48F	Yi Syllables	Yi syllable pi		
U+A03B	ꀻ	A000..A48F	Yi Syllables	Yi syllable pip		
U+A03C	ꀼ	A000..A48F	Yi Syllables	Yi syllable piex		
U+A03D	ꀽ	A000..A48F	Yi Syllables	Yi syllable pie		
U+A03E	ꀾ	A000..A48F	Yi Syllables	Yi syllable piep		
U+A03F	ꀿ	A000..A48F	Yi Syllables	Yi syllable pat		
U+A040	ꁀ	A000..A48F	Yi Syllables	Yi syllable pax		
U+A041	ꁁ	A000..A48F	Yi Syllables	Yi syllable pa		
U+A042	ꁂ	A000..A48F	Yi Syllables	Yi syllable pap		
U+A043	ꁃ	A000..A48F	Yi Syllables	Yi syllable puox		
U+A044	ꁄ	A000..A48F	Yi Syllables	Yi syllable puo		
U+A045	ꁅ	A000..A48F	Yi Syllables	Yi syllable puop		
U+A046	ꁆ	A000..A48F	Yi Syllables	Yi syllable pot		
U+A047	ꁇ	A000..A48F	Yi Syllables	Yi syllable pox		
U+A048	ꁈ	A000..A48F	Yi Syllables	Yi syllable po		
U+A049	ꁉ	A000..A48F	Yi Syllables	Yi syllable pop		
U+A04A	ꁊ	A000..A48F	Yi Syllables	Yi syllable put		
U+A04B	ꁋ	A000..A48F	Yi Syllables	Yi syllable pux		
U+A04C	ꁌ	A000..A48F	Yi Syllables	Yi syllable pu		
U+A04D	ꁍ	A000..A48F	Yi Syllables	Yi syllable pup		
U+A04E	ꁎ	A000..A48F	Yi Syllables	Yi syllable purx		
U+A04F	ꁏ	A000..A48F	Yi Syllables	Yi syllable pur		
U+A050	ꁐ	A000..A48F	Yi Syllables	Yi syllable pyt		
U+A051	ꁑ	A000..A48F	Yi Syllables	Yi syllable pyx		
U+A052	ꁒ	A000..A48F	Yi Syllables	Yi syllable py		
U+A053	ꁓ	A000..A48F	Yi Syllables	Yi syllable pyp		
U+A054	ꁔ	A000..A48F	Yi Syllables	Yi syllable pyrx		
U+A055	ꁕ	A000..A48F	Yi Syllables	Yi syllable pyr		
U+A056	ꁖ	A000..A48F	Yi Syllables	Yi syllable bbit		
U+A057	ꁗ	A000..A48F	Yi Syllables	Yi syllable bbix		
U+A058	ꁘ	A000..A48F	Yi Syllables	Yi syllable bbi		
U+A059	ꁙ	A000..A48F	Yi Syllables	Yi syllable bbip		
U+A05A	ꁚ	A000..A48F	Yi Syllables	Yi syllable bbiet		
U+A05B	ꁛ	A000..A48F	Yi Syllables	Yi syllable bbiex		
U+A05C	ꁜ	A000..A48F	Yi Syllables	Yi syllable bbie		
U+A05D	ꁝ	A000..A48F	Yi Syllables	Yi syllable bbiep		
U+A05E	ꁞ	A000..A48F	Yi Syllables	Yi syllable bbat		
U+A05F	ꁟ	A000..A48F	Yi Syllables	Yi syllable bbax		
U+A060	ꁠ	A000..A48F	Yi Syllables	Yi syllable bba		
U+A061	ꁡ	A000..A48F	Yi Syllables	Yi syllable bbap		
U+A062	ꁢ	A000..A48F	Yi Syllables	Yi syllable bbuox		
U+A063	ꁣ	A000..A48F	Yi Syllables	Yi syllable bbuo		
U+A064	ꁤ	A000..A48F	Yi Syllables	Yi syllable bbuop		
U+A065	ꁥ	A000..A48F	Yi Syllables	Yi syllable bbot		
U+A066	ꁦ	A000..A48F	Yi Syllables	Yi syllable bbox		
U+A067	ꁧ	A000..A48F	Yi Syllables	Yi syllable bbo		
U+A068	ꁨ	A000..A48F	Yi Syllables	Yi syllable bbop		
U+A069	ꁩ	A000..A48F	Yi Syllables	Yi syllable bbex		
U+A06A	ꁪ	A000..A48F	Yi Syllables	Yi syllable bbe		
U+A06B	ꁫ	A000..A48F	Yi Syllables	Yi syllable bbep		
U+A06C	ꁬ	A000..A48F	Yi Syllables	Yi syllable bbut		
U+A06D	ꁭ	A000..A48F	Yi Syllables	Yi syllable bbux		
U+A06E	ꁮ	A000..A48F	Yi Syllables	Yi syllable bbu		
U+A06F	ꁯ	A000..A48F	Yi Syllables	Yi syllable bbup		
U+A070	ꁰ	A000..A48F	Yi Syllables	Yi syllable bburx		
U+A071	ꁱ	A000..A48F	Yi Syllables	Yi syllable bbur		
U+A072	ꁲ	A000..A48F	Yi Syllables	Yi syllable bbyt		
U+A073	ꁳ	A000..A48F	Yi Syllables	Yi syllable bbyx		
U+A074	ꁴ	A000..A48F	Yi Syllables	Yi syllable bby		
U+A075	ꁵ	A000..A48F	Yi Syllables	Yi syllable bbyp		
U+A076	ꁶ	A000..A48F	Yi Syllables	Yi syllable nbit		
U+A077	ꁷ	A000..A48F	Yi Syllables	Yi syllable nbix		
U+A078	ꁸ	A000..A48F	Yi Syllables	Yi syllable nbi		
U+A079	ꁹ	A000..A48F	Yi Syllables	Yi syllable nbip		
U+A07A	ꁺ	A000..A48F	Yi Syllables	Yi syllable nbiex		
U+A07B	ꁻ	A000..A48F	Yi Syllables	Yi syllable nbie		
U+A07C	ꁼ	A000..A48F	Yi Syllables	Yi syllable nbiep		
U+A07D	ꁽ	A000..A48F	Yi Syllables	Yi syllable nbat		
U+A07E	ꁾ	A000..A48F	Yi Syllables	Yi syllable nbax		
