code_point	symbol	block	block_name	name	tab_completion	latex_code
A490	"""꒐"""	A490..A4CF	Yi Radicals	Yi radical qot		
A491	"""꒑"""	A490..A4CF	Yi Radicals	Yi radical li		
A492	"""꒒"""	A490..A4CF	Yi Radicals	Yi radical kit		
A493	"""꒓"""	A490..A4CF	Yi Radicals	Yi radical nyip		
A494	"""꒔"""	A490..A4CF	Yi Radicals	Yi radical cyp		
A495	"""꒕"""	A490..A4CF	Yi Radicals	Yi radical ssi		
A496	"""꒖"""	A490..A4CF	Yi Radicals	Yi radical ggop		
A497	"""꒗"""	A490..A4CF	Yi Radicals	Yi radical gep		
A498	"""꒘"""	A490..A4CF	Yi Radicals	Yi radical mi		
A499	"""꒙"""	A490..A4CF	Yi Radicals	Yi radical hxit		
A49A	"""꒚"""	A490..A4CF	Yi Radicals	Yi radical lyr		
A49B	"""꒛"""	A490..A4CF	Yi Radicals	Yi radical bbut		
A49C	"""꒜"""	A490..A4CF	Yi Radicals	Yi radical mop		
A49D	"""꒝"""	A490..A4CF	Yi Radicals	Yi radical yo		
A49E	"""꒞"""	A490..A4CF	Yi Radicals	Yi radical put		
A49F	"""꒟"""	A490..A4CF	Yi Radicals	Yi radical hxuo		
A4A0	"""꒠"""	A490..A4CF	Yi Radicals	Yi radical tat		
A4A1	"""꒡"""	A490..A4CF	Yi Radicals	Yi radical ga		
A4A2	"""꒢"""	A490..A4CF	Yi Radicals	Yi radical zup		
A4A3	"""꒣"""	A490..A4CF	Yi Radicals	Yi radical cyt		
A4A4	"""꒤"""	A490..A4CF	Yi Radicals	Yi radical ddur		
A4A5	"""꒥"""	A490..A4CF	Yi Radicals	Yi radical bur		
A4A6	"""꒦"""	A490..A4CF	Yi Radicals	Yi radical gguo		
A4A7	"""꒧"""	A490..A4CF	Yi Radicals	Yi radical nyop		
A4A8	"""꒨"""	A490..A4CF	Yi Radicals	Yi radical tu		
A4A9	"""꒩"""	A490..A4CF	Yi Radicals	Yi radical op		
A4AA	"""꒪"""	A490..A4CF	Yi Radicals	Yi radical jjut		
A4AB	"""꒫"""	A490..A4CF	Yi Radicals	Yi radical zot		
A4AC	"""꒬"""	A490..A4CF	Yi Radicals	Yi radical pyt		
A4AD	"""꒭"""	A490..A4CF	Yi Radicals	Yi radical hmo		
A4AE	"""꒮"""	A490..A4CF	Yi Radicals	Yi radical yit		
A4AF	"""꒯"""	A490..A4CF	Yi Radicals	Yi radical vur		
A4B0	"""꒰"""	A490..A4CF	Yi Radicals	Yi radical shy		
A4B1	"""꒱"""	A490..A4CF	Yi Radicals	Yi radical vep		
A4B2	"""꒲"""	A490..A4CF	Yi Radicals	Yi radical za		
A4B3	"""꒳"""	A490..A4CF	Yi Radicals	Yi radical jo		
A4B4	"""꒴"""	A490..A4CF	Yi Radicals	Yi radical nzup		
A4B5	"""꒵"""	A490..A4CF	Yi Radicals	Yi radical jjy		
A4B6	"""꒶"""	A490..A4CF	Yi Radicals	Yi radical got		
A4B7	"""꒷"""	A490..A4CF	Yi Radicals	Yi radical jjie		
A4B8	"""꒸"""	A490..A4CF	Yi Radicals	Yi radical wo		
A4B9	"""꒹"""	A490..A4CF	Yi Radicals	Yi radical du		
A4BA	"""꒺"""	A490..A4CF	Yi Radicals	Yi radical shur		
A4BB	"""꒻"""	A490..A4CF	Yi Radicals	Yi radical lie		
A4BC	"""꒼"""	A490..A4CF	Yi Radicals	Yi radical cy		
A4BD	"""꒽"""	A490..A4CF	Yi Radicals	Yi radical cuop		
A4BE	"""꒾"""	A490..A4CF	Yi Radicals	Yi radical cip		
A4BF	"""꒿"""	A490..A4CF	Yi Radicals	Yi radical hxop		
A4C0	"""꓀"""	A490..A4CF	Yi Radicals	Yi radical shat		
A4C1	"""꓁"""	A490..A4CF	Yi Radicals	Yi radical zur		
A4C2	"""꓂"""	A490..A4CF	Yi Radicals	Yi radical shop		
A4C3	"""꓃"""	A490..A4CF	Yi Radicals	Yi radical che		
A4C4	"""꓄"""	A490..A4CF	Yi Radicals	Yi radical zziet		
A4C5	"""꓅"""	A490..A4CF	Yi Radicals	Yi radical nbie		
A4C6	"""꓆"""	A490..A4CF	Yi Radicals	Yi radical ke		
