code_point	symbol	block	block_name	name	tab_completion	latex_code
U+A640	Ꙁ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter zemlya		
U+A641	ꙁ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter zemlya		
U+A642	Ꙃ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter dzelo		
U+A643	ꙃ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter dzelo		
U+A644	Ꙅ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter reversed dze		
U+A645	ꙅ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter reversed dze		
U+A646	Ꙇ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter iota		
U+A647	ꙇ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter iota		
U+A648	Ꙉ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter djerv		
U+A649	ꙉ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter djerv		
U+A64A	Ꙋ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter monograph uk		
U+A64B	ꙋ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter monograph uk		
U+A64C	Ꙍ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter broad omega		
U+A64D	ꙍ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter broad omega		
U+A64E	Ꙏ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter neutral yer		
U+A64F	ꙏ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter neutral yer		
U+A650	Ꙑ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter yeru with back yer		
U+A651	ꙑ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter yeru with back yer		
U+A652	Ꙓ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter iotified yat		
U+A653	ꙓ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter iotified yat		
U+A654	Ꙕ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter reversed yu		
U+A655	ꙕ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter reversed yu		
U+A656	Ꙗ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter iotified a		
U+A657	ꙗ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter iotified a		
U+A658	Ꙙ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter closed little yus		
U+A659	ꙙ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter closed little yus		
U+A65A	Ꙛ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter blended yus		
U+A65B	ꙛ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter blended yus		
U+A65C	Ꙝ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter iotified closed little yus		
U+A65D	ꙝ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter iotified closed little yus		
U+A65E	Ꙟ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter yn		
U+A65F	ꙟ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter yn		
U+A660	Ꙡ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter reversed tse		
U+A661	ꙡ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter reversed tse		
U+A662	Ꙣ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter soft de		
U+A663	ꙣ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter soft de		
U+A664	Ꙥ	A640..A69F	Cyrillic Extended-B	Cyrillic capital letter soft el		
U+A665	ꙥ	A640..A69F	Cyrillic Extended-B	Cyrillic small letter soft el		
