code_point	symbol	block	block_name	name	tab_completion	latex_code
U+A980	ꦀ	A980..A9DF	Javanese	Javanese sign panyangga		
U+A981	ꦁ	A980..A9DF	Javanese	Javanese sign cecak		
U+A982	ꦂ	A980..A9DF	Javanese	Javanese sign layar		
U+A983	ꦃ	A980..A9DF	Javanese	Javanese sign wignyan		
U+A984	ꦄ	A980..A9DF	Javanese	Javanese letter a		
U+A985	ꦅ	A980..A9DF	Javanese	Javanese letter i kawi		
U+A986	ꦆ	A980..A9DF	Javanese	Javanese letter i		
U+A987	ꦇ	A980..A9DF	Javanese	Javanese letter ii		
U+A988	ꦈ	A980..A9DF	Javanese	Javanese letter u		
U+A989	ꦉ	A980..A9DF	Javanese	Javanese letter pa cerek		
U+A98A	ꦊ	A980..A9DF	Javanese	Javanese letter nga lelet		
U+A98B	ꦋ	A980..A9DF	Javanese	Javanese letter nga lelet raswadi		
U+A98C	ꦌ	A980..A9DF	Javanese	Javanese letter e		
U+A98D	ꦍ	A980..A9DF	Javanese	Javanese letter ai		
U+A98E	ꦎ	A980..A9DF	Javanese	Javanese letter o		
U+A98F	ꦏ	A980..A9DF	Javanese	Javanese letter ka		
U+A990	ꦐ	A980..A9DF	Javanese	Javanese letter ka sasak		
U+A991	ꦑ	A980..A9DF	Javanese	Javanese letter ka murda		
U+A992	ꦒ	A980..A9DF	Javanese	Javanese letter ga		
U+A993	ꦓ	A980..A9DF	Javanese	Javanese letter ga murda		
U+A994	ꦔ	A980..A9DF	Javanese	Javanese letter nga		
U+A995	ꦕ	A980..A9DF	Javanese	Javanese letter ca		
U+A996	ꦖ	A980..A9DF	Javanese	Javanese letter ca murda		
U+A997	ꦗ	A980..A9DF	Javanese	Javanese letter ja		
U+A998	ꦘ	A980..A9DF	Javanese	Javanese letter nya murda		
U+A999	ꦙ	A980..A9DF	Javanese	Javanese letter ja mahaprana		
U+A99A	ꦚ	A980..A9DF	Javanese	Javanese letter nya		
U+A99B	ꦛ	A980..A9DF	Javanese	Javanese letter tta		
U+A99C	ꦜ	A980..A9DF	Javanese	Javanese letter tta mahaprana		
U+A99D	ꦝ	A980..A9DF	Javanese	Javanese letter dda		
U+A99E	ꦞ	A980..A9DF	Javanese	Javanese letter dda mahaprana		
U+A99F	ꦟ	A980..A9DF	Javanese	Javanese letter na murda		
U+A9A0	ꦠ	A980..A9DF	Javanese	Javanese letter ta		
U+A9A1	ꦡ	A980..A9DF	Javanese	Javanese letter ta murda		
U+A9A2	ꦢ	A980..A9DF	Javanese	Javanese letter da		
U+A9A3	ꦣ	A980..A9DF	Javanese	Javanese letter da mahaprana		
U+A9A4	ꦤ	A980..A9DF	Javanese	Javanese letter na		
U+A9A5	ꦥ	A980..A9DF	Javanese	Javanese letter pa		
U+A9A6	ꦦ	A980..A9DF	Javanese	Javanese letter pa murda		
U+A9A7	ꦧ	A980..A9DF	Javanese	Javanese letter ba		
U+A9A8	ꦨ	A980..A9DF	Javanese	Javanese letter ba murda		
U+A9A9	ꦩ	A980..A9DF	Javanese	Javanese letter ma		
U+A9AA	ꦪ	A980..A9DF	Javanese	Javanese letter ya		
