code_point	symbol	block	block_name	name	tab_completion	latex_code
U+A9E0	ꧠ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter shan gha		
U+A9E1	ꧡ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter shan cha		
U+A9E2	ꧢ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter shan jha		
U+A9E3	ꧣ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter shan nna		
U+A9E4	ꧤ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter shan bha		
U+A9E5	ꧥ	A9E0..A9FF	Myanmar Extended-B	Myanmar sign shan saw		
U+A9E6	ꧦ	A9E0..A9FF	Myanmar Extended-B	Myanmar modifier letter shan reduplication		
U+A9E7	ꧧ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing nya		
U+A9E8	ꧨ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing fa		
U+A9E9	ꧩ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing ga		
U+A9EA	ꧪ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing gha		
U+A9EB	ꧫ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing ja		
U+A9EC	ꧬ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing jha		
U+A9ED	ꧭ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing dda		
U+A9EE	ꧮ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing ddha		
U+A9EF	ꧯ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing nna		
U+A9F0	꧰	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit zero		
U+A9F1	꧱	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit one		
U+A9F2	꧲	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit two		
U+A9F3	꧳	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit three		
U+A9F4	꧴	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit four		
U+A9F5	꧵	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit five		
U+A9F6	꧶	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit six		
U+A9F7	꧷	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit seven		
U+A9F8	꧸	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit eight		
U+A9F9	꧹	A9E0..A9FF	Myanmar Extended-B	Myanmar tai laing digit nine		
U+A9FA	ꧺ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing lla		
U+A9FB	ꧻ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing da		
U+A9FC	ꧼ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing dha		
U+A9FD	ꧽ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing ba		
U+A9FE	ꧾ	A9E0..A9FF	Myanmar Extended-B	Myanmar letter tai laing bha		
