code_point	symbol	block	block_name	name	tab_completion	latex_code
U+AB01	ꬁ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable tthu		
U+AB02	ꬂ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable tthi		
U+AB03	ꬃ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable tthaa		
U+AB04	ꬄ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable tthee		
U+AB05	ꬅ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable tthe		
U+AB06	ꬆ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable ttho		
U+AB09	ꬉ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable ddhu		
U+AB0A	ꬊ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable ddhi		
U+AB0B	ꬋ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable ddhaa		
U+AB0C	ꬌ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable ddhee		
U+AB0D	ꬍ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable ddhe		
U+AB0E	ꬎ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable ddho		
U+AB11	ꬑ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable dzu		
U+AB12	ꬒ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable dzi		
U+AB13	ꬓ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable dzaa		
U+AB14	ꬔ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable dzee		
U+AB15	ꬕ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable dze		
U+AB16	ꬖ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable dzo		
U+AB20	ꬠ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable cchha		
U+AB21	ꬡ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable cchhu		
U+AB22	ꬢ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable cchhi		
U+AB23	ꬣ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable cchhaa		
U+AB24	ꬤ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable cchhee		
U+AB25	ꬥ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable cchhe		
U+AB26	ꬦ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable cchho		
U+AB28	ꬨ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable bba		
U+AB29	ꬩ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable bbu		
U+AB2A	ꬪ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable bbi		
U+AB2B	ꬫ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable bbaa		
U+AB2C	ꬬ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable bbee		
U+AB2D	ꬭ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable bbe		
U+AB2E	ꬮ	AB00..AB2F	Ethiopic Extended-A	Ethiopic syllable bbo		
