code_point	symbol	block	block_name	name	tab_completion	latex_code
U+AB30	ꬰ	AB30..AB6F	Latin Extended-E	Latin small letter barred alpha		
U+AB31	ꬱ	AB30..AB6F	Latin Extended-E	Latin small letter a reversed-schwa		
U+AB32	ꬲ	AB30..AB6F	Latin Extended-E	Latin small letter blackletter e		
U+AB33	ꬳ	AB30..AB6F	Latin Extended-E	Latin small letter barred e		
U+AB34	ꬴ	AB30..AB6F	Latin Extended-E	Latin small letter e with flourish		
U+AB35	ꬵ	AB30..AB6F	Latin Extended-E	Latin small letter lenis f		
U+AB36	ꬶ	AB30..AB6F	Latin Extended-E	Latin small letter script g with crossed-tail		
U+AB37	ꬷ	AB30..AB6F	Latin Extended-E	Latin small letter l with inverted lazy s		
U+AB38	ꬸ	AB30..AB6F	Latin Extended-E	Latin small letter l with double middle tilde		
U+AB39	ꬹ	AB30..AB6F	Latin Extended-E	Latin small letter l with middle ring		
U+AB3A	ꬺ	AB30..AB6F	Latin Extended-E	Latin small letter m with crossed-tail		
U+AB3B	ꬻ	AB30..AB6F	Latin Extended-E	Latin small letter n with crossed-tail		
U+AB3C	ꬼ	AB30..AB6F	Latin Extended-E	Latin small letter eng with crossed-tail		
U+AB3D	ꬽ	AB30..AB6F	Latin Extended-E	Latin small letter blackletter o		
U+AB3E	ꬾ	AB30..AB6F	Latin Extended-E	Latin small letter blackletter o with stroke		
U+AB3F	ꬿ	AB30..AB6F	Latin Extended-E	Latin small letter open o with stroke		
U+AB40	ꭀ	AB30..AB6F	Latin Extended-E	Latin small letter inverted oe		
U+AB41	ꭁ	AB30..AB6F	Latin Extended-E	Latin small letter turned oe with stroke		
U+AB42	ꭂ	AB30..AB6F	Latin Extended-E	Latin small letter turned oe with horizontal stroke		
U+AB43	ꭃ	AB30..AB6F	Latin Extended-E	Latin small letter turned o open-o		
U+AB44	ꭄ	AB30..AB6F	Latin Extended-E	Latin small letter turned o open-o with stroke		
U+AB45	ꭅ	AB30..AB6F	Latin Extended-E	Latin small letter stirrup r		
U+AB46	ꭆ	AB30..AB6F	Latin Extended-E	Latin letter small capital r with right leg		
U+AB47	ꭇ	AB30..AB6F	Latin Extended-E	Latin small letter r without handle		
U+AB48	ꭈ	AB30..AB6F	Latin Extended-E	Latin small letter double r		
U+AB49	ꭉ	AB30..AB6F	Latin Extended-E	Latin small letter r with crossed-tail		
U+AB4A	ꭊ	AB30..AB6F	Latin Extended-E	Latin small letter double r with crossed-tail		
U+AB4B	ꭋ	AB30..AB6F	Latin Extended-E	Latin small letter script r		
U+AB4C	ꭌ	AB30..AB6F	Latin Extended-E	Latin small letter script r with ring		
U+AB4D	ꭍ	AB30..AB6F	Latin Extended-E	Latin small letter baseline esh		
U+AB4E	ꭎ	AB30..AB6F	Latin Extended-E	Latin small letter u with short right leg		
U+AB4F	ꭏ	AB30..AB6F	Latin Extended-E	Latin small letter u bar with short right leg		
U+AB50	ꭐ	AB30..AB6F	Latin Extended-E	Latin small letter ui		
U+AB51	ꭑ	AB30..AB6F	Latin Extended-E	Latin small letter turned ui		
U+AB52	ꭒ	AB30..AB6F	Latin Extended-E	Latin small letter u with left hook		
U+AB53	ꭓ	AB30..AB6F	Latin Extended-E	Latin small letter chi		
U+AB54	ꭔ	AB30..AB6F	Latin Extended-E	Latin small letter chi with low right ring		
U+AB55	ꭕ	AB30..AB6F	Latin Extended-E	Latin small letter chi with low left serif		
U+AB56	ꭖ	AB30..AB6F	Latin Extended-E	Latin small letter x with low right ring		
U+AB57	ꭗ	AB30..AB6F	Latin Extended-E	Latin small letter x with long left leg		
U+AB58	ꭘ	AB30..AB6F	Latin Extended-E	Latin small letter x with long left leg and low right ring		
U+AB59	ꭙ	AB30..AB6F	Latin Extended-E	Latin small letter x with long left leg with serif		
U+AB5A	ꭚ	AB30..AB6F	Latin Extended-E	Latin small letter y with short right leg		
U+AB5B	꭛	AB30..AB6F	Latin Extended-E	Modifier breve with inverted breve		
U+AB5C	ꭜ	AB30..AB6F	Latin Extended-E	Modifier letter small heng		
U+AB5D	ꭝ	AB30..AB6F	Latin Extended-E	Modifier letter small l with inverted lazy s		
U+AB5E	ꭞ	AB30..AB6F	Latin Extended-E	Modifier letter small l with middle tilde		
U+AB5F	ꭟ	AB30..AB6F	Latin Extended-E	Modifier letter small u with left hook		
U+AB60	ꭠ	AB30..AB6F	Latin Extended-E	Latin small letter sakha yat		
U+AB61	ꭡ	AB30..AB6F	Latin Extended-E	Latin small letter iotified e		
U+AB62	ꭢ	AB30..AB6F	Latin Extended-E	Latin small letter open oe		
U+AB63	ꭣ	AB30..AB6F	Latin Extended-E	Latin small letter uo		
U+AB64	ꭤ	AB30..AB6F	Latin Extended-E	Latin small letter inverted alpha		
U+AB65	ꭥ	AB30..AB6F	Latin Extended-E	Greek letter small capital omega		
U+AB66	ꭦ	AB30..AB6F	Latin Extended-E	Latin small letter dz digraph with retroflex hook		
U+AB67	ꭧ	AB30..AB6F	Latin Extended-E	Latin small letter ts digraph with retroflex hook		
U+AB68	ꭨ	AB30..AB6F	Latin Extended-E	Latin small letter turned r with middle tilde		
U+AB69	ꭩ	AB30..AB6F	Latin Extended-E	Modifier letter small turned w		
U+AB6A	꭪	AB30..AB6F	Latin Extended-E	Modifier letter left tack		
U+AB6B	꭫	AB30..AB6F	Latin Extended-E	Modifier letter right tack		
