code_point	symbol	block	block_name	name	tab_completion	latex_code
D7B0	"""ힰ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong o-yeo		
D7B1	"""ힱ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong o-o-i		
D7B2	"""ힲ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong yo-a		
D7B3	"""ힳ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong yo-ae		
D7B4	"""ힴ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong yo-eo		
D7B5	"""ힵ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong u-yeo		
D7B6	"""ힶ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong u-i-i		
D7B7	"""ힷ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong yu-ae		
D7B8	"""ힸ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong yu-o		
D7B9	"""ힹ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong eu-a		
D7BA	"""ힺ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong eu-eo		
D7BB	"""ힻ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong eu-e		
D7BC	"""ힼ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong eu-o		
D7BD	"""ힽ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong i-ya-o		
D7BE	"""ힾ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong i-yae		
D7BF	"""ힿ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong i-yeo		
D7C0	"""ퟀ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong i-ye		
D7C1	"""ퟁ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong i-o-i		
D7C2	"""ퟂ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong i-yo		
D7C3	"""ퟃ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong i-yu		
D7C4	"""ퟄ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong i-i		
D7C5	"""ퟅ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong araea-a		
D7C6	"""ퟆ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jungseong araea-e		
D7CB	"""ퟋ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong nieun-rieul		
D7CC	"""ퟌ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong nieun-chieuch		
D7CD	"""ퟍ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong ssangtikeut		
D7CE	"""ퟎ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong ssangtikeut-pieup		
D7CF	"""ퟏ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong tikeut-pieup		
D7D0	"""ퟐ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong tikeut-sios		
D7D1	"""ퟑ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong tikeut-sios-kiyeok		
D7D2	"""ퟒ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong tikeut-cieuc		
D7D3	"""ퟓ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong tikeut-chieuch		
D7D4	"""ퟔ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong tikeut-thieuth		
D7D5	"""ퟕ"""	D7B0..D7FF	Hangul Jamo Extended-B	Hangul jongseong rieul-ssangkiyeok		
