code_point	symbol	block	block_name	name	tab_completion	latex_code
U+FB00	ﬀ	FB00..FB4F	Alphabetic Presentation Forms	Latin small ligature ff		
U+FB01	ﬁ	FB00..FB4F	Alphabetic Presentation Forms	Latin small ligature fi		
U+FB02	ﬂ	FB00..FB4F	Alphabetic Presentation Forms	Latin small ligature fl		
U+FB03	ﬃ	FB00..FB4F	Alphabetic Presentation Forms	Latin small ligature ffi		
U+FB04	ﬄ	FB00..FB4F	Alphabetic Presentation Forms	Latin small ligature ffl		
U+FB05	ﬅ	FB00..FB4F	Alphabetic Presentation Forms	Latin small ligature long s t		
U+FB06	ﬆ	FB00..FB4F	Alphabetic Presentation Forms	Latin small ligature st		
U+FB13	ﬓ	FB00..FB4F	Alphabetic Presentation Forms	Armenian small ligature men now		
U+FB14	ﬔ	FB00..FB4F	Alphabetic Presentation Forms	Armenian small ligature men ech		
U+FB15	ﬕ	FB00..FB4F	Alphabetic Presentation Forms	Armenian small ligature men ini		
U+FB16	ﬖ	FB00..FB4F	Alphabetic Presentation Forms	Armenian small ligature vew now		
U+FB17	ﬗ	FB00..FB4F	Alphabetic Presentation Forms	Armenian small ligature men xeh		
U+FB1D	יִ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter yod with hiriq		
U+FB1E	ﬞ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew point judeo-spanish varika		
U+FB1F	ײַ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew ligature yiddish yod yod patah		
U+FB20	ﬠ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter alternative ayin		
U+FB21	ﬡ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter wide alef		
U+FB22	ﬢ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter wide dalet		
U+FB23	ﬣ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter wide he		
U+FB24	ﬤ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter wide kaf		
U+FB25	ﬥ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter wide lamed		
U+FB26	ﬦ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter wide final mem		
U+FB27	ﬧ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter wide resh		
U+FB28	ﬨ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter wide tav		
U+FB29	﬩	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter alternative plus sign		
U+FB2A	שׁ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter shin with shin dot		
U+FB2B	שׂ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter shin with sin dot		
U+FB2C	שּׁ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter shin with dagesh and shin dot		
U+FB2D	שּׂ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter shin with dagesh and sin dot		
U+FB2E	אַ	FB00..FB4F	Alphabetic Presentation Forms	Hebrew letter alef with patah		
