code_point	symbol	block	block_name	name	tab_completion	latex_code
U+FB50	ﭐ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter alef wasla isolated form		
U+FB51	ﭑ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter alef wasla final form		
U+FB52	ﭒ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter beeh isolated form		
U+FB53	ﭓ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter beeh final form		
U+FB54	ﭔ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter beeh initial form		
U+FB55	ﭕ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter beeh medial form		
U+FB56	ﭖ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter peh isolated form		
U+FB57	ﭗ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter peh final form		
U+FB58	ﭘ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter peh initial form		
U+FB59	ﭙ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter peh medial form		
U+FB5A	ﭚ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter beheh isolated form		
U+FB5B	ﭛ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter beheh final form		
U+FB5C	ﭜ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter beheh initial form		
U+FB5D	ﭝ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter beheh medial form		
U+FB5E	ﭞ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter tteheh isolated form		
U+FB5F	ﭟ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter tteheh final form		
U+FB60	ﭠ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter tteheh initial form		
U+FB61	ﭡ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter tteheh medial form		
U+FB62	ﭢ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter teheh isolated form		
U+FB63	ﭣ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter teheh final form		
U+FB64	ﭤ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter teheh initial form		
U+FB65	ﭥ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter teheh medial form		
U+FB66	ﭦ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter tteh isolated form		
U+FB67	ﭧ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter tteh final form		
U+FB68	ﭨ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter tteh initial form		
U+FB69	ﭩ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter tteh medial form		
U+FB6A	ﭪ	FB50..FDFF	Arabic Presentation Forms-A	Arabic letter veh isolated form		
